region,economo,mesulam,sa,yeo
STSdp_L,frontal,unimodal,middle,default mode
STSvp_L,frontal,heteromodal,association,default mode
TGd_L,frontal,paralimbic,association,limbic
TE1a_L,frontal,heteromodal,association,default mode
TE1p_L,frontal,heteromodal,association,frontoparietal
TE2a_L,frontal,unimodal,association,limbic
TF_L,frontal,unimodal,middle,limbic
TE2p_L,frontal,unimodal,middle,dorsal attention
PHT_L,frontal,heteromodal,association,dorsal attention
PH_L,parietal,unimodal,middle,dorsal attention
TPOJ1_L,frontal,unimodal,middle,ventral attention
TPOJ2_L,parietal,heteromodal,middle,dorsal attention
TPOJ3_L,parietal,unimodal,sensorimotor,dorsal attention
DVT_L,frontal,unimodal,sensorimotor,visual
PGp_L,parietal,unimodal,middle,dorsal attention
IP2_L,frontal,heteromodal,middle,frontoparietal
IP1_L,frontal,heteromodal,middle,frontoparietal
IP0_L,parietal,unimodal,sensorimotor,dorsal attention
PFop_L,parietal,unimodal,middle,ventral attention
PF_L,parietal,heteromodal,association,ventral attention
PFm_L,parietal,heteromodal,association,frontoparietal
PGi_L,parietal,heteromodal,association,default mode
PGs_L,parietal,heteromodal,association,default mode
V6A_L,frontal,unimodal,sensorimotor,visual
VMV1_L,parietal,idiotypic,sensorimotor,visual
VMV3_L,parietal,unimodal,sensorimotor,visual
PHA2_L,parietal,heteromodal,middle,visual
V4t_L,parietal,unimodal,sensorimotor,visual
FST_L,parietal,unimodal,sensorimotor,dorsal attention
V3CD_L,parietal,unimodal,sensorimotor,visual
LO3_L,parietal,unimodal,sensorimotor,visual
VMV2_L,parietal,idiotypic,sensorimotor,visual
31pd_L,frontal,heteromodal,middle,default mode
31a_L,frontal,heteromodal,association,frontoparietal
VVC_L,frontal,unimodal,sensorimotor,visual
25_L,agranular,paralimbic,association,limbic
s32_L,frontal,paralimbic,association,default mode
pOFC_L,polar,paralimbic,middle,limbic
PoI1_L,frontal,paralimbic,middle,ventral attention
Ig_L,frontal,paralimbic,sensorimotor,somatosensory
FOP5_L,frontal,paralimbic,middle,ventral attention
p10p_L,frontal,heteromodal,association,frontoparietal
p47r_L,frontal,heteromodal,association,frontoparietal
TGv_L,frontal,paralimbic,middle,limbic
MBelt_L,granular,unimodal,middle,somatosensory
LBelt_L,parietal,idiotypic,sensorimotor,somatosensory
A4_L,frontal,unimodal,sensorimotor,somatosensory
STSva_L,frontal,unimodal,association,default mode
TE1m_L,frontal,heteromodal,association,default mode
PI_L,parietal,paralimbic,middle,ventral attention
a32pr_L,frontal,heteromodal,association,frontoparietal
p24_L,agranular,paralimbic,association,default mode
V1_R,granular,idiotypic,sensorimotor,visual
MST_R,parietal,unimodal,sensorimotor,dorsal attention
V6_R,parietal,unimodal,sensorimotor,visual
V2_R,parietal,idiotypic,sensorimotor,visual
V3_R,parietal,idiotypic,sensorimotor,visual
V4_R,parietal,unimodal,sensorimotor,visual
V8_R,parietal,unimodal,sensorimotor,visual
4_R,agranular,idiotypic,sensorimotor,somatosensory
3b_R,frontal,idiotypic,sensorimotor,somatosensory
