region,isovf_retest_cov
V1_L,5.620447247856904
MST_L,11.404176385011258
V6_L,8.477975873049154
V2_L,6.8770151133371735
V3_L,7.812290986153138
V4_L,7.55036617679834
V8_L,13.36850564303417
4_L,6.73870596658108
3b_L,6.136567440559871
FEF_L,8.25826173537882
PEF_L,8.169314794813785
55b_L,8.174227328760189
V3A_L,8.815413809345882
RSC_L,10.848134169264908
POS2_L,8.20133939417252
V7_L,8.112902104694133
IPS1_L,9.467753337484963
FFC_L,10.99537686068652
V3B_L,11.73028755294611
LO1_L,11.863275782216302
LO2_L,11.832871449142521
PIT_L,9.637265091920295
MT_L,12.064362686731211
A1_L,7.504456066459513
PSL_L,8.741020761776785
SFL_L,8.827833024838236
PCV_L,11.845117216320158
STV_L,8.750139845843657
7Pm_L,10.065253122999303
7m_L,10.624755068112135
POS1_L,10.545619151163448
23d_L,11.895568951517424
v23ab_L,10.952870023194098
d23ab_L,11.049448693332723
31pv_L,8.484193652531921
5m_L,14.58194509430567
5mv_L,11.097159903726524
23c_L,9.159815348126529
5L_L,10.217316900103745
24dd_L,10.422700213654448
24dv_L,9.8563172966699
7AL_L,8.487022682827558
SCEF_L,10.924579799085352
6ma_L,7.941218889975154
7Am_L,9.098223436084638
7Pl_L,8.433522882763972
7PC_L,9.850078453283533
LIPv_L,10.818830472325537
VIP_L,8.654658230361385
MIP_L,10.755448548253575
1_L,6.68387885552475
2_L,7.781563592251301
3a_L,5.294449545329702
6d_L,9.04263612851387
6mp_L,7.834222104310756
6v_L,9.197826954728864
p24pr_L,9.499930241193502
33pr_L,17.195414048762718
a24pr_L,8.890766400699038
p32pr_L,9.281106167487078
a24_L,12.278258943277876
d32_L,12.878730433760738
8BM_L,10.190981173886666
p32_L,13.109759476850508
10r_L,11.549677558155787
47m_L,6.483299065839346
8Av_L,7.8849831206261305
8Ad_L,9.895768612608421
9m_L,10.91542846840255
8BL_L,9.300659450371608
9p_L,9.145273452343458
10d_L,8.02575146648537
8C_L,8.785876492071202
44_L,7.633446075610414
45_L,8.340241276470518
47l_L,6.68944555779138
a47r_L,7.020966103671229
6r_L,6.696188961775583
IFJa_L,9.265004431200532
IFJp_L,10.21992443032651
IFSp_L,6.838363652721087
IFSa_L,7.35561599513946
p9-46v_L,8.181528475960356
46_L,8.732383212779157
a9-46v_L,8.167301947006235
9-46d_L,8.346316868880006
9a_L,9.83658899360168
10v_L,8.784868987918296
a10p_L,8.539696531832714
10pp_L,7.501935214373956
11l_L,6.623063604028168
13l_L,4.491941961306198
OFC_L,6.502504160253163
47s_L,6.18152647449429
LIPd_L,9.485165356876609
6a_L,8.221372828127894
i6-8_L,10.480620100544416
s6-8_L,8.677602446619574
43_L,6.7692123023667
OP4_L,7.849358305392126
OP1_L,13.450076986168485
OP2-3_L,14.184986182307219
52_L,7.173355686499125
RI_L,10.939137834486514
PFcm_L,13.015410589952356
PoI2_L,6.208092004074721
TA2_L,7.612442674088616
FOP4_L,9.913651488993805
MI_L,8.97624457330655
Pir_L,6.468665417425039
AVI_L,7.296129020486659
AAIC_L,6.7760717380405495
FOP1_L,8.883097073102073
FOP3_L,11.189369797704627
FOP2_L,12.572084739519942
PFt_L,8.963886819491782
AIP_L,10.618078913889786
EC_L,6.072726299591362
PreS_L,7.318348809559981
H_L,7.670709314124377
ProS_L,10.544605304644076
PeEc_L,6.500989674512206
STGa_L,10.582502901544387
PBelt_L,7.188173621189577
A5_L,8.418535166380115
PHA1_L,10.632193140810598
PHA3_L,9.84922859961619
STSda_L,9.25463557742756
STSdp_L,8.610122231710418
STSvp_L,9.023332065504942
TGd_L,5.712440374229133
TE1a_L,7.454585177271405
TE1p_L,10.322006333341914
TE2a_L,9.244958168852236
TF_L,7.5109854665279405
TE2p_L,10.717839065003409
PHT_L,11.501720484867521
PH_L,13.169360165170296
TPOJ1_L,12.007233849327237
TPOJ2_L,11.59770406928322
TPOJ3_L,12.402573910959878
DVT_L,9.667392954522919
PGp_L,10.256397686823668
IP2_L,10.230467780692578
IP1_L,9.769657112416727
IP0_L,11.841361888002355
PFop_L,8.659116567354456
PF_L,9.01275097910351
PFm_L,10.299017078736956
PGi_L,10.304365550276255
PGs_L,10.978407331721543
V6A_L,10.399513025056981
VMV1_L,15.670898132900016
VMV3_L,16.14390914190822
PHA2_L,10.24487373876763
V4t_L,11.931292647270412
FST_L,12.670984713651704
V3CD_L,10.412521888154036
LO3_L,12.19322825629882
VMV2_L,19.14596490495492
31pd_L,9.54240891559501
31a_L,13.661645940996278
VVC_L,13.854606758687213
25_L,11.39399969341845
s32_L,11.513801562128824
pOFC_L,4.588936353508269
PoI1_L,6.2546345465260735
Ig_L,9.575585117634581
FOP5_L,10.57899426734125
p10p_L,9.145368914992872
p47r_L,8.231892395830291
TGv_L,5.817058286415035
MBelt_L,7.862960773207954
LBelt_L,7.998496095810402
A4_L,7.1051404147912205
STSva_L,8.863592327513235
TE1m_L,10.034930593888133
PI_L,6.765330098018748
a32pr_L,11.912734480420577
p24_L,13.714859165696783
V1_R,5.844977073673848
MST_R,14.709998638399622
V6_R,6.501903608041877
V2_R,6.377792005275454
V3_R,7.434251674366789
V4_R,8.281595389701794
V8_R,13.563223386694354
4_R,7.570319261902392
