region,dki-ad_retest_cov
V1_L,0.6510090169406738
MST_L,0.9136228236039908
V6_L,1.1130349310078909
V2_L,0.7091241472382783
V3_L,0.7206032478744409
V4_L,0.6938824477330682
V8_L,0.811261993904502
4_L,0.977430710704458
3b_L,1.0988564608667106
FEF_L,1.1946194051069858
PEF_L,0.91489249565711
55b_L,1.082848716372714
V3A_L,0.8697126178182696
RSC_L,0.9925284740776568
POS2_L,0.945428868598488
V7_L,1.1065370664458352
IPS1_L,1.0755033508179077
FFC_L,0.8617869138562608
V3B_L,0.8813118226414421
LO1_L,0.8512157416266686
LO2_L,0.8466610719084926
PIT_L,0.782371739106686
MT_L,0.9564881200475236
A1_L,0.9977735024384236
PSL_L,0.7900049100954626
SFL_L,1.4229828572352077
PCV_L,1.2320909619146114
STV_L,0.8124262246730894
7Pm_L,1.1385641049493709
7m_L,1.0065312500178685
POS1_L,0.9039284088001414
23d_L,0.8954553416414431
v23ab_L,0.9524501556794092
d23ab_L,1.0249185482043242
31pv_L,1.1944053075169054
5m_L,1.2193386072121308
5mv_L,1.3784674941558794
23c_L,1.1303768066581383
5L_L,1.1419403392714742
24dd_L,1.0421024873200797
24dv_L,1.167695256753832
7AL_L,1.0487463320661017
SCEF_L,1.071233334619092
6ma_L,1.2913958722334873
7Am_L,1.118972184438889
7Pl_L,0.9878379290261812
7PC_L,1.1895778541770352
LIPv_L,1.319062190315685
VIP_L,1.035125438812236
MIP_L,1.250033807054846
1_L,1.0137242979287082
2_L,1.2012505097626212
3a_L,1.0749139024753531
6d_L,1.210717319581971
6mp_L,1.3097105574994523
6v_L,0.9713206133626026
p24pr_L,1.0990223755641084
33pr_L,0.829423823771383
a24pr_L,0.9614767522728392
p32pr_L,1.093163642311448
a24_L,0.8830921354005591
d32_L,1.1520726270232884
8BM_L,1.0567867693214867
p32_L,0.9384571575262748
10r_L,0.7398935312209642
47m_L,0.882521453605855
8Av_L,1.0253931406520411
8Ad_L,0.92429312823429
9m_L,1.067032893610859
8BL_L,1.0426017622819082
9p_L,0.8231655139880466
10d_L,1.0078140235761008
8C_L,0.9608149228019908
44_L,0.876226060623116
45_L,0.7988535867955966
47l_L,0.8070503838758194
a47r_L,0.7646189395980668
6r_L,0.8470344428965977
IFJa_L,0.8992007357054734
IFJp_L,0.9306439977821336
IFSp_L,0.9145800106880024
IFSa_L,0.9236894581031656
p9-46v_L,0.9917581644975372
46_L,0.8920925666855956
a9-46v_L,0.8161559092341415
9-46d_L,0.8200207199549784
9a_L,0.9866451825481194
10v_L,0.7983482815500536
a10p_L,0.8673828250977674
10pp_L,0.8344732391325386
11l_L,0.5845508660923345
13l_L,1.163864777372995
OFC_L,1.1876492271878143
47s_L,0.929032860329198
LIPd_L,1.295337408080978
6a_L,1.181770084284343
i6-8_L,1.2379619849031245
s6-8_L,1.0283063601088478
43_L,0.9213295337029496
OP4_L,0.7783793472044056
OP1_L,0.7482991757692223
OP2-3_L,0.7002858892087386
52_L,0.8472592008358806
RI_L,0.9926750567458864
PFcm_L,1.0022805373256238
PoI2_L,0.9478212967743176
TA2_L,0.841173487005514
FOP4_L,0.912812946623384
MI_L,0.8736216232236209
Pir_L,1.0463137698490257
AVI_L,0.7717841210591554
AAIC_L,0.9170776875901362
FOP1_L,0.9542500523825442
FOP3_L,0.8095442030974596
FOP2_L,0.9073475225628684
PFt_L,0.992258936287366
AIP_L,1.3050232789367564
EC_L,1.0660226346951047
PreS_L,0.8196390742164059
H_L,0.8723841042143812
ProS_L,0.9924557745400432
PeEc_L,1.1727284912434206
STGa_L,0.8825850321045091
PBelt_L,0.99027525056138
A5_L,0.932265581217742
PHA1_L,0.9503298983547782
PHA3_L,1.0516027621235564
STSda_L,0.9086613170018392
STSdp_L,0.8314769445657382
STSvp_L,0.8643519396894349
TGd_L,0.7490446296485017
TE1a_L,0.7231422040058156
TE1p_L,0.7125950005989679
TE2a_L,0.9770473282478112
TF_L,0.968224792183841
TE2p_L,0.9761971368233652
PHT_L,0.7500316134803151
PH_L,0.7440805932550962
TPOJ1_L,0.875069090245931
TPOJ2_L,0.761791257477561
TPOJ3_L,0.8958128205735999
DVT_L,0.9392243620140452
PGp_L,0.9279107242073212
IP2_L,1.258472920307196
IP1_L,1.2030361125074076
IP0_L,0.990604947546504
PFop_L,0.9709890541934084
PF_L,0.9782461154749416
PFm_L,1.0694733274886177
PGi_L,0.8938006433071028
PGs_L,1.013703000861158
V6A_L,1.2750155847238156
VMV1_L,0.9850203634724708
VMV3_L,0.927779531195652
PHA2_L,1.127436201076106
V4t_L,0.9456583518143056
FST_L,0.7835431119051807
V3CD_L,0.8413501455522684
LO3_L,0.9532845699957996
