region,mk_retest_cov
PGs_L,1.3878948563382603
V6A_L,1.6151461275591183
VMV1_L,1.254071391254075
VMV3_L,1.6123084311282887
PHA2_L,1.330852800759665
V4t_L,1.5955831584339621
FST_L,1.2759393377622326
V3CD_L,1.3996606243640977
LO3_L,1.5484862116215767
VMV2_L,1.5239129648619039
31pd_L,1.6181938788760577
31a_L,1.4865458159969105
VVC_L,1.466797628289293
25_L,1.4822061897601193
s32_L,1.9556239732896492
pOFC_L,1.5118386287152046
PoI1_L,1.1344587302165652
Ig_L,1.444465354869037
FOP5_L,2.2492206668162056
p10p_L,2.8189414514024396
p47r_L,2.150179269125269
TGv_L,1.7422012279967358
MBelt_L,1.2675837245486317
LBelt_L,1.209002983503475
A4_L,1.4252637772180516
STSva_L,1.440260753067804
TE1m_L,1.322299440566983
PI_L,1.2899350166786303
a32pr_L,2.793515661568625
p24_L,3.3070716787779326
V1_R,1.2043922821820068
MST_R,1.6146305408126276
V6_R,1.3681737152188005
V2_R,1.2015431807845625
V3_R,1.200576422893794
V4_R,1.56373197333825
V8_R,1.9627901733069144
4_R,1.9005532338601738
3b_R,1.6661652637422795
FEF_R,2.1419609271387863
PEF_R,2.1238625746962065
55b_R,1.9701901172849967
V3A_R,1.3046279430631242
RSC_R,1.3661694488567244
POS2_R,1.1755099205370751
V7_R,1.6899229835617509
IPS1_R,1.85901723979753
FFC_R,1.7083206407277205
V3B_R,1.6134148549884153
LO1_R,1.6340647499601457
LO2_R,1.4405693726027176
PIT_R,1.698443443243344
MT_R,1.6653756771116888
A1_R,1.7169916969917924
PSL_R,1.58576033698078
SFL_R,2.628708184585655
PCV_R,1.4509124196023446
STV_R,1.5864118744715743
7Pm_R,1.5049145500826229
7m_R,1.1955714685990146
POS1_R,1.1786191381463698
23d_R,1.3166637342514416
v23ab_R,1.429047339690308
d23ab_R,1.6577354272175413
31pv_R,1.4436063882514245
5m_R,1.9629742715752285
5mv_R,1.6617589210424568
23c_R,1.3257023135476895
5L_R,1.9942781374652871
24dd_R,1.4988774905059663
24dv_R,1.5369043762967074
7AL_R,2.0755832984815923
SCEF_R,2.066949696074824
6ma_R,2.7999945152905528
7Am_R,1.793376244429079
7Pl_R,1.5984331029126757
7PC_R,1.7546936665011565
LIPv_R,1.7788316341610204
VIP_R,1.716601273653071
MIP_R,1.4516796831001146
1_R,1.932426301549307
2_R,1.7914152332533166
3a_R,1.6551800547019664
6d_R,2.3883456622032515
6mp_R,2.5777400599700266
6v_R,2.231012764603148
p24pr_R,1.0902485603526983
33pr_R,1.3353367017267546
a24pr_R,1.6319818324094775
p32pr_R,1.7168050987785213
a24_R,1.9130006643510091
d32_R,2.431693437182199
8BM_R,2.186813284222727
p32_R,2.1997455549710336
10r_R,2.045964269661061
47m_R,1.500641823115873
8Av_R,2.3123283926188827
8Ad_R,2.7464050195051906
9m_R,2.4895403045200557
8BL_R,2.3777631652784312
9p_R,2.399321431207839
10d_R,2.9590155406373357
8C_R,2.3460948914945887
44_R,2.5349888995718977
45_R,2.3726444502383535
47l_R,2.0487504531907343
a47r_R,1.7528855520871072
6r_R,2.2309691709881556
IFJa_R,2.3894070652998503
IFJp_R,2.417067943079808
IFSp_R,2.517331661677939
IFSa_R,2.4395385159440117
p9-46v_R,2.6289035583859635
46_R,2.424903793867246
a9-46v_R,2.8002505732588934
9-46d_R,2.8404713533453347
9a_R,2.7425937203096615
10v_R,2.0685930891105606
a10p_R,2.4023025784657865
10pp_R,2.29786785166324
11l_R,1.8228684257451337
13l_R,1.749658322914624
OFC_R,3.176990876487152
47s_R,1.5108348619290433
LIPd_R,1.6156897273596638
6a_R,2.21003689867585
i6-8_R,2.3493125040683336
s6-8_R,2.8476416431117366
43_R,2.0783956677606454
OP4_R,1.9356750205236535
OP1_R,1.9203794824488423
OP2-3_R,1.6743319492332178
52_R,1.548863998736956
RI_R,1.6581722017735112
PFcm_R,2.011488812647461
PoI2_R,1.5746317537663912
TA2_R,1.9647075536244316
FOP4_R,1.9812709442745324
MI_R,1.7852162428689207
Pir_R,1.3842309755042546
AVI_R,1.7607200014938096
AAIC_R,1.4856443336439362
FOP1_R,2.4384936889981725
FOP3_R,1.9793626868419518
FOP2_R,1.9713964310992798
PFt_R,1.5912873297744938
AIP_R,1.462783645784817
EC_R,1.4427547125871178
PreS_R,1.536437071690128
H_R,1.157647239668296
ProS_R,1.3116698108104767
PeEc_R,1.3820358836113642
STGa_R,2.364675262542785
PBelt_R,1.661535942299363
A5_R,1.5793578006871194
PHA1_R,1.3454497277147328
PHA3_R,1.5340389612906746
STSda_R,2.0116478767707515
STSdp_R,1.699775381330571
STSvp_R,1.555700021235053
TGd_R,1.7413575231502252
TE1a_R,2.0153022031692784
TE1p_R,1.3653142812613779
TE2a_R,1.7230135962421405
TF_R,1.6753169500694207
TE2p_R,1.7788332952252743
PHT_R,1.3116726170792603
PH_R,1.594709054671557
TPOJ1_R,1.3594077860593488
TPOJ2_R,1.6328652463120732
TPOJ3_R,1.5229095893447537
DVT_R,1.4702022007039528
PGp_R,1.300980130570207
IP2_R,1.4543159339664007
IP1_R,1.5277526484844626
IP0_R,1.8445465164684083
PFop_R,1.7979887375612278
PF_R,1.4795749967751817
PFm_R,1.3579261646525846
PGi_R,1.376075114174261
PGs_R,1.3971866686646446
V6A_R,1.62983140842032
VMV1_R,1.4051792455311705
VMV3_R,1.6946016285337258
PHA2_R,1.4560709336369424
V4t_R,1.7013157062184172
FST_R,1.4496522070379523
V3CD_R,1.5908445510533564
LO3_R,1.596084032065514
VMV2_R,1.4038263474172115
31pd_R,1.2844077797471203
31a_R,1.4880676921475064
VVC_R,1.4228676810946332
25_R,1.24662098614075
s32_R,1.8489819620066623
pOFC_R,1.620466117325413
PoI1_R,1.2536303868304037
Ig_R,1.7528211598960093
FOP5_R,2.178080245733061
p10p_R,2.72977219468187
p47r_R,1.9224148324019796
TGv_R,1.4388762340677648
MBelt_R,1.431446453148154
LBelt_R,1.7596107583476888
A4_R,1.8614005310515098
STSva_R,1.8989646842806864
TE1m_R,1.593799172462633
PI_R,1.8077087193487853
a32pr_R,1.9829882642278414
p24_R,2.368877633677658
