region,mk_retest_cov
V1_L,1.090212423747885
MST_L,1.5227530518550483
V6_L,1.2550247650237265
V2_L,1.2294354038653381
V3_L,1.2187750599490612
V4_L,1.2795729916544836
V8_L,1.4472347750043515
4_L,1.933003759443414
3b_L,2.02189434308001
FEF_L,1.7957606436164668
PEF_L,1.8247714413699552
55b_L,1.7790496396265483
V3A_L,1.349417807119272
RSC_L,1.4059739940924931
POS2_L,1.183367778429185
V7_L,1.4080803860151585
IPS1_L,1.6716078455405003
FFC_L,1.3253942334209974
V3B_L,1.717076784069201
LO1_L,1.567092785432951
LO2_L,1.3528479663491737
PIT_L,1.460479756249847
MT_L,1.5797712762396203
A1_L,1.568783233183157
PSL_L,1.460358310408831
SFL_L,2.53103574478579
PCV_L,1.7085035889579037
STV_L,1.4975555597846792
7Pm_L,1.605490503600023
7m_L,1.333893438204738
POS1_L,1.3767791965707736
23d_L,1.4100207139287493
v23ab_L,1.1987601371845342
d23ab_L,1.5178265678608778
31pv_L,1.5752699991424899
5m_L,2.5299763034206553
5mv_L,2.0694000612918204
23c_L,1.3218664038343102
5L_L,2.291937982553151
24dd_L,1.687813924139367
24dv_L,1.5052563543336097
7AL_L,1.8666512179470056
SCEF_L,2.4521041381835413
6ma_L,2.4999660130399426
7Am_L,1.5066567862981244
7Pl_L,1.5018020722955796
7PC_L,1.684247348761098
LIPv_L,1.9252238991124586
VIP_L,1.7486707070277143
MIP_L,1.6235878213190291
1_L,1.8294688521055278
2_L,1.526178905449305
3a_L,1.5561528099280448
6d_L,2.712241819469987
6mp_L,2.2923969089672447
6v_L,1.9655278273390018
p24pr_L,1.3130890837423002
33pr_L,1.8325050868039938
a24pr_L,2.025692784410198
p32pr_L,2.0681138168552335
a24_L,2.3831976912114734
d32_L,3.342704070478427
8BM_L,2.6945198349446473
p32_L,2.718757215566954
10r_L,2.242786314998103
47m_L,1.540739074053181
8Av_L,1.7447070631805734
8Ad_L,1.865194937306511
9m_L,2.9733368459361906
8BL_L,2.03356487706158
9p_L,1.885959435529301
10d_L,3.160814228469435
8C_L,1.688108036999092
44_L,1.7832147487337988
45_L,1.794813892342909
47l_L,1.5613300809050608
a47r_L,1.5196253614722988
6r_L,1.7280998912336285
IFJa_L,1.9041887051488162
IFJp_L,1.7027160115450004
IFSp_L,2.3498696897730955
IFSa_L,2.2889701648969116
p9-46v_L,1.9234937316036644
46_L,2.1095240734051313
a9-46v_L,2.405455198540971
9-46d_L,2.387725626365516
9a_L,2.227377516059736
10v_L,1.9885715167175584
a10p_L,2.5769471955362375
10pp_L,2.652802677030666
11l_L,1.7857186647144259
13l_L,1.766638954625842
OFC_L,3.499235833994013
47s_L,1.5170930777254
LIPd_L,1.707877207054272
6a_L,1.9086874757456704
i6-8_L,1.7144620169298488
s6-8_L,2.1948722133054246
43_L,1.4447351264708392
OP4_L,1.459264063837062
OP1_L,1.6281834819102587
OP2-3_L,1.400733663219724
52_L,1.1881251316530725
RI_L,1.5834729902565625
PFcm_L,1.56617369430663
PoI2_L,1.3633503308097659
TA2_L,1.4185511854384385
FOP4_L,1.9659696909147109
MI_L,1.5589941965418719
Pir_L,1.3827828304519012
AVI_L,1.7353326850454778
AAIC_L,1.1089421649749833
FOP1_L,1.6800823370230609
FOP3_L,1.726003764490252
FOP2_L,1.9015518642393738
PFt_L,1.4734735898518232
AIP_L,1.4998563828487208
EC_L,1.7567204550475608
PreS_L,1.669203000463488
H_L,1.207649212017585
ProS_L,1.5130186776300312
PeEc_L,1.4414551695445235
STGa_L,1.454972937114092
PBelt_L,1.558628724116073
A5_L,1.3861683459281378
PHA1_L,1.1663727821904046
PHA3_L,1.1581465368936785
STSda_L,1.3347148609042376
STSdp_L,1.1387706939746318
STSvp_L,1.1641201921337736
TGd_L,1.6572636814327024
TE1a_L,1.4010138706956614
TE1p_L,1.2464728822735536
TE2a_L,1.6776647122820934
TF_L,1.4789599734043253
TE2p_L,1.2220574159968836
PHT_L,1.2471371723306843
PH_L,1.389037089827031
TPOJ1_L,1.322805903347826
TPOJ2_L,1.2686878394463177
TPOJ3_L,1.2427076614392598
DVT_L,1.2932051536034492
PGp_L,1.3689007416573091
IP2_L,1.5084782996853054
IP1_L,1.3007644551524287
IP0_L,1.7245574001502662
PFop_L,1.4570672050207047
PF_L,1.3317809011305037
PFm_L,1.2132937462725135
PGi_L,1.2321725514896342
