region,mkt_retest_cov
V1_L,1.123592608209607
MST_L,1.657672591577251
V6_L,1.3432287019396
V2_L,1.243888961640822
V3_L,1.2640009378092611
V4_L,1.2763503998525412
V8_L,1.5390286796740693
4_L,2.071493221533068
3b_L,2.1373166770814174
FEF_L,1.8360484133537367
PEF_L,1.928849244830556
55b_L,1.791399510646961
V3A_L,1.4210258573842025
RSC_L,1.499331889976116
POS2_L,1.2030478750696605
V7_L,1.529683235909149
IPS1_L,1.775807632944735
FFC_L,1.3898583934387403
V3B_L,1.7017061035029983
LO1_L,1.6908740997910925
LO2_L,1.396633959934363
PIT_L,1.5282356937855006
MT_L,1.7303229754120475
A1_L,1.6946379798295348
PSL_L,1.5475886850052734
SFL_L,2.650802795891709
PCV_L,1.802948941356891
STV_L,1.606440663248934
7Pm_L,1.7592801879644977
7m_L,1.3703558589355478
POS1_L,1.4648069620328643
23d_L,1.452064523766386
v23ab_L,1.261469679667209
d23ab_L,1.5507860106157834
31pv_L,1.6690184589778023
5m_L,2.6621416143910266
5mv_L,2.191509236055393
23c_L,1.356841485366639
5L_L,2.496683484686113
24dd_L,1.7606276793753803
24dv_L,1.5334012400480757
7AL_L,2.017152779675195
SCEF_L,2.5441271873644142
6ma_L,2.6336413938641345
7Am_L,1.7064832054674255
7Pl_L,1.6228771555280548
7PC_L,1.8158081369746064
LIPv_L,2.018967970176191
VIP_L,1.8899113907675895
MIP_L,1.7120180691506812
1_L,1.9502203238284572
2_L,1.6228642494110788
3a_L,1.6263836159064322
6d_L,2.875648872315491
6mp_L,2.423543154580884
6v_L,2.061909354237889
p24pr_L,1.2882364980532146
33pr_L,1.8944031015358884
a24pr_L,2.05519458114619
p32pr_L,2.0938508310296946
a24_L,2.4517861140390886
d32_L,3.4707850603338453
8BM_L,2.81540074527633
p32_L,2.830950827618657
10r_L,2.3213001497625
47m_L,1.5782121301591316
8Av_L,1.8575539937596717
8Ad_L,1.943906215212737
9m_L,3.142924634278163
8BL_L,2.143038193288506
9p_L,1.9575460841142616
10d_L,3.3133514766959693
8C_L,1.7746278469502037
44_L,1.8924052658051287
45_L,1.927636941045749
47l_L,1.6820568408624923
a47r_L,1.5680238075259365
6r_L,1.80802469066222
IFJa_L,1.9945108432131464
IFJp_L,1.7944861617740258
IFSp_L,2.453693723270688
IFSa_L,2.3781006041157786
p9-46v_L,2.0579269844925903
46_L,2.19525174723199
a9-46v_L,2.5177008151988667
9-46d_L,2.4965329098802407
9a_L,2.4015208328737057
10v_L,2.1540316274360025
a10p_L,2.669096072023243
10pp_L,2.763249864988099
11l_L,1.7900865980421743
13l_L,1.9391898072237863
OFC_L,3.4482991417927567
47s_L,1.570771503526076
LIPd_L,1.7744425021862216
6a_L,1.9852098219962813
i6-8_L,1.762969666718253
s6-8_L,2.2911753291799544
43_L,1.513067044090462
OP4_L,1.542468192967835
OP1_L,1.6761743120656605
OP2-3_L,1.5100260450957854
52_L,1.201448923119841
RI_L,1.695221769579308
PFcm_L,1.6432960360128492
PoI2_L,1.4148919157282411
TA2_L,1.4809594285934222
FOP4_L,2.05743044939962
MI_L,1.6455364339154934
Pir_L,1.5379697163746664
AVI_L,1.8515449483630968
AAIC_L,1.2199324538369076
FOP1_L,1.7409048601139945
FOP3_L,1.7882146688397087
FOP2_L,2.001277930167797
PFt_L,1.5392515296890266
AIP_L,1.5898079703641246
EC_L,1.8684945045652612
PreS_L,1.8672697113179288
H_L,1.265214114834648
ProS_L,1.5441484386453326
PeEc_L,1.572999110006789
STGa_L,1.5505251857515785
PBelt_L,1.6003523064412792
A5_L,1.4914913958357314
PHA1_L,1.2521238312598242
PHA3_L,1.209786025157373
STSda_L,1.4154618850326617
STSdp_L,1.1624456482385537
STSvp_L,1.2356948317036036
TGd_L,1.7664926027761825
TE1a_L,1.4674530520348998
TE1p_L,1.35308828714716
TE2a_L,1.7473969720104927
TF_L,1.5940717934479722
TE2p_L,1.2872081097976935
PHT_L,1.336078661591537
PH_L,1.5027573543286643
TPOJ1_L,1.3902091581567295
