region,mkt_retest_cov
TPOJ2_L,1.2993924294942791
TPOJ3_L,1.2210563185733814
DVT_L,1.397312036945235
PGp_L,1.5644609360311166
IP2_L,1.5579366922416336
IP1_L,1.320982987952454
IP0_L,1.731138763926925
PFop_L,1.602324909656471
PF_L,1.47472518559084
PFm_L,1.3387054780146923
PGi_L,1.345793134185674
PGs_L,1.5032619523627069
V6A_L,1.6244654668440477
VMV1_L,1.2997959945535869
VMV3_L,1.5800998481811122
PHA2_L,1.3529343348300733
V4t_L,1.722524912911341
FST_L,1.3502692627381792
V3CD_L,1.4760923900814524
LO3_L,1.7261329719291298
VMV2_L,1.578978818076518
31pd_L,1.7075651153186315
31a_L,1.531654142727368
VVC_L,1.519231192252678
25_L,1.6738366359173735
s32_L,2.1517801905256477
pOFC_L,1.61074899098388
PoI1_L,1.176147404688889
Ig_L,1.521389994031834
FOP5_L,2.3596014461525763
p10p_L,2.8995468778352227
p47r_L,2.235589665444535
TGv_L,1.843090110862816
MBelt_L,1.323073679817682
LBelt_L,1.350220220415816
A4_L,1.4803645761162991
STSva_L,1.506355845167352
TE1m_L,1.414461566686496
PI_L,1.3639297565266737
a32pr_L,2.8997173769115427
p24_L,3.417333022713404
V1_R,1.245135688293067
MST_R,1.6710188000462998
V6_R,1.4230909546334394
V2_R,1.2259242539309263
V3_R,1.269452405639083
V4_R,1.5905638224965708
V8_R,1.943244402344537
4_R,2.0368983229938924
3b_R,1.7364006478314091
FEF_R,2.208685110191749
PEF_R,2.18440999322616
55b_R,2.095868743492864
V3A_R,1.3244463489218845
RSC_R,1.5075197656961945
POS2_R,1.2599504280912024
V7_R,1.7355469284161693
IPS1_R,1.9365420198132823
FFC_R,1.795907066451483
V3B_R,1.6963321966845142
LO1_R,1.733008029509327
LO2_R,1.5197907063981737
PIT_R,1.8239401545387357
MT_R,1.8157094823869897
A1_R,1.7999044306513785
PSL_R,1.769350363277688
SFL_R,2.7215003244390377
PCV_R,1.5073402612719609
STV_R,1.684086935807526
7Pm_R,1.638513680632141
7m_R,1.2449079794018876
POS1_R,1.248692799681573
23d_R,1.3546526345347658
v23ab_R,1.4839798402854298
d23ab_R,1.6272625462281938
31pv_R,1.5049612351460306
5m_R,2.0669357519001967
5mv_R,1.7241513509838966
23c_R,1.3910435060453836
5L_R,2.106177839732115
24dd_R,1.6178973259648934
24dv_R,1.5899981047873724
7AL_R,2.1724072672992927
SCEF_R,2.1675920143203395
6ma_R,2.925725666351214
7Am_R,1.891331020808088
7Pl_R,1.772361569244723
7PC_R,1.836301916730119
LIPv_R,1.8757562533402712
VIP_R,1.7651429966457817
MIP_R,1.578296655902288
1_R,2.0497787212688454
2_R,1.8591702660877785
3a_R,1.7337948513284704
6d_R,2.4832469949726788
6mp_R,2.6933893564205493
6v_R,2.425859355899127
p24pr_R,1.1205420516386413
33pr_R,1.4098685881017414
a24pr_R,1.6634394598007758
p32pr_R,1.7596509016696258
a24_R,1.93344146317885
d32_R,2.5583971381785724
8BM_R,2.2982698848781373
p32_R,2.255502046497232
10r_R,2.1567233263656727
47m_R,1.5399555181525395
8Av_R,2.461607257129317
8Ad_R,2.8339662631754967
9m_R,2.5758435121824896
8BL_R,2.500425374910299
9p_R,2.491543601584921
10d_R,3.166326807860156
8C_R,2.442620262969556
44_R,2.6143449844768782
45_R,2.536491772306204
47l_R,2.1685519027352305
a47r_R,1.813663495630019
6r_R,2.3407992158373534
IFJa_R,2.456813153067406
IFJp_R,2.4845108748470404
IFSp_R,2.561747668973249
IFSa_R,2.5487921478134323
p9-46v_R,2.7412637303084177
46_R,2.4936796865174014
a9-46v_R,2.932054263971816
9-46d_R,2.901054773039985
9a_R,2.857223509784625
10v_R,2.14646245388957
a10p_R,2.484234091320048
10pp_R,2.424326685686008
11l_R,1.890727256934122
13l_R,1.96468768672558
OFC_R,3.135914333726774
47s_R,1.5310665950800602
LIPd_R,1.7387855869828113
6a_R,2.2731970940894355
i6-8_R,2.4616258350363363
s6-8_R,2.9782732692996303
43_R,2.151723188899009
OP4_R,2.003085962064848
OP1_R,1.9709229566250823
OP2-3_R,1.717864201817122
52_R,1.553920519113148
RI_R,1.7035615865679854
PFcm_R,2.04335705756135
PoI2_R,1.6071730710895342
TA2_R,1.9781245295906664
FOP4_R,2.013260119949506
MI_R,1.853510638148936
Pir_R,1.4647343201979215
AVI_R,1.838190075605845
AAIC_R,1.4766526634936374
FOP1_R,2.539288373865201
FOP3_R,2.01075456829147
FOP2_R,2.0070253070174617
PFt_R,1.678164877528376
AIP_R,1.5157801852057309
EC_R,1.4966425819028484
PreS_R,1.7439343938967968
H_R,1.2087719967363315
ProS_R,1.342933767723081
PeEc_R,1.4636891071285645
STGa_R,2.4826118317827555
PBelt_R,1.6745219950389505
A5_R,1.6344592998522842
PHA1_R,1.4020517905682464
PHA3_R,1.5572820419734446
STSda_R,2.063131803752798
STSdp_R,1.7480062432585743
STSvp_R,1.647527806898092
TGd_R,1.8642737676298915
TE1a_R,2.083526394342001
TE1p_R,1.449880057193551
TE2a_R,1.8209886045749384
TF_R,1.7853555302970017
TE2p_R,1.868627487836682
PHT_R,1.4285419270294597
PH_R,1.66513227946885
TPOJ1_R,1.4773671390228875
TPOJ2_R,1.7583337582575087
TPOJ3_R,1.6467460586457496
DVT_R,1.5508504646547832
PGp_R,1.394510010654997
IP2_R,1.6213535840920352
IP1_R,1.5892304304901836
IP0_R,1.9476047402621857
PFop_R,1.8560547759655144
PF_R,1.56298961595088
PFm_R,1.4976517123053903
PGi_R,1.541822068407211
PGs_R,1.550264840523544
V6A_R,1.8472450111574616
VMV1_R,1.4462846361057051
VMV3_R,1.7720330677711302
PHA2_R,1.510421548294821
V4t_R,1.7835687959349575
FST_R,1.501229700436321
V3CD_R,1.6590413365378809
LO3_R,1.6753516101632715
VMV2_R,1.3827383021093962
31pd_R,1.2932318317323312
31a_R,1.4846006696892564
VVC_R,1.4825311751211132
25_R,1.2740780276086658
s32_R,1.9812779826123263
pOFC_R,1.646470222413147
PoI1_R,1.2804945318826482
Ig_R,1.795588443080424
FOP5_R,2.2384667368955204
p10p_R,2.820723459740919
p47r_R,2.025982768332025
TGv_R,1.4775785586500272
MBelt_R,1.4321242384907993
LBelt_R,1.8466642842432848
A4_R,1.893853894744081
STSva_R,1.8997953903010243
TE1m_R,1.6432549878668754
PI_R,1.8391062506844285
a32pr_R,2.0390641928898443
p24_R,2.43154978796935
