region,odi_retest_cov
V1_L,0.8862820315386339
MST_L,1.6555360679498414
V6_L,1.140065546900145
V2_L,0.8702596334740605
V3_L,0.9155903623494116
V4_L,1.2287380028409192
V8_L,1.623709611123456
4_L,1.132162448831553
3b_L,1.374834159666455
FEF_L,1.146902703666717
PEF_L,1.7412141384794946
55b_L,1.4658018783912592
V3A_L,1.4086148640186091
RSC_L,1.694780185194517
POS2_L,1.3019816968129048
V7_L,1.7206455194840622
IPS1_L,1.589074537728867
FFC_L,1.3378767575125814
V3B_L,1.6743171349467665
LO1_L,1.6133243462385265
LO2_L,1.500815521202759
PIT_L,1.7148672847214652
MT_L,1.4890964589549371
A1_L,1.5819626420983737
PSL_L,1.5110211731521426
SFL_L,1.599242854925623
PCV_L,1.6892002987760142
STV_L,1.4668832820876565
7Pm_L,1.957412617013616
7m_L,1.468064694961188
POS1_L,1.2626574059232236
23d_L,1.1141540548761044
v23ab_L,1.612725087559134
d23ab_L,1.4999511401965857
31pv_L,1.3641858539438665
5m_L,1.7155218393131957
5mv_L,1.4061676476242575
23c_L,1.2106811458730942
5L_L,1.8810844392710888
24dd_L,1.318579936691254
24dv_L,1.3996836584570478
7AL_L,1.897716301792504
SCEF_L,1.6850048918688767
6ma_L,1.5557668163994731
7Am_L,1.8250273378265165
7Pl_L,2.0840333208612165
7PC_L,1.5454980732067496
LIPv_L,1.4362324978415464
VIP_L,1.94821642334388
MIP_L,1.8630143007803424
1_L,1.360608332041111
2_L,1.248413100420959
3a_L,1.0578827959933068
6d_L,1.510432464487773
6mp_L,1.4938794869052463
6v_L,1.9263217203782288
p24pr_L,1.6852135329162017
33pr_L,3.230793586705554
a24pr_L,2.1318228084556123
p32pr_L,1.7991237949226055
a24_L,2.136218442240504
d32_L,2.0674851830202288
8BM_L,1.9136610648054715
p32_L,2.3475504783803096
10r_L,1.9141099992886803
47m_L,2.084729197101008
8Av_L,1.4884853574315104
8Ad_L,1.6177524099728633
9m_L,2.09422357572668
8BL_L,1.955414582825862
9p_L,2.078556446730293
10d_L,2.431038445052322
8C_L,1.8270011528030696
44_L,1.8576229703191949
45_L,1.806809070776479
47l_L,1.81181193938822
a47r_L,1.946148620898016
6r_L,1.4969094983486455
IFJa_L,1.651289600996286
IFJp_L,2.022157257603914
IFSp_L,1.6807642143231625
IFSa_L,1.9858750135041103
p9-46v_L,2.0211939378672263
46_L,2.079329644520871
a9-46v_L,2.3435769901407637
9-46d_L,2.471293975140986
9a_L,2.2664283537640206
10v_L,1.9707942698474128
a10p_L,2.196091602840085
10pp_L,2.672576976462961
11l_L,2.13646981324016
13l_L,1.6786669343805003
OFC_L,1.36589240250445
47s_L,1.6929177820658283
LIPd_L,1.5472431410273322
6a_L,1.2179688904292736
i6-8_L,1.6324494119913662
s6-8_L,2.0286207005270995
43_L,1.6371584837843716
OP4_L,1.3693749635361168
OP1_L,1.5886219215172372
OP2-3_L,1.3813412535908869
52_L,1.87005505280678
RI_L,1.7728696273206703
PFcm_L,1.5472119245635587
PoI2_L,2.1343235180689204
TA2_L,1.6298708477313295
FOP4_L,1.6208890180402211
MI_L,2.059428126717956
Pir_L,3.3874791614100475
AVI_L,1.9071410172174572
AAIC_L,2.8044181718509558
FOP1_L,1.843194459822057
FOP3_L,1.8060831597630456
FOP2_L,1.510397280150516
PFt_L,1.4592824480624629
AIP_L,1.3062755670786002
EC_L,2.381821606280424
PreS_L,1.8758150166178085
H_L,1.2556032402908204
ProS_L,1.754723542873549
PeEc_L,1.7188567740742324
STGa_L,1.9704850739032511
PBelt_L,0.8726905130720176
A5_L,1.5103904695859325
PHA1_L,1.5693320487201572
PHA3_L,1.401088435752286
STSda_L,1.5954954949697648
STSdp_L,1.594836173214786
STSvp_L,1.4441870395250112
TGd_L,1.7933581934355638
TE1a_L,1.92013565194926
TE1p_L,1.3598057020407883
TE2a_L,1.3657000011501526
TF_L,1.4490833302501185
TE2p_L,1.4274528082832176
PHT_L,1.2428772403871196
PH_L,1.305157119389444
TPOJ1_L,1.624499844420552
TPOJ2_L,0.9856887421557906
TPOJ3_L,1.7109010184886506
DVT_L,1.354139174018681
PGp_L,1.632181194887819
IP2_L,1.2950754470943997
IP1_L,1.2806144279138236
IP0_L,1.6470587069746028
PFop_L,1.5498189320073403
PF_L,1.2426362443015766
PFm_L,1.2342398329443955
PGi_L,1.2531078923327317
PGs_L,1.5527196702810528
V6A_L,1.684810123893746
VMV1_L,1.3080089314971886
VMV3_L,1.9337782823174148
PHA2_L,1.7168522884198294
V4t_L,1.772798419761802
FST_L,1.504813388878968
V3CD_L,1.55454199480014
LO3_L,1.6544806252885138
VMV2_L,2.0075146874066707
31pd_L,1.3470496198073934
31a_L,1.6255257901983935
VVC_L,1.2406567207392931
25_L,2.399842890227573
s32_L,2.079582585801964
pOFC_L,2.455507747402743
PoI1_L,2.3339553123009003
Ig_L,1.255442617455334
FOP5_L,1.8159172369475904
p10p_L,2.8764148190698817
p47r_L,2.230577649095025
TGv_L,2.370254376829086
MBelt_L,1.413039658545028
LBelt_L,1.1056623961402807
A4_L,1.4869365593557908
STSva_L,1.575901644867161
TE1m_L,1.5769245341091205
PI_L,1.6798216088965936
a32pr_L,1.9205220944462835
p24_L,2.177247089867011
V1_R,1.0071737635600806
MST_R,1.564347072735621
V6_R,1.347715925357153
V2_R,0.9492480855723404
V3_R,0.9336332719214336
V4_R,0.9786577148734256
V8_R,1.8054624261441992
4_R,1.2959690467401137
3b_R,1.365928837706998
FEF_R,1.3842880776653606
PEF_R,1.8856188792042765
55b_R,1.6443326155797806
V3A_R,1.1146313893452913
RSC_R,1.7605731412746983
POS2_R,0.9709682045202368
V7_R,1.6460188077909208
IPS1_R,1.6367222195063196
FFC_R,1.3670501906669057
V3B_R,1.435953594803563
LO1_R,1.586405322097255
LO2_R,1.5230696184121035
PIT_R,1.4530791313794935
MT_R,1.3074955524978773
A1_R,1.3899126028353852
PSL_R,1.425161215915841
SFL_R,2.144202349446233
PCV_R,1.6500918960526745
STV_R,1.5335617889445243
7Pm_R,1.8423783876335007
7m_R,1.3329018642405992
POS1_R,1.183912606677544
23d_R,1.6239597700878523
v23ab_R,1.8913790075163133
d23ab_R,1.7046027835641593
31pv_R,1.4522220890152755
5m_R,1.682905061783987
5mv_R,1.4856204131830584
23c_R,1.424282266880022
5L_R,1.570991169291854
24dd_R,1.4492864068990186
24dv_R,1.3646425282454082
7AL_R,1.481835567882276
SCEF_R,1.5549697972223426
6ma_R,1.8679589240141152
7Am_R,1.8472343688554256
7Pl_R,1.7360456304276413
7PC_R,1.6553999056702584
LIPv_R,1.747827826360104
VIP_R,1.5305071170001192
MIP_R,1.3507045924551844
1_R,1.2343709306559794
2_R,1.3589302285982312
3a_R,1.122809672505728
6d_R,1.5862898374480243
6mp_R,1.5122295911647263
6v_R,1.9732826892286568
p24pr_R,1.6305863454300893
33pr_R,2.37901332209826
a24pr_R,1.9031382982155785
p32pr_R,1.5483774296423298
a24_R,2.4365356584179434
d32_R,1.773330855196133
8BM_R,2.0744557040800475
p32_R,2.4530162178539934
10r_R,2.1908124001998703
47m_R,1.8721349216862044
8Av_R,1.5764121242436546
8Ad_R,1.8527945324528683
9m_R,2.3184183541222785
8BL_R,1.9492178042334332
9p_R,2.316955416402531
10d_R,2.600604061324732
8C_R,1.5367599969783192
44_R,1.8483026938830756
45_R,2.3834638077163293
47l_R,2.0383808391785228
a47r_R,2.1818444289475427
6r_R,1.3394437904944112
IFJa_R,1.5670204064108573
IFJp_R,1.564589859297254
IFSp_R,1.727449936871475
IFSa_R,1.6691105405745077
p9-46v_R,1.73340194183331
46_R,1.963197392523584
a9-46v_R,2.2363431768480138
9-46d_R,1.834683433796341
9a_R,2.525698885027213
10v_R,2.05497988868212
a10p_R,2.525123557772687
10pp_R,2.396520888109652
11l_R,1.944731672495437
13l_R,1.5892298587228453
OFC_R,1.4295630448369148
47s_R,1.943150656001676
LIPd_R,1.844099759355524
6a_R,1.434627683850162
i6-8_R,1.7645719743655963
s6-8_R,1.999824758131748
43_R,1.4909048404183722
OP4_R,1.5589346981325551
OP1_R,2.124182874433548
OP2-3_R,1.3314961153761118
52_R,1.6417153438453207
RI_R,1.525191491240691
PFcm_R,1.621693752247371
PoI2_R,2.475447861082462
TA2_R,2.2440725547935405
FOP4_R,1.6943751971120709
MI_R,1.84544844379634
Pir_R,2.601861881041008
AVI_R,1.7829961250664588
AAIC_R,1.710823721302143
FOP1_R,1.8189361003423823
FOP3_R,1.9905399365047451
FOP2_R,1.6919659422285245
PFt_R,1.575694699393507
AIP_R,1.3386932064744748
EC_R,2.0169298611337414
PreS_R,2.385912020315453
H_R,1.234133976805477
ProS_R,1.7722315342244883
PeEc_R,1.467094994225732
STGa_R,2.1784548056979816
PBelt_R,1.984213363400131
A5_R,1.806288444355116
PHA1_R,1.7318552483666836
PHA3_R,1.4930953538915377
STSda_R,1.7852079156676537
STSdp_R,1.494603311630566
STSvp_R,1.542463322517222
TGd_R,1.668794998811747
TE1a_R,2.1026415126825864
TE1p_R,1.3236774948553087
TE2a_R,1.4536122262332296
TF_R,1.211729556134114
TE2p_R,1.2324034343695676
PHT_R,1.590833933791614
PH_R,1.4919170328146123
TPOJ1_R,1.4428855447350466
TPOJ2_R,1.4959917463272023
TPOJ3_R,1.2482203451969562
DVT_R,1.5318114485117773
PGp_R,1.5624933671245476
IP2_R,1.3513993276869365
IP1_R,1.1233860332920629
IP0_R,1.5498665916771297
PFop_R,1.5133369057445838
PF_R,1.364238108330662
PFm_R,1.3082880768961442
PGi_R,1.3146820176480531
PGs_R,1.428491222468982
V6A_R,1.783509586047094
VMV1_R,1.3003847260440775
VMV3_R,2.141171922953506
PHA2_R,1.866072284680916
V4t_R,1.69324363642252
FST_R,1.4043102676063095
V3CD_R,1.5689994081604302
LO3_R,1.5310279433283118
VMV2_R,1.336901640669921
31pd_R,1.2868375312790383
31a_R,2.0329778984304125
VVC_R,1.20112647116795
25_R,2.480036075567792
s32_R,2.615167028283183
pOFC_R,2.3296872064688525
PoI1_R,2.515613918229861
Ig_R,1.6017081446751598
FOP5_R,1.5658312033211397
p10p_R,2.0811173826340683
p47r_R,1.549363706359252
TGv_R,1.685123884882778
