region,fa_retest_cov
V1_L,1.6669016361309992
MST_L,2.401419985238908
V6_L,2.271556909224333
V2_L,1.0613740793859325
V3_L,0.9071658927641443
V4_L,1.3166290872639308
V8_L,2.2515137863083496
4_L,1.0735264512361649
3b_L,2.2777752848215544
FEF_L,1.749332625180316
PEF_L,1.9602258012300373
55b_L,1.5387713369947857
V3A_L,1.3572785535082614
RSC_L,2.185816876144127
POS2_L,1.1192366980539588
V7_L,2.7934598985055
IPS1_L,1.8681799778494903
FFC_L,1.868928092501126
V3B_L,2.0881064362521156
LO1_L,1.6047213330131176
LO2_L,2.3510576425713854
PIT_L,2.002434306767852
MT_L,2.2518547607449975
A1_L,2.82051816233889
PSL_L,1.9502598464333512
SFL_L,1.4114599314618264
PCV_L,1.3245166622112006
STV_L,1.724761810317967
7Pm_L,1.7677774672191817
7m_L,1.3810817322638451
POS1_L,1.729363502395391
23d_L,2.7093670630719546
v23ab_L,1.7894419081997983
d23ab_L,1.9407614638007993
31pv_L,1.761293400979823
5m_L,2.171378262709414
5mv_L,2.208935783574291
23c_L,1.3697564952964578
5L_L,2.0735274792680465
24dd_L,1.861765313923341
24dv_L,2.205902913713741
7AL_L,1.5446300256979155
SCEF_L,1.8810129009568564
6ma_L,1.837099656542925
7Am_L,1.4740225794653177
7Pl_L,1.6207103206977314
7PC_L,1.6261304106640764
LIPv_L,1.9073019394357393
VIP_L,1.6304398752678382
MIP_L,1.5838086053616456
1_L,1.6292702797828376
2_L,1.5655068889678492
3a_L,2.358870171832472
6d_L,1.5404049999551135
6mp_L,1.4877773784171668
6v_L,1.8811431144305637
p24pr_L,2.009199893410767
33pr_L,2.310478745153333
a24pr_L,2.39914774692776
p32pr_L,2.19359485980885
a24_L,1.5686639861439347
d32_L,1.3861767400875682
8BM_L,1.3612454400339402
p32_L,1.8790017759000497
10r_L,1.89757206461947
47m_L,1.9727301373055377
8Av_L,1.5797379686352437
8Ad_L,1.326382720131295
9m_L,1.2619683967773556
8BL_L,1.3727378174962774
9p_L,1.4487915658400272
10d_L,1.4583825299933306
8C_L,1.3882084183786285
44_L,1.6233563561119115
45_L,1.280951389266051
47l_L,1.6252121649459401
a47r_L,1.368511348219972
6r_L,1.2903732154589997
IFJa_L,1.5963052794221486
IFJp_L,1.8406030809177936
IFSp_L,2.0958916311088016
IFSa_L,1.474333432118779
p9-46v_L,1.149649001403414
46_L,1.593122831714187
a9-46v_L,1.6722990410385348
9-46d_L,1.118408125154966
9a_L,1.3525816523637328
10v_L,2.6349484240081886
a10p_L,2.070407101429374
10pp_L,1.751088741282138
11l_L,1.8287174410987668
13l_L,2.4814996930145856
OFC_L,3.2004358169387985
47s_L,1.8350200706422861
LIPd_L,2.1062152221252783
6a_L,1.9869852993042532
i6-8_L,2.646054983872409
s6-8_L,2.0827379830455572
43_L,1.3697587502939774
OP4_L,1.2654541972346656
OP1_L,1.2723697388623274
OP2-3_L,1.7812099290492032
52_L,2.539512902672931
RI_L,2.3016451755100764
PFcm_L,1.762378583084069
PoI2_L,2.0995995494289597
TA2_L,1.8234915124995188
FOP4_L,1.259090672895328
MI_L,1.983263130192735
Pir_L,2.1249801669882595
AVI_L,2.035632214123708
AAIC_L,1.9224934016305113
FOP1_L,1.2165865621468475
