region,fa_retest_cov
FOP3_L,1.9039126167365255
FOP2_L,1.8228053857697923
PFt_L,1.347486589852282
AIP_L,1.2381179855735143
EC_L,2.384314790582592
PreS_L,2.124093662363908
H_L,2.012255265462767
ProS_L,2.2626858521103457
PeEc_L,1.964668471519233
STGa_L,1.5688250710529599
PBelt_L,1.6226242511753002
A5_L,1.472300062506698
PHA1_L,2.0809044189035237
PHA3_L,2.1358731730972846
STSda_L,1.8204970264119384
STSdp_L,1.6237144498262128
STSvp_L,1.6678018380544255
TGd_L,1.3169351397334885
TE1a_L,1.4814118365495357
TE1p_L,1.2677961775188626
TE2a_L,1.2266631097696084
TF_L,1.6674346286228794
TE2p_L,1.6531415960677545
PHT_L,1.3922165720864978
PH_L,1.5962830067410747
TPOJ1_L,1.744108354808208
TPOJ2_L,1.8051664655542632
TPOJ3_L,2.089735252739873
DVT_L,2.101261501535998
PGp_L,1.3497468121623335
IP2_L,1.8458886060398245
IP1_L,1.7941297069755335
IP0_L,2.36785535519011
PFop_L,1.4708002845057713
PF_L,1.1690224466888448
PFm_L,1.0062494097882588
PGi_L,1.1436051154436206
PGs_L,1.186647968434289
V6A_L,2.049802075225084
VMV1_L,2.6078188395594877
VMV3_L,3.540270513639285
PHA2_L,2.4439763627632187
V4t_L,2.6417887911767157
FST_L,1.6113242529713097
V3CD_L,1.944155775682711
LO3_L,2.207942484698872
VMV2_L,2.997629040552807
31pd_L,1.5897376271505799
31a_L,1.7458775731083034
VVC_L,1.9724118376603195
25_L,2.1127371818223653
s32_L,2.845808783027872
pOFC_L,3.1312242308852567
PoI1_L,2.1557160237459727
Ig_L,1.6726431694452828
FOP5_L,1.6887082794197632
p10p_L,2.1540302249624483
p47r_L,1.6719538185681706
TGv_L,1.5568892014622333
MBelt_L,1.9879383433359539
LBelt_L,2.1330459995102578
A4_L,1.7161769394078423
STSva_L,1.6046817386292898
TE1m_L,1.6115488437213672
PI_L,2.0445031283224906
a32pr_L,1.8058014834784037
p24_L,1.4855190930057194
V1_R,1.048244833589074
MST_R,1.9411465180896135
V6_R,1.6663515671734912
V2_R,0.9025213547077889
V3_R,0.8700387369695122
V4_R,0.8996466624231844
V8_R,1.5697399253757116
4_R,1.0260514096272733
3b_R,1.95818967946963
FEF_R,1.737096666900044
PEF_R,2.1265410896729198
55b_R,1.626143351760629
V3A_R,1.4426601152879353
RSC_R,2.0393631141490074
POS2_R,0.8935417390661728
V7_R,2.5901397857352997
IPS1_R,2.1703418564980717
FFC_R,1.353805077485015
V3B_R,1.6032766541984644
LO1_R,2.105131021862233
LO2_R,1.9631806556621045
PIT_R,1.6510030753150364
MT_R,2.0818360699735305
A1_R,2.397634627733058
PSL_R,1.4512144310132025
SFL_R,1.890320741591354
PCV_R,1.6676735526187294
STV_R,1.5510732407040226
7Pm_R,1.733768586969776
7m_R,1.2036444672166535
POS1_R,1.5484660102524541
23d_R,1.8637625055933364
v23ab_R,1.8766683365834578
d23ab_R,1.8091360979526745
31pv_R,1.9044488411482714
5m_R,2.0464566677930343
5mv_R,2.0821614933069856
23c_R,1.6799728006649306
5L_R,1.610713387953782
24dd_R,1.5881382382495461
24dv_R,1.6154513984388066
7AL_R,1.8275719784053963
SCEF_R,1.6083511144498197
6ma_R,2.0315026474235425
7Am_R,1.276021404496522
7Pl_R,1.205266583691107
7PC_R,1.6211957943237896
LIPv_R,2.206304305554165
VIP_R,1.6629627877875426
MIP_R,1.2735206225791051
1_R,1.6701030885042298
2_R,1.930602965897041
3a_R,2.2259800596859307
6d_R,1.9576360434301727
6mp_R,1.7776819883524249
6v_R,2.036396157468482
p24pr_R,1.6109235811707825
33pr_R,2.300582197386952
a24pr_R,2.134539052704016
p32pr_R,1.5521353971956733
a24_R,1.8348371928256975
d32_R,1.4385222490316436
8BM_R,1.571799639973109
p32_R,1.7878680043016177
10r_R,2.134913872559159
47m_R,2.1382281584073684
8Av_R,1.5707902017478108
8Ad_R,1.7631962345845293
9m_R,1.438015272970843
8BL_R,1.3028607213424768
9p_R,2.0459244767797835
10d_R,1.7128016226516471
8C_R,1.0542964993177817
44_R,1.2549011327425499
45_R,1.7838486976493892
47l_R,1.540780612742813
a47r_R,1.4226576798401982
6r_R,1.2843259537215939
IFJa_R,1.9049608567875465
IFJp_R,1.5844546523238956
IFSp_R,2.040914300045038
IFSa_R,1.9287193794582405
p9-46v_R,1.5195232531375393
46_R,1.3329378868424462
a9-46v_R,2.0281975577969504
9-46d_R,1.825740920929248
9a_R,1.6629640104317471
10v_R,1.8099812518706653
a10p_R,2.3403481281158522
10pp_R,2.3398781322383466
11l_R,2.141033191737968
13l_R,1.7106582609119978
OFC_R,2.9321159206114755
47s_R,1.5644632268287046
LIPd_R,2.2431257121556687
6a_R,1.5135468783943749
i6-8_R,1.6164138714834055
s6-8_R,1.8757541942900278
43_R,1.287935972394104
OP4_R,1.4375414571533993
OP1_R,1.920458430921519
OP2-3_R,1.8913526950245947
52_R,2.035672352574633
RI_R,2.301533911578995
PFcm_R,1.6193267752355047
PoI2_R,2.18150844364075
TA2_R,2.192668046205591
FOP4_R,1.4922336755639367
MI_R,1.7649272024184897
Pir_R,2.3812591286409344
AVI_R,1.5207135385792343
AAIC_R,1.405671837856542
FOP1_R,1.602508113611029
FOP3_R,2.089879032796511
FOP2_R,1.805059473864889
PFt_R,1.2963676073092676
AIP_R,2.090195097219354
EC_R,2.096743296923958
PreS_R,2.847470339381401
H_R,1.5929577354615172
ProS_R,1.9310072323320222
PeEc_R,1.7110460443621467
STGa_R,2.2608509236524665
PBelt_R,2.741012887996288
A5_R,1.37008276277376
PHA1_R,1.6640919747856247
PHA3_R,2.514722040144768
STSda_R,1.7408856299185715
STSdp_R,1.2235088378118228
STSvp_R,1.5118521337195883
TGd_R,1.3860405300144711
TE1a_R,2.0047146680698353
TE1p_R,1.3539664104392346
TE2a_R,1.3525717219657714
TF_R,1.8106581177615408
TE2p_R,1.5866293654461696
PHT_R,1.7334536231307633
PH_R,1.5529392269926185
TPOJ1_R,1.4100818567242028
TPOJ2_R,1.6848538648993816
TPOJ3_R,1.42114435295247
DVT_R,1.379258421286927
PGp_R,1.0539745774424123
IP2_R,1.572360828650949
IP1_R,1.5000011345308797
IP0_R,1.7884194084587646
PFop_R,1.5680355991298416
PF_R,1.0790702377394963
PFm_R,1.1808272549501706
PGi_R,1.136124357301488
PGs_R,1.4441303010157962
V6A_R,2.198793836555543
VMV1_R,2.1951080306914323
VMV3_R,1.9694237625400395
PHA2_R,2.5792957630674285
V4t_R,2.07859112291676
FST_R,1.638521858121848
V3CD_R,1.552525856963265
LO3_R,1.6394952628281032
VMV2_R,2.2674646633426403
31pd_R,1.8258960245073081
31a_R,1.535189584937404
VVC_R,1.5170833569910067
25_R,2.380192591603797
s32_R,3.2464179397807276
pOFC_R,2.1681059681730113
PoI1_R,2.7646915745762657
Ig_R,1.7530234917647627
FOP5_R,1.7364928919669582
p10p_R,2.016157104188657
p47r_R,1.8670146533618512
TGv_R,1.6498616405084388
MBelt_R,1.8561401051080566
LBelt_R,2.1579974767144945
A4_R,1.434454031617357
STSva_R,1.9622020168450196
TE1m_R,1.5975480725190265
PI_R,1.912993585541507
a32pr_R,1.6172682597125503
p24_R,1.8843886765513986
