region,rtap_retest_cov
V1_L,0.8022108921779693
MST_L,1.0385781528661293
V6_L,1.0759781200828205
V2_L,0.6849908252571261
V3_L,0.6871198554726
V4_L,0.7226415802848444
V8_L,1.2020077727792242
4_L,0.9205303084886284
3b_L,1.1898740933291856
FEF_L,0.9850192696098146
PEF_L,1.1353643447436552
55b_L,1.0187772501729464
V3A_L,1.0066419623451002
RSC_L,1.400306428139584
POS2_L,1.0834589121817786
V7_L,1.326363292374515
IPS1_L,1.0873632103982744
FFC_L,1.2643443631854971
V3B_L,0.9517665353510429
LO1_L,1.045654446699334
LO2_L,1.2071163861800713
PIT_L,1.0381776731636978
MT_L,1.0702649010110854
A1_L,1.5707020462901924
PSL_L,1.1658840747736237
SFL_L,1.0024519836494963
PCV_L,1.3284174056414626
STV_L,1.1587969716555921
7Pm_L,1.2355125474897257
7m_L,1.106429964004199
POS1_L,1.2901797340923544
23d_L,1.8319812078737583
v23ab_L,1.2459553166339408
d23ab_L,1.2279113975904818
31pv_L,1.017575280822298
5m_L,1.3584604859249012
5mv_L,1.4502130894882261
23c_L,1.1559170801793797
5L_L,1.3384366242231347
24dd_L,0.9851551215361021
24dv_L,1.3289104959584879
7AL_L,1.2716472854305505
SCEF_L,0.9505770522915364
6ma_L,1.1870622776072668
7Am_L,1.3149546898314015
7Pl_L,1.1243630494991057
7PC_L,1.6045001080780816
LIPv_L,1.3911709148723619
VIP_L,1.2275378348800685
MIP_L,1.3716756455787757
1_L,1.1692977913163416
2_L,0.7315898689787522
3a_L,1.0196842555691907
6d_L,1.4288801591874556
6mp_L,0.929084132353494
6v_L,1.505761678376163
p24pr_L,1.4079741301104591
33pr_L,1.7566330798126724
a24pr_L,1.6626258099811622
p32pr_L,1.2690133715013416
a24_L,1.4176936284162092
d32_L,1.4826999765663067
8BM_L,0.9330125671602969
p32_L,1.694551508338096
10r_L,1.4956646732489598
47m_L,1.4074966412097822
8Av_L,0.8734405524109697
8Ad_L,1.0486477396352885
9m_L,1.2621214750624101
8BL_L,1.1095562637254375
9p_L,1.2883498394886304
