region,myl_retest_cov
TF_R,1.958832142948563
TE2p_R,1.4479910532152918
PHT_R,1.406570400579013
PH_R,1.3348762831872838
TPOJ1_R,1.3567053925247006
TPOJ2_R,1.3369702278998667
TPOJ3_R,1.3459942223376133
DVT_R,1.3520862308941541
PGp_R,1.3156293910873167
IP2_R,1.4408146872842507
IP1_R,1.456474249834616
IP0_R,1.4717320489668262
PFop_R,1.3997652166011347
PF_R,1.3955626426308543
PFm_R,1.3747749307847168
PGi_R,1.3221731944977733
PGs_R,1.4201348970935832
V6A_R,1.6407294366946588
VMV1_R,1.8989800106088535
VMV3_R,1.5154045436311239
PHA2_R,2.14574186314728
V4t_R,1.1674130457352063
FST_R,1.285788989694144
V3CD_R,1.3116272631112635
LO3_R,1.151368596645509
VMV2_R,1.9080734948779745
31pd_R,1.4083530408612908
31a_R,1.5097539949761885
VVC_R,1.8581942447345285
25_R,2.428020124073477
s32_R,2.586185215367604
pOFC_R,6.871607454248709
PoI1_R,2.054429059652435
Ig_R,1.884847026265003
FOP5_R,2.041310144985628
p10p_R,2.760465119986245
p47r_R,2.063304182923166
TGv_R,2.103447104675042
MBelt_R,2.0815110341130585
LBelt_R,1.7674431988166353
A4_R,1.6598546654457516
STSva_R,1.4961572689689318
TE1m_R,1.3136760872952382
PI_R,1.8430445552740315
a32pr_R,1.98825591310524
p24_R,1.967291935924016
