region,msd_retest_cov
V1_L,0.7989186064157267
MST_L,1.2340224146224341
V6_L,1.1420540423048136
V2_L,0.876221630376405
V3_L,0.7998028341849398
V4_L,0.797553604971813
V8_L,1.3218058314713357
4_L,0.9710182593205978
3b_L,1.1542598401873387
FEF_L,1.1282714686269406
PEF_L,1.3053182642042809
55b_L,1.1364834380074935
V3A_L,1.0853806416406948
RSC_L,1.2273291870177365
POS2_L,1.1954598094097737
V7_L,1.1959381973481766
IPS1_L,1.4601327556514527
FFC_L,1.4267426374471341
V3B_L,1.3238979909329127
LO1_L,1.447723340066354
LO2_L,1.135861687194894
PIT_L,1.1465404410630604
MT_L,1.3088072345889579
A1_L,1.0621022276830683
PSL_L,1.3477422668719021
SFL_L,1.120397536654312
PCV_L,1.4554537029786265
STV_L,1.201880967528122
7Pm_L,1.282966691820664
7m_L,1.2094384053064942
POS1_L,1.1570320370290783
23d_L,1.5626915737049467
v23ab_L,1.1569764294977811
d23ab_L,1.2532801851578856
31pv_L,1.0504446512265493
5m_L,1.7646712276074605
5mv_L,1.4138173062166148
23c_L,1.3941585584784124
5L_L,1.4204283120594794
24dd_L,1.2719106035066925
24dv_L,1.1927853102580155
7AL_L,1.210449474398155
SCEF_L,1.1502868014299776
6ma_L,1.1510386289865302
7Am_L,1.286685174735724
7Pl_L,1.2958614368032537
7PC_L,1.6553149390053028
LIPv_L,1.90164705515494
VIP_L,1.4871368574990445
MIP_L,1.816692412588147
1_L,1.0102888315717742
2_L,1.144741246890867
3a_L,1.147224216903271
6d_L,1.2757282397173548
6mp_L,1.0934793586288218
6v_L,1.1888079032233854
p24pr_L,1.2255598140928616
33pr_L,1.9121358354678577
a24pr_L,1.3573638440911968
p32pr_L,1.2439006686753593
a24_L,1.3194230755500176
d32_L,1.2568060693511696
8BM_L,0.9034466460636681
p32_L,1.5540762150056129
10r_L,1.267422542191161
47m_L,1.2291391590529495
8Av_L,1.2154357124878472
8Ad_L,1.5032542450299766
9m_L,1.3821050854337018
8BL_L,1.1602150829093665
9p_L,1.481019539740433
10d_L,1.0129073200590883
8C_L,1.284388259953702
44_L,1.3289214312159687
45_L,1.2523468981569597
47l_L,1.1535414351962046
a47r_L,1.0320120983735892
6r_L,1.0464899875157065
IFJa_L,1.6321654885816863
IFJp_L,1.7997325873755996
IFSp_L,1.417780312958437
IFSa_L,1.262359617436662
p9-46v_L,1.4723220702074784
46_L,1.396199320728799
a9-46v_L,1.1203474817678634
9-46d_L,1.2604013873688
9a_L,1.4130416450227539
10v_L,1.3845464235621534
a10p_L,1.345657869788713
10pp_L,1.450405158892912
11l_L,1.1036836832286412
13l_L,0.983385453348647
OFC_L,1.8911119776868701
47s_L,1.1884769481308157
LIPd_L,1.7293559880140337
6a_L,1.4009356705771754
i6-8_L,1.5626189899025804
s6-8_L,1.3751119846829836
43_L,1.120192709935951
OP4_L,1.2033177221769755
OP1_L,1.9244477344188393
OP2-3_L,2.293113367911366
52_L,1.5717765862040545
RI_L,1.621703135135703
PFcm_L,1.994456329863202
PoI2_L,1.2620941768917946
TA2_L,1.1235410659277978
FOP4_L,1.4280069037649517
MI_L,1.4389735526013203
Pir_L,1.4132611038645533
AVI_L,1.3516790563309444
AAIC_L,1.3982599758221739
FOP1_L,1.3223003667054187
FOP3_L,1.8534756723032915
FOP2_L,1.7058211897110032
PFt_L,1.4333446003222865
AIP_L,1.6485221147679272
EC_L,1.5976512795703022
PreS_L,1.561974671749367
H_L,1.1586634095116783
ProS_L,1.4175697117351032
PeEc_L,1.2848390710660205
STGa_L,1.7060977631225531
PBelt_L,1.236135283698016
A5_L,1.3450730710875407
PHA1_L,1.6584611585459212
PHA3_L,1.4026479142332187
STSda_L,1.5860161230060736
STSdp_L,1.4205052207707571
STSvp_L,1.2571492036951475
TGd_L,0.991520197215807
TE1a_L,1.2572730290096443
TE1p_L,1.1840387827587424
TE2a_L,1.4478538464432291
TF_L,1.3539091142986361
TE2p_L,1.394683981323225
PHT_L,1.1367444415421248
PH_L,1.2946881107420383
TPOJ1_L,1.554995114103201
TPOJ2_L,1.4052355442530224
TPOJ3_L,1.6418781360809827
DVT_L,1.1203610829525372
PGp_L,1.2315594823513103
IP2_L,1.3746387718132183
IP1_L,1.361264356706308
IP0_L,1.1247342551397501
PFop_L,1.4021736669526113
PF_L,1.3340947965102747
PFm_L,1.4252623401988205
PGi_L,1.2145435608337993
PGs_L,1.4976457561613092
V6A_L,1.6190476281705584
VMV1_L,2.3030074228788897
VMV3_L,1.7727877022025433
PHA2_L,1.4863423588413245
V4t_L,1.334415516705959
FST_L,1.2561064917489386
V3CD_L,1.044475330446993
LO3_L,1.3531734005170364
VMV2_L,2.3237603243177194
31pd_L,1.161772168515714
31a_L,1.6000702710152568
VVC_L,1.918703005510024
25_L,1.693736269692231
s32_L,1.2920302836726634
pOFC_L,1.2059442456031952
PoI1_L,1.2004036695487779
Ig_L,1.7373250181560151
FOP5_L,1.619658894707184
p10p_L,1.5639765330778683
p47r_L,1.1961039299389191
TGv_L,1.1770899665672234
MBelt_L,1.3333351804723612
LBelt_L,1.4812424288007502
A4_L,1.1282757534817636
STSva_L,1.442930795986092
TE1m_L,1.2678661745535154
PI_L,1.1782999123256241
a32pr_L,1.325594484465662
p24_L,1.518968263415412
V1_R,0.9081103983047947
MST_R,1.5711987300424075
V6_R,1.117456896468432
V2_R,0.8721970799568806
V3_R,0.8795332692477524
V4_R,0.955712476541868
V8_R,1.4094533304172807
4_R,0.9761738448972114
3b_R,1.1784384733659352
FEF_R,1.1338977724093118
PEF_R,1.3500832437114538
55b_R,1.165407974027436
V3A_R,0.8188415884213972
RSC_R,1.226955083716121
POS2_R,1.15782526383503
V7_R,1.1735340555273392
IPS1_R,1.04323897246493
FFC_R,1.3386583467441244
V3B_R,1.2018903563829695
LO1_R,1.1009070829607135
LO2_R,0.9902498523263615
PIT_R,1.1703801555007713
MT_R,1.3023298446763258
A1_R,1.3158852665537557
PSL_R,1.2803611704068516
SFL_R,1.0914718727231942
PCV_R,1.4024573509714824
STV_R,1.0983414160706206
7Pm_R,1.3065418473620865
7m_R,1.3764071839241627
POS1_R,1.103836562450474
23d_R,1.4573813350634255
v23ab_R,1.4311620399780465
d23ab_R,1.2221684489054134
31pv_R,1.2251868525134557
5m_R,1.158467735094664
5mv_R,1.1023384401390401
23c_R,1.3358663533176147
5L_R,1.255167509849655
24dd_R,1.323071483329266
24dv_R,1.3467768188265097
7AL_R,1.0712110471201484
SCEF_R,1.2628183360565737
6ma_R,0.9834710342172494
7Am_R,1.291089535651096
7Pl_R,0.9295667869404086
7PC_R,0.93160949370476
LIPv_R,1.1973813444313575
VIP_R,0.981740416605804
MIP_R,0.9060871068955612
1_R,0.9830984518462175
2_R,0.8120816249948463
3a_R,0.9739173183647171
6d_R,0.9349960990671384
6mp_R,1.0596902170933225
6v_R,1.465711713678518
p24pr_R,1.2932366888057483
33pr_R,1.4311832550130976
a24pr_R,1.3464622625577876
p32pr_R,1.1053277101918704
a24_R,1.3027806170804317
d32_R,1.4500386915072274
8BM_R,1.4283261926602444
p32_R,1.864498332710945
10r_R,1.5402461851128944
47m_R,1.7431247859539003
8Av_R,1.094894302931944
8Ad_R,1.323673189119949
9m_R,1.5765889059659743
8BL_R,1.1963398296344794
9p_R,1.0769640216447205
10d_R,1.3954805831438761
8C_R,1.1774341974936477
44_R,1.2734954819141397
45_R,1.4979126872019686
47l_R,1.3064870956415402
a47r_R,1.1789196716384671
6r_R,1.0721952423834071
IFJa_R,1.223389793525131
IFJp_R,1.1847173082960076
IFSp_R,1.4276999827650885
IFSa_R,1.6964417891038683
p9-46v_R,1.1833820238934962
46_R,0.9517101244891645
a9-46v_R,1.3615992024903563
9-46d_R,1.0495509369155496
9a_R,1.0963422205694464
10v_R,1.5100579236167302
a10p_R,1.5461763912784443
10pp_R,1.2014720108630188
11l_R,1.3959865865584065
13l_R,1.7992036034486985
OFC_R,1.5599882043378983
47s_R,1.5516838983427963
LIPd_R,1.1804742226672567
6a_R,1.0251542244910028
i6-8_R,1.2846553946131085
s6-8_R,1.3355510067063443
43_R,1.0703979723610308
OP4_R,1.4892866173726407
OP1_R,1.744567084858037
OP2-3_R,1.1971789332354354
52_R,1.5331155667872944
RI_R,1.4180936260136037
PFcm_R,1.5963512608721406
PoI2_R,1.3968286344534466
TA2_R,1.668093799493765
FOP4_R,1.1987983479629394
MI_R,1.6888944388251454
Pir_R,1.6771505945812064
AVI_R,1.783276302272754
AAIC_R,1.538580432712757
FOP1_R,1.2471520318022546
FOP3_R,1.4971834554694634
FOP2_R,1.6272295859708703
PFt_R,1.0815183266946062
AIP_R,0.9647443164405982
EC_R,1.474438269693868
PreS_R,1.35872657097205
H_R,0.9706939942554174
ProS_R,1.3104441031215395
PeEc_R,1.372516655801928
STGa_R,1.815305336945669
PBelt_R,1.3740753153149279
A5_R,1.1494126711369959
PHA1_R,1.0945697612180878
PHA3_R,1.4742485666371632
STSda_R,1.3686947221872914
STSdp_R,1.1689038494699333
STSvp_R,1.6576262511715345
TGd_R,1.383699279494776
TE1a_R,1.363859443813836
TE1p_R,1.2378859368397082
TE2a_R,1.20029039648348
TF_R,1.405039481668326
TE2p_R,1.4877908958083008
PHT_R,1.4080824248418156
PH_R,1.1651808548913603
TPOJ1_R,1.269121354535624
TPOJ2_R,1.1206221639808418
TPOJ3_R,1.166003142403839
DVT_R,1.0635646630164153
PGp_R,1.0054196008360707
IP2_R,1.0947253915673256
IP1_R,1.1712330830610373
IP0_R,1.3366663824701734
PFop_R,1.426258139945685
PF_R,1.2573233964034973
PFm_R,1.0940142990824238
PGi_R,1.1124204015855577
PGs_R,1.105939103602256
V6A_R,1.298191751285283
VMV1_R,1.05470858216365
VMV3_R,1.7199578661873889
PHA2_R,1.1424188199278267
V4t_R,1.0226532507274
FST_R,1.3494621974010814
V3CD_R,1.0545096893379684
LO3_R,1.2589387925371986
VMV2_R,1.4023799317515473
31pd_R,1.382571297699971
31a_R,1.5347950199670068
VVC_R,1.0726237634189706
25_R,1.4047375261813628
s32_R,1.5087472872769947
pOFC_R,1.4640838050744323
PoI1_R,1.282624426465207
Ig_R,1.4565418357164774
FOP5_R,1.3883728003327958
p10p_R,1.2879567039745259
p47r_R,1.983332379778963
TGv_R,1.2150434464231137
MBelt_R,1.4525667683052386
LBelt_R,1.378123674512094
A4_R,1.4478585529395362
STSva_R,1.558479862388511
TE1m_R,1.2307123689313695
PI_R,1.5309436026511736
a32pr_R,1.2861461760015391
p24_R,1.534565673918645
