region,thick_retest_cov
V1_L,0.9595800002494704
MST_L,1.2272820557229478
V6_L,0.9690025881391248
V2_L,0.8824787934716323
V3_L,0.6440404145497307
V4_L,0.7239764679341998
V8_L,1.567341078927111
4_L,0.8518923163279745
3b_L,1.4030014269478666
FEF_L,0.7929321750273702
PEF_L,1.0789497916223807
55b_L,0.7823839569282928
V3A_L,0.8815400225344343
RSC_L,1.7655390922491565
POS2_L,0.6840687599320516
V7_L,1.2925569712646
IPS1_L,0.8363139813087542
FFC_L,0.8921059534001758
V3B_L,0.9766368333449588
LO1_L,1.082881774418145
LO2_L,1.1434544045724244
PIT_L,1.2438557631509803
MT_L,0.9399014191889538
A1_L,1.814277022813237
PSL_L,1.2250245800352548
SFL_L,1.045647685133481
PCV_L,1.2716986758126216
STV_L,0.955041467460444
7Pm_L,1.0101115435892625
7m_L,0.8861433377448914
POS1_L,1.0452293205673395
23d_L,1.4100088134397926
v23ab_L,1.5214807163236244
d23ab_L,1.17761171305529
31pv_L,1.6470268090134896
5m_L,1.4058762710160049
5mv_L,1.194452637959736
23c_L,0.7247410163208876
5L_L,1.1855399914829108
24dd_L,1.1336609946695018
24dv_L,1.3356553340008863
7AL_L,0.9373760562780976
SCEF_L,0.9907413928331814
6ma_L,0.9340091886841126
7Am_L,1.0440453882559726
7Pl_L,1.0596988141165256
7PC_L,0.8139388136029383
LIPv_L,1.1408046220882846
VIP_L,0.9606528984180932
MIP_L,0.9838424159353206
1_L,1.047916434101534
2_L,0.8579209196504953
3a_L,1.9980395575533951
6d_L,1.095090384141512
6mp_L,0.8286476079017903
6v_L,1.0637171638794911
p24pr_L,1.1558976303077366
33pr_L,1.9348469003116568
a24pr_L,1.2861402835959703
p32pr_L,1.0202544161116
a24_L,1.5460206713126534
d32_L,1.2262613808669156
8BM_L,1.3247515301949528
p32_L,1.2833755607629846
10r_L,1.4603850423114866
47m_L,1.5380574711470858
8Av_L,0.6755695393334475
8Ad_L,0.8867532043369761
9m_L,1.0670656109075238
8BL_L,0.9395388969578377
9p_L,1.0305871909586828
10d_L,1.1264758017414105
8C_L,0.6199082968141236
44_L,0.8794745223870449
45_L,0.7929302439482829
47l_L,1.2682985626035692
a47r_L,0.9324873659702124
6r_L,0.8646561052288856
IFJa_L,1.0960742824615597
IFJp_L,0.8724127013469422
IFSp_L,0.9209738173029612
IFSa_L,1.0355191868112117
p9-46v_L,1.0272750843739218
46_L,0.8880928914405818
a9-46v_L,1.14133692029971
9-46d_L,0.7005982054049014
9a_L,1.08232836484563
10v_L,1.5936635458534854
a10p_L,1.4339739834260796
10pp_L,1.484876400199646
11l_L,1.0833619082078032
13l_L,1.1954378597558193
OFC_L,1.4065966998060626
47s_L,1.8545184484481545
LIPd_L,0.8911900694075282
6a_L,0.8945888906393428
i6-8_L,1.1097219029956382
s6-8_L,1.5020189630528804
43_L,1.06239570034645
OP4_L,0.872416292063252
OP1_L,1.1577950225548412
OP2-3_L,1.6097287702725518
52_L,2.205354494967894
RI_L,1.186921071889668
PFcm_L,1.0650480266293332
PoI2_L,2.488177399319588
TA2_L,1.6885701372534545
FOP4_L,0.7695979582062691
MI_L,1.8368098316361343
Pir_L,3.664024773972161
AVI_L,1.575551718404113
AAIC_L,2.685286256112519
FOP1_L,1.1148970008819228
FOP3_L,1.9724772911529893
FOP2_L,1.41638909475981
PFt_L,1.11875353149607
AIP_L,0.7677428257667729
EC_L,2.9261782935784884
PreS_L,3.3861225743594208
