region,rk_retest_cov
V1_L,0.9941484746520118
MST_L,1.5724562510096844
V6_L,1.0994988419786786
V2_L,1.1758251615101443
V3_L,1.1701483234745276
V4_L,1.2759692828389058
V8_L,1.3771569905060626
4_L,1.6454034435291414
3b_L,1.818776629288571
FEF_L,1.7428553026977558
PEF_L,1.7162588847919573
55b_L,1.6850160887727832
V3A_L,1.2701268281585427
RSC_L,1.3551354233897452
POS2_L,1.0937044865902594
V7_L,1.6698842174783786
IPS1_L,1.6005521471508557
FFC_L,1.3104860141487067
V3B_L,1.5423041884575295
LO1_L,1.7768310138478474
LO2_L,1.367353833450234
PIT_L,1.3148172851671536
MT_L,1.3814822138782799
A1_L,1.4817973075831459
PSL_L,1.4896720621950674
SFL_L,2.4818192065574336
PCV_L,1.5521537021424208
STV_L,1.4293389407931827
7Pm_L,1.463909793412798
7m_L,1.299500566455878
POS1_L,1.359520693280819
23d_L,1.572953628959365
v23ab_L,1.229490506660918
d23ab_L,1.6424627346779674
31pv_L,1.413331255035509
5m_L,2.3420895277290006
5mv_L,2.0171953687972035
23c_L,1.2657208336641075
5L_L,2.107656453928501
24dd_L,1.7028796710753924
24dv_L,1.7968035167044352
7AL_L,1.685162484499192
SCEF_L,2.353741943018934
6ma_L,2.2134910120243507
7Am_L,1.384792338412743
7Pl_L,1.3708931787627296
7PC_L,1.539272672138143
LIPv_L,1.9735533198526616
VIP_L,1.729612983386602
MIP_L,1.582996369754527
1_L,1.531387933427134
2_L,1.3468105372896044
3a_L,1.4884027017947075
6d_L,2.620670683346065
6mp_L,2.093658175076827
6v_L,1.8988996100834086
p24pr_L,1.6097521494335525
33pr_L,2.0528161339097464
a24pr_L,2.2008126550928244
p32pr_L,2.0488157136706495
a24_L,2.3547733847577135
d32_L,3.29373884956775
8BM_L,2.697223052632243
p32_L,2.5302116845647387
10r_L,2.27917712061275
47m_L,1.6488960167176876
8Av_L,1.768791931260077
8Ad_L,1.8110262612202406
9m_L,2.896511903599086
8BL_L,2.077592084215013
9p_L,1.8205211433122575
10d_L,3.0157952253240845
8C_L,1.6205413437287062
44_L,1.5666012464459973
45_L,1.6654471970164837
47l_L,1.4713194158418068
a47r_L,1.4678113161352382
6r_L,1.543839362868749
IFJa_L,1.8182294077455357
IFJp_L,1.6882237200981005
IFSp_L,2.059171676322634
IFSa_L,2.0835875727752384
p9-46v_L,1.719204468268909
46_L,1.9760469317234044
a9-46v_L,2.1780179343931074
9-46d_L,2.099963674021457
9a_L,2.0622995707925202
10v_L,1.861584044101857
a10p_L,2.464243713756008
10pp_L,2.5510861578147574
11l_L,1.5999375516282217
13l_L,1.5658797061274599
OFC_L,2.7437810456796
47s_L,1.4620003039234482
LIPd_L,1.798499618312333
6a_L,1.8226263726673175
i6-8_L,1.6071158650439694
s6-8_L,1.9933033511675486
43_L,1.2031787562385559
OP4_L,1.3138206228189406
OP1_L,1.6788789308580514
OP2-3_L,1.2055686079705914
