region,rd_retest_cov
V1_L,0.7988627759551281
MST_L,1.096966057159896
V6_L,1.179963513618615
V2_L,0.7593287265408523
V3_L,0.7110158085417733
V4_L,0.665371786346688
V8_L,1.1866947857505727
4_L,0.9223516384545584
3b_L,1.2863000711450012
FEF_L,1.0624810454113085
PEF_L,1.0417696681461015
55b_L,1.0637685139576702
V3A_L,1.0247155480004
RSC_L,1.207648016482393
POS2_L,1.021185598560216
V7_L,1.2733242058674639
IPS1_L,1.17558102432678
FFC_L,1.2569211671075162
V3B_L,1.0893971358578443
LO1_L,1.0403908879141968
LO2_L,1.0657364068788282
PIT_L,1.0080544144337569
MT_L,1.1541719300707036
A1_L,1.5219493269329107
PSL_L,1.0891700828163255
SFL_L,1.0071457036073812
PCV_L,1.3354794349884533
STV_L,1.1027025113049194
7Pm_L,1.2327365011163527
7m_L,1.2017496916167172
POS1_L,1.1184666146372377
23d_L,1.5906217252922552
v23ab_L,1.0973229627783565
d23ab_L,1.2485938181065617
31pv_L,0.8832559807695027
5m_L,1.6302858347651878
5mv_L,1.4923842289866693
23c_L,1.2037298312294833
5L_L,1.4596015428418359
24dd_L,1.155361496007779
24dv_L,1.2567776493521186
7AL_L,1.1840306937668466
SCEF_L,1.0013471786059254
6ma_L,1.1228429464577094
7Am_L,1.1010709476405782
7Pl_L,0.9618039587562426
7PC_L,1.6257061807142295
LIPv_L,1.5535870359784358
VIP_L,1.3121193368422275
MIP_L,1.3620294915761288
1_L,1.1094770378036949
2_L,0.8654046396441076
3a_L,1.0912266290445394
6d_L,1.2785767436521722
6mp_L,1.1326099626711794
6v_L,1.32791529106046
p24pr_L,1.1602094518388804
33pr_L,1.4994191715176983
a24pr_L,1.2299708606193767
p32pr_L,1.08966355955893
a24_L,1.1229845806070577
d32_L,1.0509023374576476
8BM_L,0.813919776761728
p32_L,1.3144750250845216
10r_L,1.1201687096889175
47m_L,1.2098502780002118
8Av_L,0.963805195017414
8Ad_L,1.1422544317856977
9m_L,1.0692425448623315
8BL_L,1.1501240754208912
9p_L,1.1356446241083709
10d_L,1.0042779866134897
8C_L,1.1350373506771352
44_L,1.1821940827518638
45_L,1.067436679681308
47l_L,0.9670442720673217
a47r_L,0.9098238899062666
6r_L,0.883706326600984
IFJa_L,1.3439355070953698
IFJp_L,1.4153599775624426
IFSp_L,1.0794147151445441
IFSa_L,1.11527452219814
p9-46v_L,1.101044165206465
46_L,0.9884234090227847
a9-46v_L,1.0336839136796288
9-46d_L,1.025635702520138
9a_L,1.1247801545293816
10v_L,1.4274414875313777
a10p_L,1.138698905569303
10pp_L,1.3163698088457072
11l_L,1.0161988441489518
13l_L,0.9942275938273096
OFC_L,2.2200358163442404
47s_L,1.1685080692754304
LIPd_L,1.2309054199069964
6a_L,1.2401307426917716
i6-8_L,1.4590633774133057
s6-8_L,1.0835663960650237
43_L,1.0371268123742516
OP4_L,0.98329075679418
OP1_L,1.6355460548678258
OP2-3_L,1.72413851057669
52_L,1.3860166992507295
RI_L,1.7398931885216933
PFcm_L,1.7188877483973302
PoI2_L,1.0146938859818588
TA2_L,1.0373779851620875
FOP4_L,1.3009633665229492
MI_L,1.392541783354997
Pir_L,1.7099677488771559
AVI_L,1.1151716072868123
AAIC_L,1.1575342159982296
FOP1_L,1.2709977824420764
FOP3_L,1.5436663627581861
FOP2_L,1.5301650767246353
PFt_L,1.2986797753592048
AIP_L,1.4398176392119302
EC_L,1.7002131640177716
PreS_L,1.679545727348383
H_L,1.075586424124983
ProS_L,1.417295596242446
PeEc_L,1.205365922397939
STGa_L,1.418467848381272
PBelt_L,1.130374015642663
A5_L,1.1989345870649746
PHA1_L,1.5418657662789794
PHA3_L,1.1903872394798003
STSda_L,1.2715735179405645
STSdp_L,0.9840571246731209
STSvp_L,1.0350966995901403
TGd_L,0.9652451577026627
TE1a_L,1.1055052231463807
TE1p_L,0.9487456182528723
TE2a_L,1.3274122356249827
TF_L,1.23121296742113
TE2p_L,1.227543000097985
PHT_L,0.9362345173747825
PH_L,0.9894820695562936
TPOJ1_L,1.2340580238806953
TPOJ2_L,1.193259290966483
TPOJ3_L,1.3278447912986147
DVT_L,1.0724375122971261
PGp_L,1.0503917624861578
IP2_L,1.394203381656475
IP1_L,1.2636786677909704
IP0_L,1.04354125586396
PFop_L,1.2979249760685032
PF_L,1.2020929235628321
PFm_L,1.276515204128089
PGi_L,1.0230178004996426
PGs_L,1.341009012720257
V6A_L,1.570760297332494
VMV1_L,1.9368616848459888
VMV3_L,1.714242142223486
PHA2_L,1.277176593082217
V4t_L,1.2703524311541152
FST_L,1.027482013643947
V3CD_L,0.8937771436705169
LO3_L,1.2484881411429911
VMV2_L,1.9723598212068858
31pd_L,1.1003730531608147
31a_L,1.5970700926915147
VVC_L,1.6276015400967399
25_L,1.837615798285958
s32_L,1.2513381247175501
pOFC_L,1.2590536389191764
PoI1_L,1.2369748755084475
Ig_L,1.4605526721830644
FOP5_L,1.4627448966142347
p10p_L,1.4436791489387824
p47r_L,1.0798258966591543
TGv_L,1.1069115750369192
MBelt_L,1.4077453438919538
LBelt_L,1.3439627592578547
A4_L,1.1532639903554158
STSva_L,1.2508589838754953
TE1m_L,1.1599766257176083
PI_L,1.1524461650241746
a32pr_L,1.2465524132434067
p24_L,1.209517137975756
V1_R,0.8121410736218624
MST_R,1.2763540088946428
V6_R,0.9916165725644349
V2_R,0.7850243371185681
V3_R,0.7368019021298547
V4_R,0.7698652742747155
V8_R,1.0900212650360892
4_R,0.8605954261048682
3b_R,1.024726840824999
FEF_R,1.019923740418947
PEF_R,1.0469818914093776
55b_R,1.1332261126496486
V3A_R,0.7695169239865005
RSC_R,1.145636377539312
POS2_R,1.0331638753747425
V7_R,1.152152177906368
IPS1_R,1.004303627391358
FFC_R,1.2813534211841953
V3B_R,1.056310842540575
LO1_R,0.9879398825061937
LO2_R,1.022189990493484
PIT_R,0.9998508722130232
MT_R,1.2587815727215879
A1_R,1.2779079118876278
PSL_R,1.045810785404299
SFL_R,1.227267945194061
PCV_R,1.2439099928057633
STV_R,1.0170199442916377
7Pm_R,1.0669216376508317
7m_R,1.003054421770926
POS1_R,1.1731767380915763
23d_R,1.1701446186256812
v23ab_R,1.1862762525758939
d23ab_R,0.9705230365324468
31pv_R,0.9721627270965488
5m_R,1.1791079371291604
5mv_R,1.0144087102452333
23c_R,1.1438721189593193
5L_R,1.0461940581427358
24dd_R,1.0140270533354778
24dv_R,1.0437121320667495
7AL_R,1.0612483348855875
SCEF_R,1.0547969462118554
6ma_R,0.9791944459657137
7Am_R,1.218921470120193
7Pl_R,0.9251355809661101
7PC_R,1.0536993777508836
LIPv_R,1.1250367240910326
VIP_R,0.8658230238901778
MIP_R,0.8212762720967003
1_R,1.1843735137969584
2_R,0.7974686214926131
3a_R,1.3088350629912526
6d_R,1.242784897870536
6mp_R,0.9648457266680949
6v_R,1.2053859291980031
p24pr_R,1.0968708383671582
33pr_R,1.1925844516592772
a24pr_R,1.3068082992261887
p32pr_R,0.9885778559228819
a24_R,1.0631872738375536
d32_R,1.1387654532745901
8BM_R,1.1508084950639634
p32_R,1.4047159909554459
10r_R,1.1961147077468819
47m_R,1.4592538985728738
8Av_R,0.8916821438802498
8Ad_R,1.1778125824375467
9m_R,1.2401933273928423
8BL_R,1.1106153936190057
9p_R,0.8815899183132392
10d_R,1.3605826327719055
8C_R,1.0704422809634053
44_R,1.1019312357849076
45_R,1.252688596012254
47l_R,1.0918256489619371
a47r_R,1.0681915204926686
6r_R,1.0005475386226061
