region,md_retest_cov
V1_L,0.7627964024165804
MST_L,1.1016523705407675
V6_L,1.1408538680749303
V2_L,0.7515047649457527
V3_L,0.702431296564321
V4_L,0.6283583863823781
V8_L,1.1309678760794746
4_L,0.8660387747599301
3b_L,1.2352782174909247
FEF_L,1.0215749845859787
PEF_L,1.038091712346968
55b_L,1.097644848416664
V3A_L,0.995807337246795
RSC_L,1.1025602344726877
POS2_L,1.0105333720388299
V7_L,1.2431445030706243
IPS1_L,1.2055554607484964
FFC_L,1.247561034118947
V3B_L,1.1058206774176527
LO1_L,1.1020191924811336
LO2_L,1.0048124258138444
PIT_L,0.996047824765455
MT_L,1.071881999726308
A1_L,1.3892364114426083
PSL_L,1.042387399452275
SFL_L,0.9922470253812576
PCV_L,1.403850985677188
STV_L,1.022634500785274
7Pm_L,1.183280909534589
7m_L,1.1287421428610283
POS1_L,1.0138688360542203
23d_L,1.4603302497564483
v23ab_L,1.0084030250120657
d23ab_L,1.1885600336320494
31pv_L,0.8665371174460914
5m_L,1.5082988912737703
5mv_L,1.4828928058134476
23c_L,1.158683068361583
5L_L,1.4360737798499523
24dd_L,1.14214851153903
24dv_L,1.2286543293342678
7AL_L,1.1682904378117143
SCEF_L,1.0006048139992627
6ma_L,1.0790472844848287
7Am_L,1.187870088026541
7Pl_L,1.0178905635555784
7PC_L,1.6360724433109357
LIPv_L,1.6892288688840784
VIP_L,1.3053847559784548
MIP_L,1.4948037472622682
1_L,1.0848187111052503
2_L,1.003299565526302
3a_L,1.094405863382557
6d_L,1.216915968473051
6mp_L,1.146807897210349
6v_L,1.1893804231023524
p24pr_L,1.1191119650861487
33pr_L,1.6283994131491926
a24pr_L,1.107171287798664
p32pr_L,1.0541166764446772
a24_L,1.113800991513179
d32_L,1.1192499395585396
8BM_L,0.8923050221746647
p32_L,1.2313381007121813
10r_L,1.0566509093634067
47m_L,1.1467092329812194
8Av_L,0.9863838654718645
8Ad_L,1.1763465159803765
9m_L,1.1075173277327404
8BL_L,1.104880309344411
9p_L,1.169262134355316
10d_L,0.951775749458111
8C_L,1.2022521466077436
44_L,1.129814887775116
45_L,1.084412549326951
47l_L,0.9476655591239265
a47r_L,0.8612558235942085
6r_L,0.8699062378368247
IFJa_L,1.4302515409265002
IFJp_L,1.4364364213398437
IFSp_L,1.0937906215698434
IFSa_L,1.144145520536566
p9-46v_L,1.1156362709057832
46_L,1.0430743873344286
a9-46v_L,0.9916827811759207
9-46d_L,1.0625101938432535
9a_L,1.1657882795936456
10v_L,1.28409968930349
a10p_L,1.1157246769176923
10pp_L,1.2738780850447322
11l_L,0.9817001773144703
13l_L,0.894149196218734
OFC_L,2.2527184743041566
47s_L,1.0831345419690408
LIPd_L,1.365170704654804
6a_L,1.2818745461878371
i6-8_L,1.468014163472279
s6-8_L,1.1527455995250266
43_L,0.9760092239869671
OP4_L,0.9702580402353811
OP1_L,1.5762634124522743
OP2-3_L,1.779541206872363
52_L,1.2870216416176867
RI_L,1.686799866091575
PFcm_L,1.6703144820221556
PoI2_L,0.8882594795314825
TA2_L,0.9499686576429427
FOP4_L,1.3005953184338745
MI_L,1.261669956364826
Pir_L,1.3616854695503877
AVI_L,1.0783077670790242
AAIC_L,1.1159411426074264
FOP1_L,1.182248941466275
FOP3_L,1.482363027617157
FOP2_L,1.4424651616835438
PFt_L,1.2827547246512896
AIP_L,1.4966249232050048
EC_L,1.572668258180656
PreS_L,1.5557666199558502
H_L,1.0444460826947575
ProS_L,1.2633712422970902
PeEc_L,1.172830911455948
STGa_L,1.4251358795142701
PBelt_L,1.1514098433210944
A5_L,1.191173075479252
PHA1_L,1.4342529021387094
PHA3_L,1.179790310589733
STSda_L,1.3000958812077954
STSdp_L,1.0504253604808178
STSvp_L,1.0149854357371602
TGd_L,0.9202358462881576
TE1a_L,1.09699356423628
TE1p_L,0.9896088199551771
TE2a_L,1.286298619222374
TF_L,1.2030684259859197
TE2p_L,1.2172541722357129
PHT_L,0.9791124606547996
PH_L,1.0153625803135997
TPOJ1_L,1.2505077419788053
TPOJ2_L,1.1270852455122817
TPOJ3_L,1.3394561893579984
DVT_L,1.0740230588069761
PGp_L,1.080615199713415
IP2_L,1.4548673069038867
IP1_L,1.2479017375461086
IP0_L,1.0058329833448225
PFop_L,1.226511841421972
PF_L,1.1740604222989548
PFm_L,1.3362895902719172
PGi_L,1.0036129898853152
PGs_L,1.31978193593815
V6A_L,1.4911701659372505
VMV1_L,1.8612252552319013
VMV3_L,1.6505857266544526
PHA2_L,1.2618413350793156
V4t_L,1.114475753028147
FST_L,1.071382346274298
V3CD_L,0.8802542138304028
LO3_L,1.2529305990604371
VMV2_L,1.8083417867769396
31pd_L,1.1575743277294355
31a_L,1.5113865767047707
VVC_L,1.561220770244378
25_L,1.774864026206484
s32_L,1.1682493402454874
pOFC_L,1.265644259011312
PoI1_L,1.043034535153046
Ig_L,1.463517249381223
FOP5_L,1.3972389421959646
p10p_L,1.343112976980953
p47r_L,1.0217431190959607
TGv_L,1.0704111188513283
MBelt_L,1.338769975049249
LBelt_L,1.3032886993941095
A4_L,1.1383330775168496
STSva_L,1.1686585134534258
TE1m_L,1.10990880856119
PI_L,1.075248979358072
a32pr_L,1.2104048541735628
p24_L,1.1881257795819984
V1_R,0.7833330861070773
MST_R,1.2634210457086645
V6_R,1.1068380182174633
V2_R,0.7543640688025651
V3_R,0.7334830899621676
V4_R,0.7832941230775803
V8_R,1.1419345707842923
4_R,0.9075434751171934
3b_R,1.050807563397174
FEF_R,1.0465920740289927
PEF_R,1.0152639877174285
55b_R,1.091547226768894
V3A_R,0.7433604335112679
RSC_R,1.0483070133968742
POS2_R,1.0143997063638464
V7_R,1.0071439057805134
IPS1_R,0.9593024323924849
FFC_R,1.193745786738172
V3B_R,1.1085483405503127
LO1_R,0.9347758393801041
LO2_R,0.9455171858835749
PIT_R,1.003285079293333
MT_R,1.1740491021914898
A1_R,1.221547982817433
PSL_R,1.0459859227642219
SFL_R,1.13372294883608
PCV_R,1.1830095118559756
STV_R,0.9679186958923731
7Pm_R,1.0658425931326756
7m_R,1.014584173913546
POS1_R,1.061149005145424
23d_R,1.1811753963595912
v23ab_R,1.1523398793408492
d23ab_R,0.9314694484654089
31pv_R,0.9938641657695371
5m_R,1.0923633441028093
5mv_R,1.018840511339374
23c_R,1.109636319986959
5L_R,0.9617735158009939
24dd_R,1.0582866421700283
24dv_R,1.01478163294245
7AL_R,1.0082506936843059
SCEF_R,1.068141145009942
6ma_R,0.9328092146168572
7Am_R,1.2432274385463504
7Pl_R,0.8626074890609767
7PC_R,0.9486515112776402
LIPv_R,1.1670078653568747
VIP_R,0.84347470956483
MIP_R,0.84317374294155
1_R,1.048101877431249
2_R,0.8091921560041253
3a_R,1.1482215468640402
6d_R,1.0833628181495096
6mp_R,0.9649080850908965
6v_R,1.1057838129068436
p24pr_R,1.0406848485541542
33pr_R,1.207219601306412
a24pr_R,1.2029748827841005
p32pr_R,0.9677984354390875
a24_R,1.0499468343328078
d32_R,1.1551708760399553
8BM_R,1.167271529317445
p32_R,1.5021550879650027
10r_R,1.2449950780013013
47m_R,1.4921045578348473
8Av_R,0.9154186166238433
8Ad_R,1.1792028746576777
9m_R,1.2943863719546702
8BL_R,1.0971761993334888
9p_R,0.9011393025934804
10d_R,1.2862828934414112
8C_R,1.0673314037036792
44_R,1.1178053507589976
45_R,1.2117709434042492
47l_R,1.0462937836975135
a47r_R,1.1313819300895738
6r_R,0.9599045593751389
IFJa_R,1.072316674871605
IFJp_R,1.1269985785083858
IFSp_R,1.238032415144929
IFSa_R,1.4796631334356816
p9-46v_R,0.9878312249169349
46_R,0.9233363375393113
a9-46v_R,1.1897330454454613
9-46d_R,0.8602585151324591
9a_R,1.0116690566486375
10v_R,1.2661669033286864
a10p_R,1.3526367132206798
10pp_R,1.098347891396562
11l_R,1.2343831214312393
13l_R,1.765301087454456
OFC_R,1.7708078096237343
47s_R,1.3630153215467087
LIPd_R,1.042626308967498
6a_R,0.9758322278947349
i6-8_R,1.2397747495374076
s6-8_R,1.2137500668486896
43_R,0.8510950435609951
OP4_R,1.2036776812871999
OP1_R,1.3783355385521825
OP2-3_R,1.019370146946964
