region,ak_retest_cov
a10p_R,2.3149756879741834
10pp_R,2.2126650812299564
11l_R,1.6919829619241853
13l_R,1.8689087783670395
OFC_R,3.0092941448468924
47s_R,1.52502055475532
LIPd_R,1.9329238032408207
6a_R,2.1159360883268854
i6-8_R,2.22899330022907
s6-8_R,2.785707782389396
43_R,2.018032892532901
OP4_R,1.7303868768135322
OP1_R,1.87193226595382
OP2-3_R,1.6853564806231014
52_R,1.5004354665456776
RI_R,1.884542571054758
PFcm_R,1.8672776393450277
PoI2_R,1.4492799060442656
TA2_R,1.7755798342118485
FOP4_R,1.9277640005176755
MI_R,1.7028063828361042
Pir_R,1.3206114989187834
AVI_R,1.801175663483592
AAIC_R,1.4149751718059405
FOP1_R,2.2149930566134017
FOP3_R,2.036748585080487
FOP2_R,2.0040712956747093
PFt_R,1.719754454744811
AIP_R,1.7718533896644968
EC_R,1.433280663666277
PreS_R,1.6685729948685546
H_R,1.320679745222206
ProS_R,1.5453199478239457
PeEc_R,1.44002811086451
STGa_R,2.147181649220404
PBelt_R,1.5776569043858737
A5_R,1.5054050334780829
PHA1_R,1.247147787390585
PHA3_R,1.5724561320170047
STSda_R,1.890954320731457
STSdp_R,1.853219676940564
STSvp_R,1.5946326057131943
TGd_R,1.6914951832448195
TE1a_R,1.9085919098123636
TE1p_R,1.5049259453078154
TE2a_R,1.7189489883703062
TF_R,1.662266146219814
TE2p_R,1.7983745859683375
PHT_R,1.4056391145598597
PH_R,1.7680538443760492
TPOJ1_R,1.6163652255213004
TPOJ2_R,1.6672171603300845
TPOJ3_R,1.7780547274211496
DVT_R,1.440767469491932
PGp_R,1.382780773558835
IP2_R,2.0193071803676745
IP1_R,1.7262865940810426
IP0_R,1.681344181704288
PFop_R,1.712042683215652
PF_R,1.5242417222714768
PFm_R,1.6478726452023338
PGi_R,1.4979832435488196
PGs_R,1.5463460985617572
V6A_R,1.7659863652275036
VMV1_R,1.4306957883736635
VMV3_R,1.927573160873625
PHA2_R,1.522735274990707
V4t_R,1.6914827553714995
FST_R,1.4420164624737382
V3CD_R,1.4831755889721066
LO3_R,1.556634830070843
VMV2_R,1.4972506762805862
31pd_R,1.6410401957702845
31a_R,1.5295244090479851
VVC_R,1.5813282307537873
25_R,1.2045463758167994
s32_R,1.844546420742461
pOFC_R,1.528107813934242
PoI1_R,1.2047264307644454
Ig_R,1.728794903018462
FOP5_R,2.1353743899195825
p10p_R,2.7176243430603817
p47r_R,1.9381768198465936
TGv_R,1.614749456109658
MBelt_R,1.34446370826228
LBelt_R,1.98484912788789
A4_R,1.7324606929604125
STSva_R,1.688213830331421
TE1m_R,1.678622506977912
PI_R,1.6345976277409702
a32pr_R,1.97206649922736
p24_R,2.246738171481638
