region,ak_retest_cov
V1_L,1.314086182532999
MST_L,1.6387040802371922
V6_L,1.5841153066988178
V2_L,1.3151173609414302
V3_L,1.3989760979434245
V4_L,1.3081638628205243
V8_L,1.544092035143366
4_L,1.9884774036959147
3b_L,2.219210494519487
FEF_L,1.7263135977295625
PEF_L,1.803910642339877
55b_L,1.6911560271279344
V3A_L,1.4621468087822955
RSC_L,1.5343381177385949
POS2_L,1.4344567030326605
V7_L,1.397236256342389
IPS1_L,1.6750276479323212
FFC_L,1.4591241593041189
V3B_L,1.6885797416926518
LO1_L,1.7046698172140269
LO2_L,1.5731100838558936
PIT_L,1.8071452472048175
MT_L,1.491030787834787
A1_L,1.569558491594549
PSL_L,1.465926185559402
SFL_L,2.6720702029375523
PCV_L,1.9464602733973924
STV_L,1.6675870422534944
7Pm_L,1.916625413773064
7m_L,1.531214321372209
POS1_L,1.5370750570705405
23d_L,1.3363642026919886
v23ab_L,1.4470327426615366
d23ab_L,1.6266973007061074
31pv_L,1.9352643149847013
5m_L,2.572830410199092
5mv_L,2.221818734466784
23c_L,1.5468119911038116
5L_L,2.570257845818943
24dd_L,1.7319831857323906
24dv_L,1.6636969531080843
7AL_L,2.1937103413374657
SCEF_L,2.394461464589564
6ma_L,2.616938119110856
7Am_L,1.915764615882681
7Pl_L,1.6851804582804946
7PC_L,1.9206412529694843
LIPv_L,1.778708206263936
VIP_L,2.017946321113246
MIP_L,1.556752431314636
1_L,2.020114602344532
2_L,1.6636863028513065
3a_L,1.7836712692929548
6d_L,2.4959985771014703
6mp_L,2.399225090876482
6v_L,2.1463717372212185
p24pr_L,1.5141415325007417
33pr_L,1.79395510068017
a24pr_L,1.8249888455033052
p32pr_L,1.8714985286811048
a24_L,2.226354175456473
d32_L,2.924952836295762
8BM_L,2.391250244904047
p32_L,2.678067038163137
10r_L,2.2139264937863365
47m_L,1.723494248399192
8Av_L,1.683848669357891
8Ad_L,1.8658469804500573
9m_L,2.8268060295381576
8BL_L,2.186881926998492
9p_L,2.088911081807974
10d_L,3.20329472724555
8C_L,1.6167103645381258
44_L,1.8196736622222776
45_L,1.9455729706286569
47l_L,1.6709896392717207
a47r_L,1.790529128645724
6r_L,1.8409468556011868
IFJa_L,1.9091905282871136
IFJp_L,1.6967693052484367
IFSp_L,2.398929765363569
IFSa_L,2.409646806947628
p9-46v_L,2.191108438570224
46_L,2.282093161047284
a9-46v_L,2.7009461479431667
9-46d_L,2.591943756545174
9a_L,2.3739246148284896
10v_L,2.143494527811159
a10p_L,2.6213602819712114
10pp_L,2.653106770378686
11l_L,1.9776844327574368
13l_L,1.9549563962924443
OFC_L,3.844099972482746
47s_L,1.551374095081363
LIPd_L,1.7725229314651685
6a_L,1.8930567932498863
i6-8_L,1.8823774505572592
s6-8_L,2.186136550591746
43_L,1.6462911721516345
OP4_L,1.5470685283726022
OP1_L,1.698468850505393
OP2-3_L,1.6486702419202002
52_L,1.37769894776268
RI_L,1.721867208536905
PFcm_L,1.773296329924148
PoI2_L,1.3324187686604871
TA2_L,1.4959301419663178
FOP4_L,1.8408439971618136
MI_L,1.6482579097802506
Pir_L,1.5138395160430222
AVI_L,1.7867205226990874
AAIC_L,1.2159567340349682
FOP1_L,1.6215252078717597
FOP3_L,1.8337072781085608
FOP2_L,1.9055635328579377
PFt_L,1.6284683832923517
AIP_L,1.4534700340953566
EC_L,1.7559489167087758
PreS_L,1.4424174980032254
H_L,1.3220353173386772
ProS_L,1.3955645977515792
PeEc_L,1.432434496510899
STGa_L,1.7096416590601324
PBelt_L,1.5127306544968406
A5_L,1.54402519885077
PHA1_L,1.285594510143913
PHA3_L,1.2503735698092668
STSda_L,1.4332973456539886
STSdp_L,1.31302438561226
STSvp_L,1.3659979004917358
TGd_L,1.7378635270853986
TE1a_L,1.69932651099789
TE1p_L,1.331428590896285
TE2a_L,1.7929605747196482
TF_L,1.579984103242925
TE2p_L,1.3832580885153882
PHT_L,1.3429865914372918
PH_L,1.5248815864839211
TPOJ1_L,1.4947596930385645
TPOJ2_L,1.4072913417922344
TPOJ3_L,1.2706398464099755
DVT_L,1.5649934939138184
PGp_L,1.5038276659549332
IP2_L,1.428088390355985
IP1_L,1.6145037844363386
IP0_L,1.8406835339601613
PFop_L,1.814210732738227
PF_L,1.5930378159933292
PFm_L,1.457485187719029
PGi_L,1.4990979372867188
PGs_L,1.6521377780744355
V6A_L,1.7119032655622302
VMV1_L,1.2066260977680592
VMV3_L,1.4333746384542134
PHA2_L,1.287871188584871
V4t_L,1.5709642707821998
FST_L,1.345887013761243
V3CD_L,1.4378215734129276
LO3_L,1.5845011748099875
VMV2_L,1.5184905374276103
31pd_L,1.7874796736666851
31a_L,1.6007005371495315
VVC_L,1.5386190480088326
25_L,1.6337445903479204
s32_L,1.95773854142452
pOFC_L,1.7548879754188496
PoI1_L,1.2801419224295552
Ig_L,1.6438353105423464
FOP5_L,2.1847113100968696
p10p_L,2.910170271464193
p47r_L,2.299918217759952
TGv_L,1.770508018290176
MBelt_L,1.2065875943141664
LBelt_L,1.5637599794390222
A4_L,1.402573910702196
STSva_L,1.622779759774905
TE1m_L,1.56400711436697
PI_L,1.38987203775339
a32pr_L,2.5759959235664978
p24_L,3.132244272520283
V1_R,1.3473830117345758
MST_R,1.6517004367600705
V6_R,1.5797693561614332
V2_R,1.3778853875146762
V3_R,1.4080204888449095
V4_R,1.6439115552481405
V8_R,1.9140451634792204
4_R,1.9554905543740408
3b_R,1.757812583344445
FEF_R,2.1127693325266685
PEF_R,2.318804060499313
55b_R,2.1989114994444985
V3A_R,1.3961920250406794
RSC_R,1.5809467261063
POS2_R,1.558324491411152
V7_R,1.596108044565807
IPS1_R,1.674214275345471
FFC_R,1.891984817454816
V3B_R,1.7172587322502586
LO1_R,1.6971855882741966
LO2_R,1.8044294551581403
PIT_R,1.8550542521821896
MT_R,1.7751597367238334
A1_R,1.7344776503383084
PSL_R,1.8291021519992057
SFL_R,2.568631679323911
PCV_R,1.744243375740942
STV_R,1.6434359435885608
7Pm_R,1.858071776815261
7m_R,1.452105801280901
POS1_R,1.4903381281918422
23d_R,1.4833053871331294
v23ab_R,1.6185880741059822
d23ab_R,1.6330679684820275
31pv_R,1.6292994705159085
5m_R,2.0108613012761896
5mv_R,1.7836703172440092
23c_R,1.5643637726882147
5L_R,2.150386164972585
24dd_R,1.6236845611827873
24dv_R,1.7113463128364574
7AL_R,2.3324054871091864
SCEF_R,2.054133495341292
6ma_R,2.8367285997407463
7Am_R,2.007239400789273
7Pl_R,1.8693942518285835
7PC_R,2.039895756522396
LIPv_R,1.8404725060879967
VIP_R,1.9177232792835692
MIP_R,1.7108018854057403
1_R,2.0484114242530653
2_R,1.8712657666719463
3a_R,1.7713374236480424
6d_R,2.182071710409885
6mp_R,2.485300899409828
6v_R,2.3495788109197098
p24pr_R,1.542881880832038
33pr_R,1.5219994571746136
a24pr_R,1.6963253976388049
p32pr_R,1.6686218943489424
a24_R,1.960868216303122
d32_R,2.283838669297393
8BM_R,2.099780241045165
p32_R,2.1381928600169577
10r_R,2.097250176933944
47m_R,1.6446432322117062
8Av_R,2.458440912145717
8Ad_R,2.6020728704674587
9m_R,2.5007959798036548
8BL_R,2.5198291451824484
9p_R,2.536019220647672
10d_R,3.0316879309691123
8C_R,2.321577458764589
44_R,2.4091211860918387
45_R,2.4330452708375985
47l_R,1.9410073994762589
a47r_R,1.7737380759368124
6r_R,2.2975482895970845
IFJa_R,2.1767662839983903
IFJp_R,2.3119190486321144
IFSp_R,2.2997211263992483
IFSa_R,2.460494898607012
p9-46v_R,2.7522491629807155
46_R,2.472227565179579
a9-46v_R,2.8306032673934367
9-46d_R,2.7730721766862416
9a_R,2.747193288512296
10v_R,1.983369527492368
