region,icvf_retest_cov
TPOJ1_L,1.3726165620247885
TPOJ2_L,1.431566718005087
TPOJ3_L,1.5664178292304525
DVT_L,1.5352797500638662
PGp_L,1.6641443977230146
IP2_L,1.9561026621231423
IP1_L,1.796797634804343
IP0_L,2.122565561088356
PFop_L,1.4706388332650508
PF_L,1.3237764971556951
PFm_L,1.785887191990056
PGi_L,1.4344965257411002
PGs_L,1.8410676749673685
V6A_L,1.755152000520534
VMV1_L,1.6496397672683478
VMV3_L,1.4768475845330153
PHA2_L,1.5676393662388834
V4t_L,1.6000561731053047
FST_L,1.3175099087636792
V3CD_L,1.5087242338600515
LO3_L,1.6857065042898103
VMV2_L,1.5577483048560528
31pd_L,1.662639436194893
31a_L,1.4739742319963267
VVC_L,1.6647026628487875
25_L,2.2754350269765298
s32_L,3.0227196102063107
pOFC_L,1.9560199143910761
PoI1_L,1.1162041836445207
Ig_L,1.803847902960037
FOP5_L,2.5771820916373818
p10p_L,3.2296347000276033
p47r_L,2.329944710074608
TGv_L,2.035767107603131
MBelt_L,1.39538564084096
LBelt_L,1.5329852741863355
A4_L,1.2743090666343964
STSva_L,1.604130383108963
TE1m_L,1.4288729222827206
PI_L,1.5708079726530981
a32pr_L,2.3787940453678007
p24_L,3.1164170961022015
V1_R,1.395526429092121
MST_R,1.584548792584142
V6_R,2.049880366524421
V2_R,1.3202621678195225
V3_R,1.375140966012906
V4_R,1.5313513176405888
V8_R,1.5701108374485482
4_R,1.7135999931920474
3b_R,2.1250294564563528
FEF_R,1.8146283621832144
PEF_R,1.6624829184876369
55b_R,1.5264863375650015
V3A_R,1.582623700219337
RSC_R,1.6170419695058773
POS2_R,1.3750083041743122
V7_R,1.8265046991974596
IPS1_R,1.9902022887372615
FFC_R,1.9308358468635913
V3B_R,1.6899208839742699
LO1_R,1.9772133506082628
LO2_R,1.834291448868019
PIT_R,1.7486371929729263
MT_R,2.014259015628551
A1_R,2.042588935056682
PSL_R,1.5730053355013718
SFL_R,2.2372598406867112
PCV_R,1.685481912759538
STV_R,1.4442864299933567
7Pm_R,1.5643622685098126
7m_R,1.5292281761280944
POS1_R,1.4393215551829246
23d_R,1.5267664629892979
v23ab_R,1.607957292417049
d23ab_R,1.6589701321209096
31pv_R,1.6725262276770805
5m_R,2.017163689527541
5mv_R,2.159869385333707
23c_R,1.6163128006698588
5L_R,1.7965110373107513
24dd_R,1.531610473398699
24dv_R,1.637965571940646
7AL_R,1.5835894327434072
SCEF_R,1.9258781494113357
6ma_R,1.9363912155386414
7Am_R,1.9256635613275994
7Pl_R,1.5123029080169519
7PC_R,1.3967504673715838
LIPv_R,1.6426494783554235
VIP_R,1.6258435087503809
MIP_R,1.6639304764132472
1_R,1.6660043436031797
2_R,1.4657708601790098
3a_R,1.912618684627892
6d_R,1.5873638007119002
6mp_R,1.7678434171622945
6v_R,1.8268517886109126
p24pr_R,1.2999273121063022
33pr_R,1.6370184109731634
a24pr_R,1.816981668803743
p32pr_R,1.4629608044493427
a24_R,2.544376675569833
d32_R,2.3968469908247245
8BM_R,2.012000651838715
p32_R,2.9203607021968385
10r_R,3.1502395127053795
47m_R,2.4264054778504707
8Av_R,2.1036147378211396
8Ad_R,2.7431442980169884
9m_R,2.4762268902026165
8BL_R,2.342782515661053
9p_R,2.4246332775156367
10d_R,3.240209493714713
8C_R,1.975611994548866
44_R,2.052746414816492
45_R,2.2891846715000868
47l_R,2.472630056260389
a47r_R,2.2856367745462567
6r_R,1.9804673423620485
IFJa_R,2.191624756090894
IFJp_R,1.989624598451165
IFSp_R,2.628345696966659
IFSa_R,2.428874662843695
p9-46v_R,2.5711542223710837
46_R,2.37410928985317
a9-46v_R,2.9757046693674885
9-46d_R,2.9495932273031
9a_R,2.763063149105496
10v_R,3.0449014114085045
a10p_R,3.2076217957777575
10pp_R,3.527786961745144
11l_R,2.6848229760624265
13l_R,2.149399165881171
OFC_R,2.249523767349879
47s_R,2.059448381606067
LIPd_R,1.9058225683092587
6a_R,1.6373627249603686
i6-8_R,2.052966144784717
s6-8_R,2.282318683767263
43_R,1.8185714338178511
OP4_R,1.6422027622722872
OP1_R,1.4563436580590055
OP2-3_R,1.4865303120084317
52_R,1.7029062890571878
RI_R,1.446658717621808
PFcm_R,1.6339782546774004
PoI2_R,1.779697705999813
TA2_R,2.2286492266796514
FOP4_R,2.1002353207707496
MI_R,1.8371485452412457
Pir_R,2.170334774354915
AVI_R,2.3034305375827326
AAIC_R,2.0791183262303305
FOP1_R,2.2851919192186836
FOP3_R,2.0752529221700233
FOP2_R,2.0015347007932873
PFt_R,1.4803604526966905
AIP_R,1.503654377720481
EC_R,1.5507579902568842
PreS_R,1.7063009072308961
H_R,1.8255739890086522
ProS_R,1.6906675418383803
PeEc_R,1.687421283280395
STGa_R,2.362807975084958
PBelt_R,1.6738511378422232
A5_R,1.363843778457381
PHA1_R,1.476915244364166
PHA3_R,1.7520327651665217
STSda_R,1.8326413598559834
STSdp_R,1.5689004878758301
STSvp_R,1.2736442880030918
TGd_R,2.1792934219635907
TE1a_R,1.9982789384263837
TE1p_R,1.4237096961228541
TE2a_R,2.16086935333993
TF_R,1.9537209246396001
TE2p_R,1.891333888787261
PHT_R,1.4643700934180894
PH_R,1.914120087929743
TPOJ1_R,1.1485004737609994
TPOJ2_R,1.3787537254612365
TPOJ3_R,1.4569403318057095
DVT_R,1.7484684250281495
PGp_R,1.3502883742042466
IP2_R,1.8509161609931637
IP1_R,1.9769275525398224
IP0_R,2.4243078297615566
PFop_R,1.634409217877879
PF_R,1.3666240134891423
PFm_R,1.568233604945187
PGi_R,1.4667408413392158
PGs_R,1.4901001183419578
V6A_R,1.8229744075285517
VMV1_R,1.6902913265304038
VMV3_R,1.7536274111636478
PHA2_R,1.384528688168074
V4t_R,1.6386020875355813
FST_R,1.3496205276741777
V3CD_R,1.4620540464713767
LO3_R,1.634349643186548
VMV2_R,1.20845241503525
31pd_R,1.6628113400089382
31a_R,1.372214657716025
VVC_R,1.5622200322637743
25_R,2.0546833059722953
s32_R,2.7652933872055963
pOFC_R,2.1323107109332224
PoI1_R,1.4806411428018367
Ig_R,1.7194233393020553
FOP5_R,2.559409927864193
p10p_R,3.164409869552854
p47r_R,2.371880618630456
TGv_R,1.9523236216617834
MBelt_R,1.8863387023941807
LBelt_R,1.9917619984382895
A4_R,1.4780078489860469
STSva_R,1.7514945239360102
TE1m_R,1.8499961796108144
PI_R,2.1393150766188245
a32pr_R,1.8662875038556292
p24_R,2.4505379362564215
