region,icvf_retest_cov
V1_L,1.3117895879606005
MST_L,1.4002926754732838
V6_L,1.5800291933582202
V2_L,1.273660624949888
V3_L,1.260415615804793
V4_L,1.2255698818355754
V8_L,1.525565439011432
4_L,1.61963429277763
3b_L,2.220447584708753
FEF_L,1.525095785473497
PEF_L,1.6984924617925727
55b_L,1.416692250267333
V3A_L,1.59590653880589
RSC_L,1.7554963835125108
POS2_L,1.3796145833700064
V7_L,2.048506113711921
IPS1_L,2.2073883185051315
FFC_L,1.5076490891840082
V3B_L,1.885596416086132
LO1_L,1.887401353439377
LO2_L,1.3661746330174476
PIT_L,1.416249996802462
MT_L,1.7058909443826529
A1_L,1.6902173786469976
PSL_L,1.4060971096162205
SFL_L,1.7941502346348985
PCV_L,1.5998863327046864
STV_L,1.4571322236183097
7Pm_L,1.8131671123295785
7m_L,1.6334551940272766
POS1_L,1.7745883770905604
23d_L,1.7894617415316592
v23ab_L,1.7797439457888036
d23ab_L,1.5552436136069607
31pv_L,1.5894110724706023
5m_L,2.074766678729565
5mv_L,2.082061849718443
23c_L,1.4931909832879187
5L_L,2.1139787500632936
24dd_L,1.6578460827281676
24dv_L,1.473530229324653
7AL_L,1.8156322553230302
SCEF_L,1.7793216116722304
6ma_L,2.088660132567378
7Am_L,1.6680491516201879
7Pl_L,1.71946227264392
7PC_L,1.762109938251981
LIPv_L,2.3213491913837383
VIP_L,2.0867787600799876
MIP_L,1.9027013422261918
1_L,1.8294010153258773
2_L,1.6107656765111822
3a_L,1.890048944694021
6d_L,1.8454295865450678
6mp_L,1.6519218153535897
6v_L,1.973344415206821
p24pr_L,1.3153878219993693
33pr_L,2.3260613371657812
a24pr_L,1.9506220831166736
p32pr_L,1.881422088646577
a24_L,2.8981076056652824
d32_L,2.6006167304029577
8BM_L,2.1325846196858005
p32_L,3.1431285915399925
10r_L,2.9610380964094096
47m_L,2.3931642752130178
8Av_L,1.5149277271028134
8Ad_L,1.6209043260731062
9m_L,2.478983201963165
8BL_L,1.71431632098696
9p_L,1.9097426008182155
10d_L,3.2649773054355578
8C_L,1.5834941410215215
44_L,1.9379749302455154
45_L,1.9387980053016367
47l_L,2.0409316731374356
a47r_L,2.189685626695247
6r_L,1.693220584304886
IFJa_L,1.8808917359867858
IFJp_L,1.4879845827012739
IFSp_L,2.1309927638979915
IFSa_L,2.4830750752031214
p9-46v_L,1.9087380834659675
46_L,2.080551890247885
a9-46v_L,2.6433930910924794
9-46d_L,2.3014162959464226
9a_L,2.294303408919697
10v_L,2.88971983961226
a10p_L,3.038928552749473
10pp_L,3.7182377317569753
11l_L,2.5678896372637405
13l_L,2.302492049226517
OFC_L,1.9851549733898868
47s_L,2.1908887162545145
LIPd_L,2.1360132923134776
6a_L,1.856978231114089
i6-8_L,1.8941252201435517
s6-8_L,1.9645101221971308
43_L,1.3278830954183232
OP4_L,1.4204312109264883
OP1_L,1.5316356735336862
OP2-3_L,1.5454102746501386
52_L,1.5775503842788485
RI_L,1.7505885627919529
PFcm_L,1.4362946076813212
PoI2_L,1.50440268331509
TA2_L,1.5434012754153241
FOP4_L,1.9476504254324456
MI_L,1.8440383166395888
Pir_L,2.0073588483794853
AVI_L,1.9265466223774081
AAIC_L,1.8100190026761867
FOP1_L,1.5972743977775576
FOP3_L,1.9106811260238685
FOP2_L,1.9099015229333653
PFt_L,1.2910080853752635
AIP_L,1.8637973096687532
EC_L,1.878542314111521
PreS_L,1.7819253505848325
H_L,1.80753520175585
ProS_L,1.6502096991675774
PeEc_L,1.8206970239202254
STGa_L,2.065120274537473
PBelt_L,1.4001029720721474
A5_L,1.4794590867399338
PHA1_L,1.7060454864676378
PHA3_L,1.2724487168583702
STSda_L,1.560241564398313
STSdp_L,1.3779007226341753
STSvp_L,1.1087220213046751
TGd_L,2.1903799109944178
TE1a_L,1.6149274379838694
TE1p_L,1.1379122859345372
TE2a_L,1.7798419363352702
TF_L,1.6820310223269634
TE2p_L,1.2918073386244475
PHT_L,1.3467181236222625
PH_L,1.5532671374794085
