region,icvf_li
V1,0.0018319459430675973
MST,0.01506966830307666
V6,-0.015900581726299032
V2,0.0018994561088214773
V3,0.009894999616028598
V4,0.017168545540597088
V8,0.006283076283172125
4,-0.0011010177254015276
3b,-0.04226669653592661
FEF,-0.01926809233049311
PEF,-0.015718348010826635
55b,-0.008078988765495811
V3A,0.012777722158639279
RSC,-0.004026378788460493
POS2,0.0022050547533332045
V7,0.04110557477617565
IPS1,0.030971784365423524
FFC,-0.010737101888773167
V3B,0.014190909680092829
LO1,0.01119495886474897
LO2,0.014649208816108757
PIT,0.01109936186166693
MT,0.0198456314743849
A1,0.01500424977238926
PSL,0.01216931230625725
SFL,-0.005978702576246565
PCV,-0.013733935606465377
STV,0.007822028687127548
7Pm,-0.007294774203814086
7m,-0.00853558043528014
POS1,0.01301926594668471
23d,-0.010674586193573405
v23ab,-0.006123715440079893
d23ab,0.0046550568117175355
31pv,-0.004152150056727713
5m,-0.019140761262087205
5mv,-0.03363041058450813
23c,-0.01135088723237303
5L,-0.010073279411691996
24dd,-0.017751617084791376
24dv,-0.021960730683709694
7AL,0.012802484509167001
SCEF,-0.020493730543458787
6ma,0.0038751260611719126
7Am,-0.004733321197187614
7Pl,0.01418214753759307
7PC,0.014238852086712751
LIPv,0.02837325165756712
VIP,0.01738851526224567
MIP,0.0165599769681674
1,0.0032558197720827936
2,0.013740572320307546
3a,-0.004856351535393911
6d,-0.0026210156418211596
6mp,0.0006690269053425493
6v,-0.010523699240708563
p24pr,-0.008343069203268608
33pr,-0.012070083612681226
a24pr,-0.018017675427872006
p32pr,-0.01986257545958971
a24,-0.007199760700131956
d32,-0.024531353613390518
8BM,-0.018062397363894485
p32,-0.017588159413098377
10r,-0.015637574149584135
47m,-0.024094718019378496
8Av,-0.01861022252497508
8Ad,-0.014975327702062762
9m,-0.013292473735367499
8BL,0.004452389408356415
9p,-0.0011141225596170716
10d,-0.009976777184682156
8C,-0.007903513405297503
44,-0.006723240362354135
45,0.002820649471502205
47l,-0.012147961083079669
a47r,-0.017985749119607982
6r,-0.01126621824342409
IFJa,-0.010730518511878754
IFJp,-0.013155160621745298
IFSp,-0.013669734151921612
IFSa,-0.006392789267392764
p9-46v,-0.012071886265218938
46,-0.02338103475630285
a9-46v,-0.02050982743522214
9-46d,-0.011749629695155656
9a,0.00024767074158823116
10v,0.011109374829446865
a10p,-0.02077069024092364
10pp,-0.009997161243121395
11l,-0.011632801154618639
13l,-0.022314145340083226
OFC,0.013650067724864054
47s,-0.017776293559841023
LIPd,0.023815430652608605
6a,-0.0010922562378018876
i6-8,-0.024446858138766427
s6-8,-0.003323369896908662
43,0.00041363561104086074
OP4,0.0053135068807750796
OP1,0.008846658798917127
OP2-3,0.02173988584403086
52,-0.0037607812134766907
RI,0.025960518011645867
PFcm,0.011915726109464397
PoI2,-0.004224886446414979
TA2,-0.005967908655408741
FOP4,-0.003808092728093153
MI,-0.005527259355426597
Pir,-0.004206474006553032
AVI,0.001598001022142147
AAIC,0.009086697850008015
FOP1,-0.011623597951653365
FOP3,0.006698465145994265
FOP2,0.005782945078155808
PFt,-0.010666084084886382
AIP,0.009088717535619578
EC,-0.0031102163307937347
PreS,0.0010248908983924664
H,0.007410021584022332
ProS,0.010505502412678613
PeEc,-0.0039469068439064465
STGa,-0.010082813059222448
PBelt,0.006449199312900006
A5,0.0012772083800869467
PHA1,-0.004496965885807633
PHA3,0.009098553690230467
STSda,0.0016665078107644627
STSdp,0.010006965004381274
STSvp,0.003508221934624095
TGd,-0.011704218586428412
TE1a,-0.005407473126634451
TE1p,0.0051835471788091985
TE2a,0.000722635085453183
TF,-0.003280675102400448
TE2p,-0.007842686414260768
PHT,0.009869694851101344
PH,-0.00016852977705862377
TPOJ1,0.020947374654960767
TPOJ2,0.009134829067552076
TPOJ3,0.011615161817171704
DVT,-0.01207627583924313
PGp,0.010428765242898349
IP2,-0.009788498995286332
IP1,-0.00012340326186625056
IP0,-0.00871851703628521
PFop,-0.005060480690739833
PF,-0.0005500418034204924
PFm,-0.001448118860222831
PGi,0.008733472255372857
PGs,0.004054773989400719
V6A,0.0035199040285630195
VMV1,0.004010992039831761
VMV3,0.009291392333754478
PHA2,-0.0028092472113902985
V4t,0.013989659525175769
FST,0.009733631804454431
V3CD,0.017902093899343753
LO3,0.011401145997833532
VMV2,0.016131189527844956
31pd,-0.006496675692379689
31a,-0.01756094126401251
VVC,-0.0013726951954904309
25,0.014678503103164665
s32,-0.009496490580963609
pOFC,-0.0039157380904461855
PoI1,-0.006134164050334138
Ig,0.01629477186308169
FOP5,-0.0005367911397906963
p10p,0.001835420825030317
p47r,-0.011521135980953725
TGv,-0.004210779415694526
MBelt,-0.012306927523222355
LBelt,0.025377363441066024
A4,0.010407637167497793
STSva,-0.009614980017543196
TE1m,0.004882244621249017
PI,0.009110880219986213
a32pr,-0.02039577740613648
p24,-0.02089624942147208
