region,kfa_li
V1,0.009266407563755283
MST,0.010831726350072709
V6,0.004763628190410228
V2,0.00880840401691673
V3,0.01078283336998244
V4,0.011981294070523668
V8,0.013926782966095933
4,-0.008029292082170418
3b,0.008134894438696357
FEF,-0.008256993257478777
PEF,-0.0015752100997526402
55b,-0.004057664060391932
V3A,-0.0013541879612006026
RSC,0.0033607898321849966
POS2,0.0021205484305177424
V7,-0.009796840034891958
IPS1,-0.012250139712954987
FFC,0.005609476701196633
V3B,0.0029573492691559898
LO1,0.0184199418125528
LO2,0.015295274719805164
PIT,0.008292830054674774
MT,0.013405028219381042
A1,0.004355297788379479
PSL,-0.00954076490703753
SFL,0.005657777450377322
PCV,0.0073369939802930126
STV,-0.0031534430721513
7Pm,0.011180639065373052
7m,0.010647722097154089
POS1,0.00212754625720341
23d,0.0003519294158831218
v23ab,0.008452318730900028
d23ab,0.003600265159359309
31pv,0.005812784797806995
5m,0.006628305322745237
5mv,0.0034563839623215306
23c,0.0027671183769259053
5L,0.0071372153517175185
24dd,0.00844924231506148
24dv,0.007403119954638057
7AL,3.6002912557886216e-05
SCEF,0.010640234917292475
6ma,0.0067043921956621315
7Am,0.008543956795743702
7Pl,0.0030953572754085306
7PC,-0.003331428980215519
LIPv,-0.0017097856673340486
VIP,0.001983803545784526
MIP,-0.0036475713312395888
1,-0.0029405456017373697
2,-0.006378721150723846
3a,-0.007584703333837327
6d,-0.0003640009435577613
6mp,0.0030104555134061696
6v,0.001203454535300995
p24pr,0.005290685096250494
33pr,-0.0078108222505917715
a24pr,0.001517619878597393
p32pr,0.011183403223016143
a24,0.01562617273213882
d32,0.01996615555495105
8BM,0.018799687304553062
p32,0.02531329203786011
10r,0.0205569876134598
47m,0.0009606243877595591
8Av,0.003244626363181327
8Ad,0.003696806443360671
9m,0.03034209403127972
8BL,0.010650921389589478
9p,0.01168634138249745
10d,0.019665820336650864
8C,0.0015640587523077394
44,-0.0016022617835996522
45,-0.009004469262247804
47l,-0.024206236843780555
a47r,0.013558762653124492
6r,-0.00742559446556332
IFJa,0.002081549223750652
IFJp,-0.002433887190692285
IFSp,0.0016007197467758306
IFSa,0.0037702739268648537
p9-46v,0.008306468790395776
46,0.014582552507386107
a9-46v,0.008284061826748408
9-46d,0.009203379695689929
9a,0.014704897523089193
10v,0.014861680355907597
a10p,0.004403651755774648
10pp,0.00560162917795522
11l,-0.001631463872445891
13l,-0.0020184070598002813
OFC,0.01057175120852055
47s,-0.02060982983606899
LIPd,-0.01037006003210565
6a,-0.0010269889463654029
i6-8,0.0004561842133438885
s6-8,0.005840106886177165
43,-0.006338368014557605
OP4,-0.004205800477797589
OP1,0.003950274030914644
OP2-3,0.013603587262788935
52,-0.0020254449015107917
RI,0.005944242964675626
PFcm,-0.006150133184560234
PoI2,-0.01785994222451083
TA2,-0.0017592480555979394
FOP4,0.011108876932045547
MI,-0.012136405177486381
Pir,0.004728128295075341
AVI,-0.005656297305208907
AAIC,-0.0014216212579029937
FOP1,-0.00029424335329643613
FOP3,0.012469344118456705
FOP2,0.011330905923244726
PFt,-0.009684349284097274
AIP,-0.008779163670612359
EC,-0.00847877830400155
PreS,0.012721945363979805
H,-0.010683426295680948
ProS,0.011276485393655366
PeEc,-0.020990784875300258
STGa,-0.009939758828176036
PBelt,-0.010827919465136223
A5,-0.009903003710695508
PHA1,-0.006367985538472632
PHA3,0.0034716448696725075
STSda,-0.012885764600506416
STSdp,0.004037097223768059
STSvp,-0.00447047711942039
TGd,-0.017659785134539644
TE1a,-0.030281188216987595
TE1p,0.001716295513278208
TE2a,-0.010223161155729613
TF,-0.011014462903722667
TE2p,0.0038723547538379497
PHT,0.012105472406268816
PH,0.010717927429471993
TPOJ1,0.004887290424040804
TPOJ2,0.00923324682687044
TPOJ3,0.00836753199754281
DVT,0.008028980372887929
PGp,0.012343858856865073
IP2,-0.0037980481075413223
IP1,-0.00030204802803697765
IP0,0.015677117498293324
PFop,-0.016319302870116716
PF,-0.0082149170240641
PFm,0.0043701245201080334
PGi,0.0038080802157029804
PGs,0.0038223221363349936
V6A,0.002948220783099471
VMV1,0.012960469338962196
VMV3,0.021281342796340794
PHA2,0.002740057419376004
V4t,0.015801031129558028
FST,0.01506504042068714
V3CD,0.013902217966047832
LO3,0.017647562123168224
VMV2,0.015811719820029393
31pd,0.008214303480275083
31a,0.0006136446152959448
VVC,0.01133228662050477
25,-0.010459570264769385
s32,-0.010955041804659007
pOFC,-0.013579185994167771
PoI1,-0.021356895372984876
Ig,-0.0024905772385070716
FOP5,-0.0006708164430352066
p10p,0.014346738944546026
p47r,-0.005810469022699675
TGv,-0.024532857842209054
MBelt,0.005268990671572873
LBelt,-0.0006737664972283939
A4,-0.019633315904787486
STSva,-0.014788166280974147
TE1m,-0.007754642018206136
PI,-0.01741691234642775
a32pr,0.016777123088304206
p24,0.0005856780712676679
