region,mk_li
V1,0.0007344548880489027
MST,0.0081439326552897
V6,-0.011567776563528764
V2,0.0008328420269563178
V3,0.007306619627794532
V4,0.013277408821171274
V8,0.002987344362677129
4,0.001416259110403186
3b,-0.020806224937974478
FEF,-0.004630545115489689
PEF,-0.009980159760792388
55b,0.0033711881406523207
V3A,0.012957232785403571
RSC,-0.005434981186420337
POS2,0.004771196946884345
V7,0.03561371443448314
IPS1,0.03270078213293108
FFC,-0.005451475330400608
V3B,0.010764235806605073
LO1,0.007233488271861014
LO2,0.01087168718638214
PIT,0.011986232444476917
MT,0.016075979392462057
A1,0.008019268559476364
PSL,0.01850159183827696
SFL,-0.009683766333655088
PCV,-0.015287187208690718
STV,0.007651751479874809
7Pm,-0.010269111824527326
7m,-0.011256333149138717
POS1,0.006334579052656059
23d,-0.006288790008063285
v23ab,-0.011894110874623331
d23ab,0.0015174238518374725
31pv,-0.007446967714440184
5m,-0.010317742671500754
5mv,-0.029220018697885153
23c,-0.009855596224478425
5L,-0.012514886333168256
24dd,-0.01376791080947462
24dv,-0.020053827319321253
7AL,0.01812064622216144
SCEF,-0.022615597277626673
6ma,-0.0009319177129246131
7Am,-0.00776524700127733
7Pl,0.01614727450290539
7PC,0.02537846803789526
LIPv,0.031234497344263264
VIP,0.023504272852482837
MIP,0.025716231581178518
1,0.011347346699170709
2,0.02035101025769649
3a,-0.004804649259499036
6d,-0.0025808168079845804
6mp,-0.0022026080978153366
6v,-0.0013565730141534133
p24pr,-0.008232221505988454
33pr,-0.010217439772665418
a24pr,-0.01697910017647017
p32pr,-0.0213691524732768
a24,-0.007243034867216903
d32,-0.032806302662734564
8BM,-0.032327725353654406
p32,-0.0179424810194832
10r,-0.011895579851781368
47m,-0.014816115188165072
8Av,-0.008771160206547723
8Ad,-0.007500988135548856
9m,-0.0337586296874529
8BL,-0.004273741964379986
9p,-0.0018424085270720516
10d,-0.01815379921696006
8C,-0.0007762027005981142
44,-0.002958280458147983
45,0.00742563630970271
47l,0.0016710312495668458
a47r,-0.012369106042881488
6r,-0.008745737738973547
IFJa,-0.009693769553715287
IFJp,-0.010343927836987682
IFSp,-0.013512351673157574
IFSa,-0.010806962721307012
p9-46v,-0.006815616525492893
46,-0.02216019198263277
a9-46v,-0.015856902368129294
9-46d,-0.011927516797402388
9a,-0.0035271801470164155
10v,0.005470546758033532
a10p,-0.01727476164349155
10pp,-0.006632641935644362
11l,-0.007275543618975303
13l,-0.011660793855472827
OFC,0.007175934704954611
47s,-0.005189808439629958
LIPd,0.0331786451280732
6a,0.0010735932833920959
i6-8,-0.011412937504544404
s6-8,0.001908844349656027
43,0.006356349181338417
OP4,0.008268775897732365
OP1,0.006205760657069297
OP2-3,0.011695557948226097
52,-0.0023455734023656956
RI,0.024100939305290975
PFcm,0.020294281399162426
PoI2,0.0009605498657508278
TA2,-0.009747632365128777
FOP4,-0.008629992272060358
MI,-0.0014138245246127705
Pir,0.0042128989544854166
AVI,-0.0017988802289961709
AAIC,0.007558895187051528
FOP1,-0.008304585539643037
FOP3,-0.0029237268777614453
FOP2,-0.00304318790023065
PFt,0.002724419815551724
AIP,0.01973166165082158
EC,0.0009345211645876453
PreS,0.0022593201169505855
H,0.004839002265738546
ProS,-0.004631322849685816
PeEc,0.004344469983663454
STGa,0.0011003608869308821
PBelt,0.00516415649702032
A5,0.017904597870763664
PHA1,0.002434034703410502
PHA3,0.0029118333427397215
STSda,0.015410013157044166
STSdp,0.01099132736897989
STSvp,0.005001323983041846
TGd,-0.00198167996101139
TE1a,0.007532027891703114
TE1p,0.0066771158953395195
TE2a,0.001014911823808353
TF,0.0012440996641131623
TE2p,-0.006971404327101563
PHT,0.005858108033487396
PH,-0.00043589927312849016
TPOJ1,0.01752913579952017
TPOJ2,0.005183892858861171
TPOJ3,0.011527550605590473
DVT,-0.014981958069790371
PGp,0.01833514520400924
IP2,-0.0016894111816204704
IP1,0.006108283721237069
IP0,-0.017428477368430294
PFop,0.010287674725221675
PF,0.01961567859097344
PFm,0.00846234559594213
PGi,0.014635725619078109
PGs,0.018407042321974848
V6A,0.0019064909011825698
VMV1,0.0017679837338343406
VMV3,-0.00559073364263334
PHA2,0.0019540424804904304
V4t,0.009755516586423672
FST,0.0034631176257801204
V3CD,0.017326669898883224
LO3,0.007357489846014126
VMV2,0.005543464070353991
31pd,-0.012146534279375985
31a,-0.01607889570575145
VVC,-0.0022532371865181646
25,0.009924634105115984
s32,-0.0011876864880275314
pOFC,-0.0008846792169476074
PoI1,0.0020374055463770716
Ig,0.010347260648814614
FOP5,-0.0036270532112427437
p10p,-0.005073574555068505
p47r,-0.005978955999278526
TGv,0.004251990384597977
MBelt,-0.007072337980577109
LBelt,0.020992430196336745
A4,0.012566712759899767
STSva,-0.0009713222284889329
TE1m,0.006851526027139932
PI,0.005522835417792139
a32pr,-0.024683601982760334
p24,-0.019829884574991304
