region,qiv_li
V1,-0.010341645757403714
MST,0.007032649632346475
V6,-0.006754791980028545
V2,-0.008967287950547064
V3,-0.00566383179727336
V4,-0.0036465648521633157
V8,-0.016164622605963144
4,0.011333339408004866
3b,-0.0010861450961955634
FEF,0.010705769869142609
PEF,0.008241603852469411
55b,0.013668681787344204
V3A,0.012936545790863284
RSC,-0.013258237476912384
POS2,0.0002391313937859463
V7,0.02665575769061655
IPS1,0.027841297715110593
FFC,0.007515363358503061
V3B,0.005205055269540388
LO1,-0.001089823096308255
LO2,-0.0009641245796591154
PIT,0.0008225207093385058
MT,0.006227868687081456
A1,0.0002780285431327529
PSL,0.012820311434353407
SFL,-0.006438231948027332
PCV,-0.00896483809897005
STV,0.005633133549565498
7Pm,-0.010395073603402366
7m,-0.013943703619591895
POS1,-0.007521835802371677
23d,-0.005921995287204287
v23ab,-0.008537222210819631
d23ab,-0.009983871438122209
31pv,-0.00826619213787382
5m,-0.015372738661731073
5mv,-0.0031855205105321065
23c,0.005480048914425488
5L,-0.0038278129983732793
24dd,-0.018956839077875893
24dv,-0.006099208680847922
7AL,0.006034948978610414
SCEF,-0.020625949071392955
6ma,0.004691441312966224
7Am,-0.008114857294073092
7Pl,0.0007230367948835529
7PC,0.011221826222729471
LIPv,0.011167808141910453
VIP,0.005447397346530238
MIP,0.016095567415014052
1,0.01253299163633317
2,0.014373756021906568
3a,0.02020423928960814
6d,0.004872361905588262
6mp,-0.0013350464082205126
6v,0.013364659814163167
p24pr,-0.007638870172659496
33pr,-0.004180894145531238
a24pr,-0.002837003282845516
p32pr,-0.008521270045519768
a24,-0.012498160389142499
d32,-0.012063656175852314
8BM,-0.022547737303486175
p32,-0.015515302870196718
10r,-0.018655311265927312
47m,0.009996444376908721
8Av,0.01312927096140087
8Ad,0.0164283911092354
9m,-0.02367643594246259
8BL,-0.006218194801462486
9p,0.003265290373722552
10d,-0.012854161888804214
8C,0.008937447535377886
44,0.006112940719182626
45,0.0013593735101586069
47l,0.016005568025581816
a47r,0.0025362472719808377
6r,0.007699155911254713
IFJa,0.005376477101793786
IFJp,0.011049654508562422
IFSp,0.002025070104533515
IFSa,-0.0055278761647496516
p9-46v,0.0012528501039059357
46,-0.00043438301173338915
a9-46v,0.002420030258735526
9-46d,0.0002098239838370296
9a,-0.0023788909734990217
10v,-0.029352270160858344
a10p,0.0037494279775916683
10pp,0.0077052434820552495
11l,0.012651696690327292
13l,0.015333345460262363
OFC,-0.025639961613218163
47s,0.023841351435100015
LIPd,0.016882192490097554
6a,0.0126857011748639
i6-8,0.008694979557318213
s6-8,0.014444914434660167
43,0.011224568744477085
OP4,0.0019224739151643632
OP1,-0.006866111918124606
OP2-3,-0.012799190343222898
52,0.0015044638964059553
RI,-0.009963764102381836
PFcm,0.0031837705420491996
PoI2,0.024007815928743754
TA2,-0.012576753745066609
FOP4,-0.010078184826024492
MI,0.014950883463644041
Pir,0.000593241299093876
AVI,0.013241436391858595
AAIC,0.004962495019725808
FOP1,-0.005925013923811249
FOP3,-0.0024668653421785823
FOP2,-0.01448975250457664
PFt,0.008942851283727083
AIP,0.008218411995454707
EC,0.004068305697767833
PreS,-0.018370036395817215
H,0.005953033805843683
ProS,-0.014167610998748319
PeEc,0.0138058657411335
STGa,0.013935470458792
PBelt,0.0009823252597432502
A5,0.021457034455979313
PHA1,0.007615121092374619
PHA3,-0.005970171079322996
STSda,0.011602763141344867
STSdp,-0.0037936422831428645
STSvp,0.0021076765696504004
TGd,0.011345061069076253
TE1a,0.013610005020601753
TE1p,-0.0010935688859141268
TE2a,-0.0024960995094469095
TF,0.004620506703883486
TE2p,-0.003258828450848375
PHT,-0.002202081140707091
PH,0.0038577328763758833
TPOJ1,-0.005607117785977171
TPOJ2,0.00683070029375483
TPOJ3,0.011041167729517777
DVT,-0.008283053350391539
PGp,0.007641984192122215
IP2,0.0035551091714735076
IP1,0.005658488216979573
IP0,-0.010285608818215846
PFop,0.01988126034194816
PF,0.017757597232853303
PFm,0.012812809236958695
PGi,0.010071450631608945
PGs,0.015071462054245291
V6A,0.006919113189461176
VMV1,-0.014886192759845557
VMV3,-0.024094801518121937
PHA2,0.00394686176017288
V4t,0.0005450452037427272
FST,4.223323635380738e-05
V3CD,-0.0009149812895919789
LO3,0.0012682502113256883
VMV2,-0.020268292073525724
31pd,-0.01613010469089705
31a,0.0001602603923484272
VVC,-0.011329292027109212
25,-0.02441213498205319
s32,-0.002057297581026945
pOFC,-0.0012034796821880974
PoI1,0.01879399656220802
Ig,0.007257864385816498
FOP5,-0.006646462933367387
p10p,0.0010081646109960883
p47r,0.0063321534745053665
TGv,0.007049501897937537
MBelt,-0.014331467396561954
LBelt,-0.005421856128374634
A4,0.008994264883842038
STSva,0.004409394952255597
TE1m,-2.4121021845049263e-05
PI,-0.010078323633473397
a32pr,-0.009094593176694211
p24,-0.006026510928696857
