region,rtop_li
V1,0.010709237410310182
MST,-0.011050965618924078
V6,0.03002617029523835
V2,0.013022122962678035
V3,0.010038208497427465
V4,0.0007767663519763848
V8,0.017943609160092758
4,-0.017444416818445684
3b,0.034013972293515285
FEF,-0.01666759973487373
PEF,-0.023711243327401356
55b,-0.02795457243239717
V3A,-0.019731062754757854
RSC,0.02345776286007448
POS2,-0.0005509732774327537
V7,-0.05528182407837003
IPS1,-0.05419618042206682
FFC,-0.031829958117367184
V3B,-0.005379177402353857
LO1,0.009235789144425091
LO2,0.0057186168026722006
PIT,-0.0009179044065235273
MT,-0.010739012339775268
A1,-0.009573188171393056
PSL,-0.011836058581705177
SFL,0.009320033816209137
PCV,0.030485510889271563
STV,-0.010724603729396062
7Pm,0.028683227536059022
7m,0.03689436641789673
POS1,0.005000134343337832
23d,0.03563151433718627
v23ab,0.016987239742152514
d23ab,0.02760773740102525
31pv,0.021873834021056415
5m,0.036134885161378874
5mv,0.038695784793437965
23c,-0.005908165404557598
5L,0.01983593696743486
24dd,0.04089670948816066
24dv,0.03143978980461199
7AL,-0.01388002746203317
SCEF,0.04684161540248667
6ma,-0.027439908451238514
7Am,0.020953368615725353
7Pl,-0.0024618390517028577
7PC,-0.02687716661085249
LIPv,-0.033852061789039295
VIP,-0.013196840745358594
MIP,-0.02640245284272512
1,-0.018272744735083626
2,-0.04052931657068788
3a,-0.03841314728792248
6d,-0.008293406471096595
6mp,-0.00015722918785366415
6v,-0.01613345451654231
p24pr,0.03787643841739341
33pr,0.042921473350726894
a24pr,0.03243817179048442
p32pr,0.043414389361633124
a24,0.0220224375586768
d32,0.03882769125437224
8BM,0.061986770595312365
p32,0.024349799279592434
10r,0.02854822837004019
47m,-0.02275884052949163
8Av,-0.036481555667639734
8Ad,-0.042329783180739995
9m,0.047045417831900624
8BL,-0.010505994176494912
9p,-0.028207560956580415
10d,0.009946502803887657
8C,-0.03523735233475365
44,-0.025689462158198683
45,-0.006590720031001587
47l,-0.0291387647998155
a47r,-0.02142876328818974
6r,-0.01961886781423369
IFJa,-0.015864383302750192
IFJp,-0.0215418256518052
IFSp,-0.018096538596245652
IFSa,-0.007971986867872908
p9-46v,-0.022029597452034685
46,-0.01670588911352367
a9-46v,-0.019009040819994886
9-46d,-0.012015792712342406
9a,-0.021735526759461273
10v,0.03353336540152035
a10p,-0.02958465294681078
10pp,-0.020486398354977942
11l,-0.03581283608044493
13l,-0.016418202204236395
OFC,-0.0009950988775977584
47s,-0.028666633983949998
LIPd,-0.03431086773777209
6a,-0.033788897797083266
i6-8,-0.012587445587011144
s6-8,-0.05171098373990589
43,-0.030433710067204175
OP4,-0.004704579921502587
OP1,0.012467375869448462
OP2-3,0.011962452557960124
52,-0.0027852148972116204
RI,0.018750409177773018
PFcm,-0.005306940855182105
PoI2,-0.06097522251314078
TA2,0.022655946361200847
FOP4,0.013129031939860621
MI,-0.04478216345993103
Pir,-0.004674199707429363
AVI,-0.03812934673210823
AAIC,-0.04145906163672984
FOP1,-0.00022448031715144139
FOP3,-0.006020983338359295
FOP2,0.02704243842361783
PFt,-0.015060180200377695
AIP,-0.025581718084638796
EC,0.007172105434599765
PreS,0.022449412545663985
H,-0.019429452799627808
ProS,0.01706276703212415
PeEc,-0.020208937460872347
STGa,-0.037637338549407984
PBelt,0.008448723227093934
A5,-0.057991241146158015
PHA1,-0.010478419720863065
PHA3,-0.0014600568903375306
STSda,-0.07287864938357058
STSdp,-0.026348619562185132
STSvp,-0.0033572302358614164
TGd,-0.01076949426042686
TE1a,-0.02763932518060813
TE1p,-0.012821504766796128
TE2a,-0.003276228461336931
TF,-0.01419202409564849
TE2p,-0.002341363875935454
PHT,-0.00941096386336502
PH,-0.015512126977270077
TPOJ1,0.0019025603574909398
TPOJ2,-0.0055968333213983566
TPOJ3,-0.016941849984652937
DVT,0.03209262466966926
PGp,-0.015023261739138616
IP2,0.0027790346206700532
IP1,0.005715677297463201
IP0,0.04869821799895769
PFop,-0.03576216203901779
PF,-0.03803489140001657
PFm,-0.0209172239476915
PGi,-0.010275186423664364
PGs,-0.02298423817083759
V6A,-0.0015362760772918863
VMV1,-0.0036530729419886787
VMV3,0.019417936201200265
PHA2,-0.02982242409271943
V4t,-0.0015406528245827838
FST,-0.006579116093258008
V3CD,0.0032709782355934904
LO3,0.005205073215281506
VMV2,-0.0035666142621167906
31pd,0.04234812103285876
31a,0.02147850542061224
VVC,-0.004356823211259244
25,0.012790415259518415
s32,0.007898682814389126
pOFC,-0.004475785546613515
PoI1,-0.04944569055332311
Ig,-0.02750828427842553
FOP5,0.007607835474950352
p10p,-0.036668831033572935
p47r,-0.03205662519406493
TGv,0.0033412939626254533
MBelt,0.030476544360645223
LBelt,0.012326812545395518
A4,-0.01055919825433273
STSva,-0.025359991271790124
TE1m,-0.022023841053913237
PI,0.023678600526307363
a32pr,0.04118915375949605
p24,0.02474323416493425
