region,dki-rd_li
V1,-0.0048288856148946705
MST,0.0007475127212840669
V6,-0.000514342078419526
V2,-0.004527642010429342
V3,-0.0016664144616836977
V4,-0.0017780235104045486
V8,-0.0059396004031197595
4,0.005985060596798639
3b,-0.0013160666256901298
FEF,0.004814786804113817
PEF,0.0020672926719935043
55b,0.0024761267520963816
V3A,0.006176712329057522
RSC,-0.007145399442046279
POS2,0.001516140296585729
V7,0.009723863991285962
IPS1,0.011551687023127519
FFC,-0.0004643576239008584
V3B,0.00498819260366613
LO1,0.0010113866506361528
LO2,-0.0014410669752632356
PIT,-0.0002585425642852658
MT,-0.0002629049388356054
A1,0.0014227203118440236
PSL,0.010843420481802294
SFL,-0.004559102011307231
PCV,-0.002577613941904676
STV,0.003386516826542849
7Pm,-0.0019222765787138955
7m,-0.0036606200163996805
POS1,-0.003621492685130828
23d,-9.939684273102501e-05
v23ab,-0.0037140525909981296
d23ab,-0.0025388137521223887
31pv,-0.0031608562273534595
5m,-0.005021772456220899
5mv,0.002209641013691529
23c,0.00047247314358005887
5L,-0.0001281840690485832
24dd,-0.006394418672973697
24dv,-0.0022784838123417234
7AL,0.0037149270056975967
SCEF,-0.008590149221863099
6ma,-0.000688667589510006
7Am,0.0001529256389596213
7Pl,0.001918527948706324
7PC,0.003964517055522205
LIPv,0.003742328730835104
VIP,0.0017086424643429927
MIP,0.007249587153917751
1,0.0013637607044030523
2,0.005402250647205849
3a,0.008488702586505307
6d,0.000845960688579572
6mp,-0.0008666350692708823
6v,0.0028640351563462034
p24pr,-0.0015229077107092816
33pr,0.0024848945832236496
a24pr,-0.001005197659493697
p32pr,-0.004342503720785786
a24,-0.007070294833765241
d32,-0.010100531513997263
8BM,-0.014160134861017732
p32,-0.01027640983427332
10r,-0.010811746054094178
47m,0.000582874197511296
8Av,0.000714998298314408
8Ad,0.0034006240734577218
9m,-0.01752766788538758
8BL,-0.006420927566058643
9p,-0.0012293695026088733
10d,-0.008589786452675954
8C,2.1427593835147213e-07
44,0.0020029026728711676
45,0.0026525733743184457
47l,0.007661211222009175
a47r,-0.003071055180834507
6r,0.0040348709328433645
IFJa,0.0009268281612235404
IFJp,0.0034042431022709295
IFSp,0.0010577075244947456
IFSa,-0.0031263373411300403
p9-46v,-0.003562643838507715
46,-0.006042926414057272
a9-46v,-0.0011420297986478038
9-46d,-0.0037349055409088465
9a,-0.0034505096056729706
10v,-0.014188771980267188
a10p,-0.001425725247416997
10pp,0.001986345420662803
11l,0.0006706755349448144
13l,0.0019739638470140557
OFC,-0.012434698109303782
47s,0.01022199490195267
LIPd,0.008842286342046255
6a,0.003659664639424327
i6-8,0.0013274385844208529
s6-8,0.002694939205817966
43,0.004224565586919783
OP4,0.000596399421371657
OP1,-0.003145153447417026
OP2-3,-0.0073381586030227715
52,0.0007437880738261009
RI,-0.004136129474044408
PFcm,0.002691992494841692
PoI2,0.01075568845531488
TA2,-0.003445725734470408
FOP4,-0.008157182644862484
MI,0.005966637049721703
Pir,-0.0006007282442978629
AVI,0.0025804693147644508
AAIC,0.00031069725155426735
FOP1,-0.003854916365822782
FOP3,-0.006663252092023334
FOP2,-0.008241100258858863
PFt,0.006897694270232346
AIP,0.005807370351953838
EC,0.005824718726228173
PreS,-0.008109366095814644
H,0.004351803648775305
ProS,-0.009073068357451121
PeEc,0.01093555118089408
STGa,0.005595955049479532
PBelt,0.007357927088927033
A5,0.008171009270242195
PHA1,0.0045475661855980875
PHA3,-0.0022113626926320417
STSda,0.0031209682438455787
STSdp,-0.004487137867540601
STSvp,0.0047793064577387025
TGd,0.006562405762985067
TE1a,0.008050235646925367
TE1p,-0.0021594761915945133
TE2a,-0.0032667267940128183
TF,0.003942638773666178
TE2p,-0.004363753729097789
PHT,-0.001554981519571927
PH,-0.0008601028761865987
TPOJ1,-0.0023105506832135814
TPOJ2,0.0029998871586890785
TPOJ3,0.0043066598435253425
DVT,-0.0024107224300841438
PGp,0.003809422085818117
IP2,0.006531345925569103
IP1,0.005690156674597668
IP0,3.6197613957623184e-05
PFop,0.008475709794711501
PF,0.007980950957107701
PFm,0.0062384032385405285
PGi,0.005069248836015209
PGs,0.007887496051270962
V6A,0.0028115891246013568
VMV1,-0.008405500008587263
VMV3,-0.011969150410134992
PHA2,0.0009099835897270174
V4t,-0.0018125133905461206
FST,-0.0017259355113873136
V3CD,0.0012900497500886214
LO3,0.001267561182169051
VMV2,-0.010672688834078807
31pd,-0.00421848242747706
31a,0.000495480797752071
VVC,-0.006965207466434009
25,-0.00827308466747132
s32,0.00036564947327937447
pOFC,-0.0011425421377553211
PoI1,0.008677789579072467
Ig,0.0017493234355257566
FOP5,-0.005344339140297826
p10p,-0.0007006172379842686
p47r,0.004310195043601319
TGv,0.0078120047465780156
MBelt,-0.0022951036050052236
LBelt,0.0017906327980547667
A4,0.009278636420906318
STSva,0.0035409663414829587
TE1m,-0.0020827317469978
PI,-0.00048284879467046823
a32pr,-0.00674022058195113
p24,-0.0032436416344044992
