region,msd_li
V1,-0.004608896201503585
MST,0.006435883960888046
V6,-0.016422615448887734
V2,-0.006150720364634888
V3,-0.0037785397804699153
V4,0.0038232585496286242
V8,-0.009798150360384854
4,0.008195864415685
3b,-0.008105843599844302
FEF,0.013954452785471692
PEF,0.012427490777052822
55b,0.02209639637376573
V3A,0.011786790148655779
RSC,-0.0353976305127401
POS2,0.0019406625631533856
V7,0.03771651867476901
IPS1,0.03846026972138906
FFC,0.023990136524803495
V3B,0.0022471564791547776
LO1,-0.0012359364670354348
LO2,0.00642896676160819
PIT,0.009370189596458196
MT,0.009437439771128988
A1,-0.011084907905656733
PSL,0.01200617793435895
SFL,-0.008902146809794578
PCV,-0.02640585460928678
STV,0.008423090333834288
7Pm,-0.022277885779900326
7m,-0.03054744973100705
POS1,-0.0032183613082821176
23d,-0.04417414158915982
v23ab,-0.028373391311888096
d23ab,-0.0333655580628168
31pv,-0.021380654774351828
5m,-0.019224628516799302
5mv,-0.03700467649013182
23c,-0.0014904570585621139
5L,-0.014079175065968294
24dd,-0.036632610978295115
24dv,-0.038902126307136804
7AL,0.013118570025297184
SCEF,-0.043869902116998656
6ma,0.016157733884743408
7Am,-0.015313420372091565
7Pl,0.006571869821942659
7PC,0.02498825906490519
LIPv,0.028582033307585145
VIP,0.014955158102881833
MIP,0.02301376209319307
1,0.019561968891815523
2,0.031267661211641096
3a,0.014510584811825778
6d,0.00785200386323495
6mp,0.00023649946805616085
6v,0.010913510820816584
p24pr,-0.03912460703832298
33pr,-0.05978988619701677
a24pr,-0.0368685785937685
p32pr,-0.049527567696973446
a24,-0.029188310252503343
d32,-0.0500072596046804
8BM,-0.059883516554053294
p32,-0.03439673027513528
10r,-0.03692242587932334
47m,0.014548405260022313
8Av,0.02222596953371079
8Ad,0.023368859166056234
9m,-0.049389554210354916
8BL,0.005142563773193969
9p,0.017328459120754182
10d,-0.015302936258429413
8C,0.025058793452618137
44,0.01739309072545523
45,0.010371435237754606
47l,0.01743987189839093
a47r,0.012728284751989652
6r,0.007534570646132772
IFJa,0.004113457694579859
IFJp,0.007577999906180459
IFSp,0.0019521566090969712
IFSa,0.0008935926465058278
p9-46v,0.015623955724827112
46,0.003549676142216068
a9-46v,0.008310872407405545
9-46d,0.005151502209065659
9a,0.015080845654369582
10v,-0.027536727129205876
a10p,0.012427036865093867
10pp,0.009720722983027548
11l,0.02583463201943461
13l,0.007030599926682068
OFC,0.009860133562079314
47s,0.01784607586985522
LIPd,0.030511723678498054
6a,0.025569861088413543
i6-8,0.009572641156502588
s6-8,0.03458387031794297
43,0.02598867019214628
OP4,0.007823534657158852
OP1,-0.005784941607666868
OP2-3,-0.004165778558334323
52,0.00023412094554215625
RI,-0.0006918716519043374
PFcm,0.015055389723248028
PoI2,0.03700179497022785
TA2,-0.0243171261175773
FOP4,-0.013510687938756186
MI,0.026789736344835932
Pir,0.012614293020603955
AVI,0.028169381354929014
AAIC,0.031624921896016685
FOP1,-0.0051320900784943314
FOP3,0.007064786634079409
FOP2,-0.021395115111191035
PFt,0.009551942555228576
AIP,0.024210594921609013
EC,0.0027587923500117994
PreS,-0.0056941893171415835
H,0.011958516704967385
ProS,-0.01921840178672647
PeEc,0.023226220786274815
STGa,0.026153530710918384
PBelt,-0.01428143959685105
A5,0.04992424405637325
PHA1,0.010571385841397453
PHA3,0.0018831292316846048
STSda,0.06151525926148415
STSdp,0.027611483338112437
STSvp,0.0029196740562794058
TGd,0.00720074779331649
TE1a,0.021592010145668063
TE1p,0.011939115793577168
TE2a,0.0065373477056013644
TF,0.015464902484247488
TE2p,0.0006777382331209366
PHT,0.008981348028825753
PH,0.01168965923635267
TPOJ1,0.007242439455473834
TPOJ2,0.003313118394796068
TPOJ3,0.013892541076091095
DVT,-0.0268502662497489
PGp,0.019099766278266865
IP2,-0.004169746478312537
IP1,-0.003037510413284348
IP0,-0.03889172325501119
PFop,0.025113084881307153
PF,0.032129964398533044
PFm,0.016366623967507786
PGi,0.014464667561438617
PGs,0.022245499314655193
V6A,0.0019225217197357774
VMV1,0.012515576250284932
VMV3,-0.016147847913745746
PHA2,0.027217536852973935
V4t,0.00740152938481779
FST,0.006795194907534046
V3CD,0.004019013165342739
LO3,0.0018851285167970687
VMV2,0.004999101374765304
31pd,-0.03414865815200177
31a,-0.029406417312911
VVC,0.005669177146485827
25,-0.005544160821787221
s32,-0.014985797134683438
pOFC,0.0035533591164775826
PoI1,0.03442929703141449
Ig,0.024438477177192674
FOP5,-0.008747544750053729
p10p,0.022504364621023825
p47r,0.019268198808468112
TGv,0.0032447196718977086
MBelt,-0.021618390467930088
LBelt,-0.011704206017400378
A4,0.006934333169873477
STSva,0.017605364515539797
TE1m,0.019350140429118028
PI,-0.024580618361391905
a32pr,-0.04878173794867657
p24,-0.03431314736328928
