region,myl_li
V1,-0.029156698420583386
MST,-0.036280773500647116
V6,-0.034480715886344854
V2,-0.029307541532582776
V3,-0.026749754274842916
V4,-0.03107478243810894
V8,-0.03761298233659404
4,0.004040009022294672
3b,0.002610606866737599
FEF,0.022091527245393337
PEF,0.03082005428561127
55b,0.027244406266078082
V3A,-0.026499830044103452
RSC,-0.016676188765682096
POS2,-0.02682149034536374
V7,-0.025325906796169508
IPS1,-0.028196992663672822
FFC,-0.03537574732173547
V3B,-0.035081019705031656
LO1,-0.033009807913724765
LO2,-0.031070434375305774
PIT,-0.032565814930383005
MT,-0.0310174840778831
A1,0.01106479411145701
PSL,-0.0002958537656092023
SFL,0.01030464958471942
PCV,-0.0183744017959602
STV,-0.018140499678322097
7Pm,-0.0179262695604438
7m,-0.017320252238875476
POS1,-0.030095335926948547
23d,-0.00692384212115272
v23ab,-0.025576784084920427
d23ab,-0.008043715075794636
31pv,-0.02044383903351095
5m,-0.010622346605545714
5mv,-0.018197415858950922
23c,-0.012958800071076195
5L,-0.016880924820621476
24dd,-0.005154139079082923
24dv,-0.0051896122117894815
7AL,-0.018476297008524822
SCEF,0.006653614843256962
6ma,0.007783147948849898
7Am,-0.019084648586673993
7Pl,-0.02245116109522195
7PC,-0.012188770395769995
LIPv,-0.02187617309257986
VIP,-0.022319128692292745
MIP,-0.026089761187334637
1,0.0006655066722248334
2,-0.006114183179040237
3a,0.0029682965803179383
6d,0.011357273732191862
6mp,0.0014173119112527533
6v,0.03930244507407014
p24pr,-0.0030105580364214618
33pr,0.0016989039276712832
a24pr,0.003946004471717959
p32pr,0.008695227370645401
a24,0.01894391136516614
d32,0.020507813723771594
8BM,0.014665534761874974
p32,0.02594420729369661
10r,0.02295456387172789
47m,0.015522552879550146
8Av,0.02727058382867304
8Ad,0.023669148878872098
9m,0.02208578428521532
8BL,0.017687522065427383
9p,0.029341206489762447
10d,0.027818164674401454
8C,0.03307269078936619
44,0.03813445109115797
45,0.04377910458828166
47l,0.031631236393521917
a47r,0.03566496373228403
6r,0.03936278272608606
IFJa,0.03201016569429787
IFJp,0.026320348582709836
IFSp,0.04024287306707564
IFSa,0.048741000862464516
p9-46v,0.040943559002725484
46,0.03601121779516282
a9-46v,0.044875494197479326
9-46d,0.03955449377210682
9a,0.03334824828738642
10v,0.014076009612818326
a10p,0.03959161768555818
10pp,0.023613776645914093
11l,0.02922549523178766
13l,0.022043424824693278
OFC,0.024911030370636807
47s,0.00852296015283331
LIPd,-0.018203315345665556
6a,0.012020632533862222
i6-8,0.02262165192551246
s6-8,0.01936269554366649
43,0.034514352397843805
OP4,0.020292055935167957
OP1,0.0049540707942805655
OP2-3,0.010427174982890466
52,0.0014478322200518906
RI,0.00031587149276412314
PFcm,-0.0019346849575281638
PoI2,0.010560394718064144
TA2,0.0325021574804941
FOP4,0.029196900142207837
MI,0.019698563792039003
Pir,0.022237782923721167
AVI,0.015306113321658397
AAIC,0.022278919532050745
FOP1,0.03716614549752988
FOP3,0.024400678706701744
FOP2,0.022516218646996357
PFt,0.008081612547636204
AIP,-0.009709983814346486
EC,0.0020878264399413517
PreS,-0.012853757409886361
H,0.0012891275716127822
ProS,-0.02920587202349779
PeEc,0.006522267065608435
STGa,0.04198037451157094
PBelt,0.01988742393530682
A5,0.013148894410160941
PHA1,-0.014060084663130662
PHA3,-0.021481387534409042
STSda,0.03664013747226945
STSdp,-0.0035890269409429012
STSvp,0.007554366893250098
TGd,0.02215588955447824
TE1a,0.04446952851653379
TE1p,-0.01648136074783448
TE2a,0.02409759099807165
TF,0.0021731406342168267
TE2p,-0.028391137337663224
PHT,-0.028209186695215265
PH,-0.03655797538304315
TPOJ1,-0.015604332783666843
TPOJ2,-0.026607110044198277
TPOJ3,-0.034312665727538834
DVT,-0.03730671520980594
PGp,-0.034012846739160905
IP2,-0.012517115266755661
IP1,-0.028211836877506516
IP0,-0.037230400288283366
PFop,0.014035603651579083
PF,-0.0030753886431783835
PFm,-0.021825377252738087
PGi,-0.025825589757967116
PGs,-0.03493461142254716
V6A,-0.027760498375937727
VMV1,-0.043496248453197946
VMV3,-0.040724181933318976
PHA2,-0.016211675514697613
V4t,-0.035184470204549526
FST,-0.03741158262129725
V3CD,-0.0369098620971431
LO3,-0.034679540774474056
VMV2,-0.03380793773610345
31pd,-0.023901229725544443
31a,-0.020342163506680794
VVC,-0.0303964850253465
25,0.0036729656815970746
s32,0.02133791281700373
pOFC,-0.0045399101989532535
PoI1,0.013533547876781937
Ig,0.013074821120509152
FOP5,0.030821496858133717
p10p,0.03446948782899834
p47r,0.049395323756399934
TGv,0.01903875790872568
MBelt,0.007246760488132348
LBelt,0.014507310672124511
A4,0.01981729327123406
STSva,0.03282726430120743
TE1m,0.021683143576362376
PI,0.0345647786927423
a32pr,0.017557583961662057
p24,0.014643400357820972
