region,rd_li
V1,-0.007961443294715063
MST,0.005899223523656168
V6,-0.018463369659145853
V2,-0.009035176066657196
V3,-0.005197205036444044
V4,0.001335226735305767
V8,-0.011384480118413644
4,0.01212832389302324
3b,-0.02056477370087927
FEF,0.010179454044853594
PEF,0.010431203371206397
55b,0.015808346121499423
V3A,0.014413659617758057
RSC,-0.027742555023747995
POS2,0.00033839187220947354
V7,0.039324858630250925
IPS1,0.037787195408662724
FFC,0.018948895655033795
V3B,0.00508522934854328
LO1,-0.0039042423648319373
LO2,-0.0013449953742433885
PIT,0.003188637038032781
MT,0.006429282430964596
A1,-0.004529030456989524
PSL,0.012314796702975235
SFL,-0.008556013004791039
PCV,-0.021373091513162135
STV,0.007852058035701395
7Pm,-0.01976165738844991
7m,-0.025750059537396917
POS1,-0.00470705006141122
23d,-0.027653560092297382
v23ab,-0.02034717931673135
d23ab,-0.02317933070938429
31pv,-0.016668165465311035
5m,-0.0244944291199374
5mv,-0.026631569865489712
23c,0.0015705162198349175
5L,-0.013525350300721712
24dd,-0.029615745209717426
24dv,-0.0262841078503077
7AL,0.010265181902379452
SCEF,-0.03637827471798492
6ma,0.014686858305937796
7Am,-0.013841836578832433
7Pl,0.0028080474909491547
7PC,0.01835095438214197
LIPv,0.023176224865370545
VIP,0.009062490709637433
MIP,0.019816688096081888
1,0.01153751762810499
2,0.027394932468378493
3a,0.018582339056648144
6d,0.004847732628308536
6mp,2.9566033671568823e-05
6v,0.007051432155098807
p24pr,-0.02729975680583517
33pr,-0.03532118359625694
a24pr,-0.027097322870211642
p32pr,-0.03682197372458423
a24,-0.021945298523656998
d32,-0.03738125894896773
8BM,-0.05195971760611879
p32,-0.026452445584860877
10r,-0.03021604567180531
47m,0.011931274716685649
8Av,0.016651824539546903
8Ad,0.02025267040135972
9m,-0.042125676603183025
8BL,0.0028519962929360095
9p,0.01452877141369163
10d,-0.011968878165006443
8C,0.017261084264462056
44,0.014522486590144377
45,0.007455929757081799
47l,0.017718239868835816
a47r,0.008145736069504306
6r,0.009055069742273552
IFJa,0.0030470080928979588
IFJp,0.007416432186291309
IFSp,0.0041641834691376785
IFSa,4.558411448769572e-05
p9-46v,0.007235463841160627
46,-0.0008616150063973473
a9-46v,0.005411175142638879
9-46d,0.0006510873267329735
9a,0.011437203989166415
10v,-0.02762591323767265
a10p,0.00966139357927966
10pp,0.005780363123160244
11l,0.01883974864672909
13l,0.006455201931249172
OFC,0.01129649269420067
47s,0.018143785827314213
LIPd,0.026368581486307476
6a,0.020837140063295134
i6-8,0.0044753490295189055
s6-8,0.030064174207421236
43,0.020120299440345452
OP4,0.0036008003868349407
OP1,-0.008853302939647386
OP2-3,-0.00988471692680742
52,-0.0010016634019785814
RI,-0.009751093809250433
PFcm,0.007595835335895736
PoI2,0.03861429954671471
TA2,-0.02078538090097542
FOP4,-0.014590700669277848
MI,0.02705925554194362
Pir,0.0016518617646059145
AVI,0.023511678704720283
AAIC,0.024557495985673135
FOP1,-0.004937530632378302
FOP3,-1.977760332602688e-05
FOP2,-0.022324659000337126
PFt,0.007836570852332766
AIP,0.018977530937439032
EC,-0.0007406988292305433
PreS,-0.015415605107286274
H,0.01469166254629423
ProS,-0.015774786010584758
PeEc,0.021678111552226476
STGa,0.020014501430375017
PBelt,-0.007013229273276246
A5,0.03755359597791628
PHA1,0.006197031274836338
PHA3,0.0013844380514957616
STSda,0.045520916781909115
STSdp,0.015711076674692417
STSvp,0.0035353421244706923
TGd,0.006369494450760583
TE1a,0.016155585337421747
TE1p,0.0026839288150346326
TE2a,-0.002252236496859531
TF,0.011439746018277205
TE2p,-0.0035437522959665744
PHT,0.0038780175147460298
PH,0.007832372060499738
TPOJ1,0.0016497797358387004
TPOJ2,0.0039038546732120395
TPOJ3,0.01192118604666433
DVT,-0.023377038784220358
PGp,0.011795847185071701
IP2,-0.0012782061931042828
IP1,-0.0028243493962225204
IP0,-0.031602302364596886
PFop,0.021287210693592122
PF,0.02379191175984325
PFm,0.012858671602437106
PGi,0.009851069663273536
PGs,0.017265797370811114
V6A,0.0004199907971093493
VMV1,0.003409100639157505
VMV3,-0.01643790952582197
PHA2,0.01985007022873656
V4t,0.0006049061087455741
FST,0.0035606741990969843
V3CD,0.0006187824149034267
LO3,-0.0014266164127557204
VMV2,0.0009646422005322698
31pd,-0.027749375801508804
31a,-0.01891423449343637
VVC,0.0020244885263309615
25,0.002040495796639673
s32,-0.005351615931516742
pOFC,0.006666143878852316
PoI1,0.031414178027095
Ig,0.019882949798811323
FOP5,-0.008889222683559067
p10p,0.01974661056952007
p47r,0.017939131119115263
TGv,0.0020775175406170404
MBelt,-0.023010966366974524
LBelt,-0.009051162446336433
A4,0.008678715858441856
STSva,0.013685413782880152
TE1m,0.008210590668068318
PI,-0.016799807794430938
a32pr,-0.037298629421928235
p24,-0.022750881076678456
