region,fa_li
V1,0.01326726778821744
MST,-0.00579797161456025
V6,0.018076903966865617
V2,0.009682890646467934
V3,0.01051707277996496
V4,0.009296967792532099
V8,0.023961742059652062
4,-0.01595664777315928
3b,0.027331971270956955
FEF,-0.006465237113910318
PEF,-0.007068124033142677
55b,-0.00306142052320891
V3A,-0.017889399806392633
RSC,0.014341729046361683
POS2,0.012115926549370293
V7,-0.03182613275420678
IPS1,-0.030201782629038842
FFC,-0.005834888804373205
V3B,0.0030649277526443755
LO1,0.010860785336974326
LO2,0.009830174381236916
PIT,0.0038262147813148233
MT,-0.00047613856773790663
A1,0.01296295084699589
PSL,-0.017602696140454326
SFL,0.005656716427600822
PCV,0.018368117180460986
STV,0.0005993519333372149
7Pm,0.024712908831722995
7m,0.02262196447949334
POS1,0.005810978450591697
23d,-9.966824336162917e-05
v23ab,0.011680158034944727
d23ab,0.01146462979407703
31pv,0.018285498559740418
5m,0.017403944935053577
5mv,-0.0022747374327532228
23c,-0.0027718958186375773
5L,0.010374145896472092
24dd,0.022375643296403198
24dv,0.019336283021369822
7AL,0.004161222498432873
SCEF,0.032082691823200206
6ma,-0.0053197920744978856
7Am,0.017827648368980445
7Pl,0.014732316667135243
7PC,-0.004857780647942739
LIPv,-0.006184306108225164
VIP,0.005721372263099757
MIP,-0.014778151107824414
1,0.009455849850617993
2,-0.0018536832544980883
3a,-0.024800184661195913
6d,-0.00027502436514072073
6mp,0.003674423616596494
6v,0.00840901086895382
p24pr,0.008320756082074207
33pr,0.0025977294274899835
a24pr,-0.009064789623664658
p32pr,0.03526062823155799
a24,0.02201873968872807
d32,0.026831845423120337
8BM,0.04212166443896595
p32,0.03133008999616657
10r,0.03424669405069875
47m,0.005971944168527962
8Av,-0.002813212220427045
8Ad,-0.00629941992672144
9m,0.03567378736451735
8BL,0.004451189122555743
9p,0.00026181000357040175
10d,0.014747448266392186
8C,0.0005107658852726602
44,-0.006098486115227671
45,0.004870234723301301
47l,-0.011083193098790195
a47r,0.01590418327726023
6r,-0.008561152041478589
IFJa,-0.0011687292661914472
IFJp,-0.013411429269768075
IFSp,0.0012482784385130128
IFSa,0.0014642336450663078
p9-46v,0.016370635149210732
46,0.023432713775998686
a9-46v,0.008782763711956517
9-46d,0.012664648275172505
9a,-0.0021765144584796
10v,0.022254247971118614
a10p,-0.007647988889228581
10pp,-0.0034823849174645052
11l,-0.006534210605332243
13l,-0.019597301138225876
OFC,-0.004496929761060278
47s,-0.017267535804474977
LIPd,-0.017440843615020775
6a,-0.010109067196654397
i6-8,0.0006628199090007739
s6-8,-0.011885539346069535
43,0.004878524617775693
OP4,0.006333215391927463
OP1,0.00859159457182846
OP2-3,0.02266486474349951
52,0.011560127098352123
RI,0.02109406885223429
PFcm,0.0018281684607284164
PoI2,-0.035111880347072716
TA2,0.03308221679747624
FOP4,0.0256211700265233
MI,-0.024741812534602857
Pir,0.01740022875891517
AVI,-0.013450620081917218
AAIC,-0.00496874845672161
FOP1,0.007600605217668068
FOP3,0.012700387547533066
FOP2,0.019942134870201238
PFt,0.004155497214620673
AIP,0.0005287007432710785
EC,0.007936806366965227
PreS,0.016250181804178775
H,-0.014170890038713226
ProS,0.012776471152725961
PeEc,-0.01081679299385941
STGa,-0.0015376669448630364
PBelt,-0.010839424631681123
A5,-0.0005982308325130183
PHA1,-0.0008514140349643524
PHA3,0.018784789012807186
STSda,-0.01191511142906914
STSdp,0.003708810520801232
STSvp,-0.02161527552318641
TGd,-0.002503058613453677
TE1a,-0.013981140509243699
TE1p,0.009308866876532389
TE2a,0.00893363749115995
TF,0.0033162161952775024
TE2p,0.01164911239137008
PHT,0.006705159275181041
PH,-0.007786401642547912
TPOJ1,0.004917989784537084
TPOJ2,-0.01018382796502701
TPOJ3,-0.013125869358865824
DVT,0.01724550483016256
PGp,0.002634495400145937
IP2,0.000990899384208566
IP1,-0.002025508390614172
IP0,0.02113444497987696
PFop,-0.013151471382481957
PF,-0.002874506725707576
PFm,-0.004706104297735928
PGi,-0.004933650469279324
PGs,-0.00947822260829751
V6A,-0.0016726474090161788
VMV1,0.005242577034958843
VMV3,0.023577921842681954
PHA2,0.017512555302211765
V4t,0.008896390342990052
FST,-0.0022028907138808874
V3CD,0.012308954494302806
LO3,0.0030451101746869973
VMV2,0.014441560305322586
31pd,0.032954441872512015
31a,0.010231415661882664
VVC,0.01193559453675735
25,-0.026629785813930426
s32,-0.00936333916711174
pOFC,-0.023868378341336947
PoI1,-0.0287201796568785
Ig,-0.02515876530872786
FOP5,0.0016709122422699167
p10p,0.0007266321342237258
p47r,-0.013185647516058906
TGv,-0.008021010501726633
MBelt,0.03573168093946581
LBelt,0.013016443577407364
A4,-0.009056683919816167
STSva,-0.014051847432658613
TE1m,0.0041143305137184925
PI,0.030426496897652814
a32pr,0.03980942152954374
p24,-0.007453476327999453
