region,dki-md_li
V1,-0.0030261331664998437
MST,0.0004985943296759804
V6,0.002637095710027572
V2,-0.00348769039103084
V3,-0.00031551147208799677
V4,-0.0005854223104412022
V8,-0.003479894696317252
4,0.004824279485266321
3b,0.003195867470076284
FEF,0.005254893148771788
PEF,0.0014759736796866039
55b,0.0031289140512558225
V3A,0.00458946238915542
RSC,-0.008741535360112357
POS2,0.003852789830745913
V7,0.006858159921988617
IPS1,0.009477217913877452
FFC,0.0003592504568783456
V3B,0.006924296223021078
LO1,0.0026867625362010806
LO2,-0.0006796731320132769
PIT,0.00027121728384829516
MT,0.00014880989442563722
A1,0.0023926448104999976
PSL,0.009248371640168354
SFL,-0.005598849770363697
PCV,-0.0010599237406442826
STV,0.004111813137550678
7Pm,0.0010391236957394898
7m,-0.001846365418313462
POS1,-0.00333794091209873
23d,-0.0026089458256920955
v23ab,-0.0028456004515482677
d23ab,-0.002635545783813101
31pv,-0.0019005603995071918
5m,-0.002667149120508086
5mv,0.002474295066255731
23c,0.0005090164154768178
5L,0.0020261403983188736
24dd,-0.0038927002372804256
24dv,-0.0013881160401682802
7AL,0.0059954372676783154
SCEF,-0.006473011436551054
6ma,-0.0009197039108423743
7Am,0.002724296477786458
7Pl,0.004239317244280926
7PC,0.005655100141312621
LIPv,0.004855477823093626
VIP,0.0037447300908362425
MIP,0.006805462671424613
1,0.001253477788455138
2,0.005847132642948848
3a,0.006918872866210356
6d,0.0007548852604614431
6mp,-0.0008337880312751543
6v,0.002536542240400604
p24pr,-0.003526355351847568
33pr,-0.0038409076765548553
a24pr,-0.004216260955021754
p32pr,-0.0033661544707806897
a24,-0.006822264270586653
d32,-0.010693042923273737
8BM,-0.013918418283605412
p32,-0.010494918954790237
10r,-0.010585973291110055
47m,0.0016639666856851573
8Av,0.0007433557220520486
8Ad,0.0029008160707769425
9m,-0.017810909081468422
8BL,-0.006290748455491471
9p,-0.0010387305700731262
10d,-0.008261178331634434
8C,0.0007879497114044952
44,0.0011653950591866864
45,0.0020931447683923033
47l,0.006140679660887846
a47r,-0.0023598106445665676
6r,0.0018917801157542716
IFJa,-0.0007009177487818912
IFJp,0.001016278314950116
IFSp,-0.0006004354567546731
IFSa,-0.005280095167545234
p9-46v,-0.002233675150868999
46,-0.005041452547876195
a9-46v,-0.0016152598133564661
9-46d,-0.0038269162108327506
9a,-0.0035503853418696212
10v,-0.013335009573056701
a10p,-0.002110895676975114
10pp,0.0029730517435612815
11l,0.0010559986980450675
13l,-1.0232348654575816e-05
OFC,-0.009835122504333126
47s,0.007884669614061477
LIPd,0.00879337249953171
6a,0.0027067967916936165
i6-8,0.0015762355176202367
s6-8,0.0029637214393442675
43,0.0048334926449457565
OP4,0.0012511208882811842
OP1,-0.0026697288532956465
OP2-3,-0.004890516018322732
52,0.00110706587914705
RI,-0.0035251576738940635
PFcm,0.0038397887238524626
PoI2,0.007470323705685165
TA2,-0.0036527618542075654
FOP4,-0.007434009181006651
MI,0.003919605555432893
Pir,0.004359563653803457
AVI,0.002082077414659395
AAIC,0.0035794364508217207
FOP1,-0.004383237581810961
FOP3,-0.005708667640404333
FOP2,-0.007395665740799882
PFt,0.008463683329925439
AIP,0.007941938357882329
EC,0.006585992449269466
PreS,-0.003326904536386531
H,0.004084436698004295
ProS,-0.009305255086662578
PeEc,0.010748525476640845
STGa,0.006921467790264925
PBelt,0.005744889851783775
A5,0.010273583157396241
PHA1,0.005375918318066223
PHA3,-0.0006488120609002641
STSda,0.005061334589146934
STSdp,-0.003058741324809304
STSvp,0.0022205563842039922
TGd,0.006782032238402771
TE1a,0.006474141680975276
TE1p,-0.0013875520761977675
TE2a,-0.002893896325080501
TF,0.004511176456200144
TE2p,-0.0035340298985787537
PHT,-0.00056671703998428
PH,-0.0010401835651873807
TPOJ1,-0.0015080599340007357
TPOJ2,0.002608086355703768
TPOJ3,0.004880356629045724
DVT,-0.000533474252822291
PGp,0.0061165393982628
IP2,0.009155892861636754
IP1,0.007641094631102741
IP0,0.0035874095359564257
PFop,0.008069829251528804
PF,0.009508616200140905
PFm,0.007434314873421501
PGi,0.005601712499980311
PGs,0.008769695485099075
V6A,0.0024415321212054764
VMV1,-0.006517969381022171
VMV3,-0.010561956386754426
PHA2,0.004630846076882229
V4t,-0.0006611711599805937
FST,-0.0013968866610182173
V3CD,0.0038547498773706247
LO3,0.002398165863257507
VMV2,-0.008844672927940432
31pd,-0.001416951704451477
31a,0.0006731325548667168
VVC,-0.005272745484435384
25,-0.010990011809193774
s32,-0.0038386427177417312
pOFC,-0.005603599099850281
PoI1,0.006492005406607293
Ig,0.0005036625879618898
FOP5,-0.0066998758001482455
p10p,0.0007160715477999547
p47r,0.0020553909162944056
TGv,0.006825859759288898
MBelt,-0.00030873327054784124
LBelt,0.002645975699396941
A4,0.0075794687318850446
STSva,0.0021044277870529587
TE1m,-0.0015949072292993634
PI,-0.0005671643532284184
a32pr,-0.006035968564970133
p24,-0.007176650500922087
