region,mkt_li
V1,0.0007974374140807301
MST,0.011354338718238969
V6,-0.012716616244477372
V2,0.0009889423607700384
V3,0.008650541455191018
V4,0.01529323960539946
V8,0.0027927882796316807
4,0.0017609218906351697
3b,-0.02208601219652625
FEF,-0.005617645374026152
PEF,-0.010927380305918494
55b,0.0035440256048708246
V3A,0.015481985342174123
RSC,-0.006158186731281173
POS2,0.00497465023988799
V7,0.04167859224489303
IPS1,0.03908617152077691
FFC,-0.005425144730785705
V3B,0.013794692117392208
LO1,0.008593061284109098
LO2,0.012588930006209908
PIT,0.013423375902960381
MT,0.020160483602923992
A1,0.009095730552262773
PSL,0.021399021014949216
SFL,-0.010651109335957285
PCV,-0.01650234999912743
STV,0.009280105390355332
7Pm,-0.011294144271312572
7m,-0.012862791058765618
POS1,0.006992383286093258
23d,-0.008540434674400943
v23ab,-0.013274003573317145
d23ab,-0.00035051555214014375
31pv,-0.00904557249255183
5m,-0.011588407757403517
5mv,-0.032047142974533885
23c,-0.009914825591183106
5L,-0.01356934852108736
24dd,-0.016586448965585702
24dv,-0.022769801690637567
7AL,0.018673080983043377
SCEF,-0.02594060600830799
6ma,0.00022113449672375813
7Am,-0.009088840465938736
7Pl,0.016917537987600845
7PC,0.02776678172064947
LIPv,0.03481992534028023
VIP,0.024944576331659092
MIP,0.02944763114429472
1,0.012480644357071942
2,0.022472859035717056
3a,-0.0040007534765550586
6d,-0.0021894471131412596
6mp,-0.001992993153796508
6v,-0.0013588387053228225
p24pr,-0.00937696165725497
33pr,-0.012160372628254167
a24pr,-0.017975736123878646
p32pr,-0.02401465487040022
a24,-0.00794756827645753
d32,-0.035336671992724146
8BM,-0.03615610628812923
p32,-0.019538084662493578
10r,-0.013157480386967266
47m,-0.016121218529711556
8Av,-0.009219013980383049
8Ad,-0.007399719542163262
9m,-0.036390524622348375
8BL,-0.0037871948544844956
9p,-0.0015948924041398083
10d,-0.01950519449002275
8C,-0.0008669949050918659
44,-0.0034465602879846314
45,0.00627789965033405
47l,-0.0007949688851317157
a47r,-0.014004097416900133
6r,-0.010305512260290969
IFJa,-0.00977751913635619
IFJp,-0.01052984583652265
IFSp,-0.014225764010517556
IFSa,-0.01132364289859498
p9-46v,-0.007876399711398719
46,-0.024274971998204227
a9-46v,-0.017181649172413216
9-46d,-0.01325115105136331
9a,-0.0038289620807738013
10v,0.006920663770404053
a10p,-0.018454075554222914
10pp,-0.007892268469755902
11l,-0.007924970145724089
13l,-0.012394284447746576
OFC,0.008813869092069387
47s,-0.007077883840853503
LIPd,0.037219486577245095
6a,0.002253856439134759
i6-8,-0.01255983909705123
s6-8,0.0033236992608161216
43,0.006053944415836304
OP4,0.008156478610852969
OP1,0.0065342939955355585
OP2-3,0.013246486827460663
52,-0.002332055951573521
RI,0.026096980605318735
PFcm,0.021414692570881824
PoI2,0.0004489659989050209
TA2,-0.010574764203470593
FOP4,-0.009123007428426467
MI,-0.0013766197019560915
Pir,0.0022460728682881176
AVI,-0.0013111734169936006
AAIC,0.007611650720748748
FOP1,-0.009818202864431844
FOP3,-0.00123773699321467
FOP2,-0.003104729567858127
PFt,0.0018716960935654641
AIP,0.0211679065660143
EC,0.0007678690656642082
PreS,0.004383828791549548
H,0.004439997546621736
ProS,-0.004175043406153537
PeEc,0.003338524269724318
STGa,-0.00023795606054816628
PBelt,0.004308476718012086
A5,0.018558312963112732
PHA1,0.0018720581156814065
PHA3,0.0016805864435120805
STSda,0.015036831482214906
STSdp,0.011226061681556527
STSvp,0.00526633248933141
TGd,-0.003553489080230891
TE1a,0.00625123228259205
TE1p,0.006934980553133904
TE2a,0.0007350999824846062
TF,9.241142948628454e-05
TE2p,-0.007341517847839449
PHT,0.006715486202886926
PH,0.0011524127181889545
TPOJ1,0.019633831790763463
TPOJ2,0.007944032429966746
TPOJ3,0.015150423180690768
DVT,-0.016395580930337387
PGp,0.02061366806419828
IP2,-0.0019406622012042255
IP1,0.007651247368419833
IP0,-0.01756476396417753
PFop,0.010832170764398312
PF,0.020642585128596302
PFm,0.010844127517601361
PGi,0.01881329609699282
PGs,0.021177666717508672
V6A,0.003089684265519672
VMV1,0.0025793730450291417
VMV3,-0.006893727131321958
PHA2,0.0016055929025020103
V4t,0.011762290459711491
FST,0.005429314524398628
V3CD,0.02000959280410378
LO3,0.009076627731086109
VMV2,0.0063026102234611915
31pd,-0.014572567198735956
31a,-0.01739158706635631
VVC,-0.002733756642624801
25,0.011328422918382906
s32,-0.0027807546017780097
pOFC,-0.001221801741491645
PoI1,0.0012146572297990245
Ig,0.012326136386763933
FOP5,-0.004371129435623694
p10p,-0.00532264646269715
p47r,-0.00686494858953713
TGv,0.0032531252731750914
MBelt,-0.007624748600986388
LBelt,0.021503870885368443
A4,0.01367648735285173
STSva,-0.0020694407851126746
TE1m,0.007203158420759929
PI,0.004551634815321593
a32pr,-0.02689410398260673
p24,-0.020648143224493584
