region,rtpp_li
V1,0.002383048486848457
MST,-0.0020656503623234204
V6,0.007477247752202268
V2,0.002992262860701618
V3,0.0023744763040081285
V4,-0.0005511823045407774
V8,0.0035684602483557763
4,-0.004899114974359436
3b,0.006063448272948383
FEF,-0.0071065851581927336
PEF,-0.00803240744772259
55b,-0.01011174565419466
V3A,-0.0042635474531512495
RSC,0.011860626392526621
POS2,-0.0014197688943766
V7,-0.013617973242297465
IPS1,-0.01350996167714173
FFC,-0.008057670751406515
V3B,-0.0010477504440458082
LO1,0.001004371378873666
LO2,3.586419615090629e-05
PIT,-0.0013263417053341162
MT,-0.0022040833061729606
A1,-0.0030362213584263077
PSL,-0.0030893723741896527
SFL,0.0048061968215180485
PCV,0.00985845867670819
STV,-0.0033806840252134664
7Pm,0.007785581280516398
7m,0.00995208638056052
POS1,0.001546438209375567
23d,0.013234870968768417
v23ab,0.0062129596668779475
d23ab,0.008450893769167083
31pv,0.00668434796985825
5m,0.009830705760075444
5mv,0.013998000568480967
23c,0.0007520921509426577
5L,0.005525230523941663
24dd,0.013013974017345347
24dv,0.011922011470061724
7AL,-0.006392636199461673
SCEF,0.015499975290423688
6ma,-0.007891166515505204
7Am,0.005563692623745956
7Pl,-0.002838451151495185
7PC,-0.009682363995811575
LIPv,-0.011775093967230353
VIP,-0.006005915689256821
MIP,-0.007792229707375607
1,-0.006429048387589956
2,-0.013914108919137526
3a,-0.008537336166824576
6d,-0.003634721373247373
6mp,-0.0001583799293588527
6v,-0.006200068399115545
p24pr,0.013091612317808365
33pr,0.02079912533659876
a24pr,0.013055061337166655
p32pr,0.015072640099328707
a24,0.008270582326653278
d32,0.01462503154089757
8BM,0.021009792748302333
p32,0.009617525710392174
10r,0.010032103558050247
47m,-0.008386875100091225
8Av,-0.01094258985465186
8Ad,-0.010992345282218523
9m,0.016346703211362095
8BL,-0.0022279566605588005
9p,-0.008613684699612063
10d,0.003337119512410294
8C,-0.012612878719696276
44,-0.008903321417316487
45,-0.00576838651017994
47l,-0.010179032499557565
a47r,-0.007669600061628288
6r,-0.005470974010724735
IFJa,-0.004989256169766269
IFJp,-0.005168655107006991
IFSp,-0.00608373049527591
IFSa,-0.003214004375896505
p9-46v,-0.009253151643457433
46,-0.005335999446525363
a9-46v,-0.007063929352853136
9-46d,-0.004108025947023126
9a,-0.006885476922352848
10v,0.009475594662854345
a10p,-0.007850136211979017
10pp,-0.005247595311384573
11l,-0.010875292401466102
13l,-0.0028402524817642554
OFC,0.0002577975426367698
47s,-0.008264358688947059
LIPd,-0.010312605334428623
6a,-0.010795201501587874
i6-8,-0.004630174457278994
s6-8,-0.014353332764229594
43,-0.011100272184605455
OP4,-0.0028060362364613132
OP1,0.002654690779277476
OP2-3,0.0011007615008364353
52,-0.0012633187523677374
RI,0.004745201214167084
PFcm,-0.003911430394392804
PoI2,-0.014519214876554703
TA2,0.00571493952778862
FOP4,0.003547803783940585
MI,-0.010261805311825368
Pir,-0.0059996170647526985
AVI,-0.011794593805061454
AAIC,-0.014372352854054327
FOP1,0.0008678855265680335
FOP3,-0.002400323258265755
FOP2,0.006833426919271498
PFt,-0.0058110443808876465
AIP,-0.010138438102982436
EC,0.0005340506675494441
PreS,0.004126256087880019
H,-0.005586820635967452
ProS,0.005825267184351069
PeEc,-0.006822485530829889
STGa,-0.012243776255246716
PBelt,0.0011424644641382304
A5,-0.018814081829990614
PHA1,-0.0037435398146388964
PHA3,-0.0018691393645473714
STSda,-0.022409690134955456
STSdp,-0.009279169947016046
STSvp,0.0004867494095466759
TGd,-0.004940515314972101
TE1a,-0.007776745078245747
TE1p,-0.002941400267791906
TE2a,-0.001617893282033295
TF,-0.004705354886744537
TE2p,-0.0004834832263930628
PHT,-0.0020397047882801216
PH,-0.0029420698340229235
TPOJ1,-0.000995416069223124
TPOJ2,-0.0005146774660710526
TPOJ3,-0.005253340235931551
DVT,0.010973385249529288
PGp,-0.005756454127390147
IP2,0.0013558026555101443
IP1,0.0030366433501560963
IP0,0.01481439332561662
PFop,-0.010134123478036407
PF,-0.011844503898261914
PFm,-0.0053621832116505916
PGi,-0.0037022738142982055
PGs,-0.006889470790832734
V6A,0.0011685936069386535
VMV1,-0.0009375102932060942
VMV3,0.004386671555544088
PHA2,-0.010319965920519869
V4t,-0.000950428568608679
FST,-0.0013347838293245222
V3CD,-0.0011326424165366755
LO3,0.00047385856467255585
VMV2,-0.0003622036543719341
31pd,0.011483973139112917
31a,0.008077280188248256
VVC,-0.0011529853641008877
25,0.005966900673010661
s32,0.005172287377090295
pOFC,0.003182138037815772
PoI1,-0.012484360467109554
Ig,-0.007149663939799278
FOP5,0.002330634117140356
p10p,-0.012306958788860485
p47r,-0.010496739705876355
TGv,-0.00013697526498803134
MBelt,0.004272218529803707
LBelt,0.0016887954478612475
A4,-0.004114119184240988
STSva,-0.006545314473729495
TE1m,-0.005917619234106943
PI,0.005744266763986621
a32pr,0.013976450908924985
p24,0.01203899271709469
