region,isovf
lh.bankssts,0.0681332797762252
lh.caudalanteriorcingulate,0.0627121446895956
lh.caudalmiddlefrontal,0.0987608664946459
lh.cuneus,0.0909631854777186
lh.entorhinal,0.1553736968445117
lh.fusiform,0.0867725123098426
lh.inferiorparietal,0.0728049514445217
lh.inferiortemporal,0.0849879848425998
lh.isthmuscingulate,0.0697954264174968
lh.lateraloccipital,0.0743762743021229
lh.lateralorbitofrontal,0.1556852166611521
lh.lingual,0.0902948030673728
lh.medialorbitofrontal,0.1349109778255983
lh.middletemporal,0.0768977743959095
lh.parahippocampal,0.1188419870291235
lh.paracentral,0.066943728951386
lh.parsopercularis,0.0948688373152436
lh.parsorbitalis,0.1138562123675402
lh.parstriangularis,0.1089239792095029
lh.pericalcarine,0.0947243809051485
lh.postcentral,0.1141267026489771
lh.posteriorcingulate,0.0731886288543083
lh.precentral,0.1056012386371678
lh.precuneus,0.0660334483557315
lh.rostralanteriorcingulate,0.0743139195803865
lh.rostralmiddlefrontal,0.1076360299435023
lh.superiorfrontal,0.0812426083724779
lh.superiorparietal,0.1039345626409759
lh.superiortemporal,0.0975412793459234
lh.supramarginal,0.0827413541818151
lh.frontalpole,0.1327386415144515
lh.temporalpole,0.1380787993645867
lh.transversetemporal,0.1231679573700973
lh.insula,0.1172168713224606
rh.bankssts,0.0568658299748633
rh.caudalanteriorcingulate,0.1112096102927891
rh.caudalmiddlefrontal,0.0852763871457963
rh.cuneus,0.0995733207692446
rh.entorhinal,0.1425625869579339
rh.fusiform,0.0795734902256303
rh.inferiorparietal,0.0633047894487608
rh.inferiortemporal,0.093405182559088
rh.isthmuscingulate,0.1026811453008136
rh.lateraloccipital,0.0647815766250136
rh.lateralorbitofrontal,0.1433078995010773
rh.lingual,0.0971276303627701
rh.medialorbitofrontal,0.141572159252741
rh.middletemporal,0.0656747788719594
rh.parahippocampal,0.1103188973882575
rh.paracentral,0.1236141091911131
rh.parsopercularis,0.0927520210426676
rh.parsorbitalis,0.0955575084821302
rh.parstriangularis,0.1010022576176686
rh.pericalcarine,0.1027777367463001
rh.postcentral,0.106388112764124
rh.posteriorcingulate,0.1119429911986809
rh.precentral,0.0888102042165774
rh.precuneus,0.0942236949239202
rh.rostralanteriorcingulate,0.1110298047120953
rh.rostralmiddlefrontal,0.0992100758714571
rh.superiorfrontal,0.0994136288175126
rh.superiorparietal,0.0757410098234307
rh.superiortemporal,0.085109678449188
rh.supramarginal,0.0694417967827162
rh.frontalpole,0.1301229486592294
rh.temporalpole,0.1333317745954273
rh.transversetemporal,0.1444129430849981
rh.insula,0.0856618804293855
