region,dki-fa
lh.bankssts,0.1538641296257493
lh.caudalanteriorcingulate,0.1565430197790168
lh.caudalmiddlefrontal,0.1579546109192904
lh.cuneus,0.1448425142676055
lh.entorhinal,0.1784950016890605
lh.fusiform,0.1625767151266762
lh.inferiorparietal,0.1497459492478197
lh.inferiortemporal,0.1634603945512669
lh.isthmuscingulate,0.184108535295906
lh.lateraloccipital,0.151748181384657
lh.lateralorbitofrontal,0.168811588516446
lh.lingual,0.1613527594275809
lh.medialorbitofrontal,0.1672358142767842
lh.middletemporal,0.1545687530347908
lh.parahippocampal,0.1869019565269827
lh.paracentral,0.1575169349731578
lh.parsopercularis,0.1649139947332651
lh.parsorbitalis,0.1682886197981143
lh.parstriangularis,0.1625862816986219
lh.pericalcarine,0.1518879549752192
lh.postcentral,0.1511786938023776
lh.posteriorcingulate,0.1575716729509434
lh.precentral,0.161807561269775
lh.precuneus,0.1570100261462118
lh.rostralanteriorcingulate,0.168376122966768
lh.rostralmiddlefrontal,0.1545117877034396
lh.superiorfrontal,0.1625565245909897
lh.superiorparietal,0.1503049640493441
lh.superiortemporal,0.1558848670084439
lh.supramarginal,0.154839915564398
lh.frontalpole,0.1662450964152232
lh.temporalpole,0.1823424345882268
lh.transversetemporal,0.1505957581527839
lh.insula,0.1760635939528912
rh.bankssts,0.1537661454003101
rh.caudalanteriorcingulate,0.1647411842210841
rh.caudalmiddlefrontal,0.1551184112374579
rh.cuneus,0.1471487374331172
rh.entorhinal,0.1774024917484978
rh.fusiform,0.1607244036762739
rh.inferiorparietal,0.1489654889555975
rh.inferiortemporal,0.1647144197763708
rh.isthmuscingulate,0.1855560081634504
rh.lateraloccipital,0.1489697496281055
rh.lateralorbitofrontal,0.1716140660742934
rh.lingual,0.1556027551933906
rh.medialorbitofrontal,0.1637252592734941
rh.middletemporal,0.1567626193769145
rh.parahippocampal,0.1805025414592325
rh.paracentral,0.1594011135250851
rh.parsopercularis,0.1654819275967835
rh.parsorbitalis,0.1713513214332816
rh.parstriangularis,0.1644713682767965
rh.pericalcarine,0.147670858104321
rh.postcentral,0.1484997459798424
rh.posteriorcingulate,0.1623033842858647
rh.precentral,0.1623613261526988
rh.precuneus,0.1550439935016889
rh.rostralanteriorcingulate,0.1670260541218027
rh.rostralmiddlefrontal,0.1514226603330358
rh.superiorfrontal,0.1599200836720889
rh.superiorparietal,0.1474939856728183
rh.superiortemporal,0.1591322391302018
rh.supramarginal,0.1536050597384808
rh.frontalpole,0.1603852205413079
rh.temporalpole,0.1875936330414734
rh.transversetemporal,0.1501801385144826
rh.insula,0.1770133155609875
