region,ak
lh.bankssts,0.5903641379478237
lh.caudalanteriorcingulate,0.636245003390824
lh.caudalmiddlefrontal,0.6248758542239775
lh.cuneus,0.629237871542005
lh.entorhinal,0.7583902430782763
lh.fusiform,0.6763443607607539
lh.inferiorparietal,0.5755288439233093
lh.inferiortemporal,0.6470178090510973
lh.isthmuscingulate,0.6997603846577668
lh.lateraloccipital,0.6256553160368846
lh.lateralorbitofrontal,0.7208649032735569
lh.lingual,0.6964982080028844
lh.medialorbitofrontal,0.7436971907639883
lh.middletemporal,0.5926901979601985
lh.parahippocampal,0.7245447063420477
lh.paracentral,0.6678498754771026
lh.parsopercularis,0.6273847300657475
lh.parsorbitalis,0.6276214286277728
lh.parstriangularis,0.6293537506308603
lh.pericalcarine,0.6651014448642254
lh.postcentral,0.6422324897729116
lh.posteriorcingulate,0.6541281465860691
lh.precentral,0.6567352819825314
lh.precuneus,0.6099403626423675
lh.rostralanteriorcingulate,0.6486678328156792
lh.rostralmiddlefrontal,0.5994081756255498
lh.superiorfrontal,0.6205225389753181
lh.superiorparietal,0.6105388318704226
lh.superiortemporal,0.6279215985034519
lh.supramarginal,0.5801630173270307
lh.frontalpole,0.6569273869043396
lh.temporalpole,0.7010129944679574
lh.transversetemporal,0.7160952158550459
lh.insula,0.6577755240896921
rh.bankssts,0.5803452203774854
rh.caudalanteriorcingulate,0.6494339814915664
rh.caudalmiddlefrontal,0.642250186412929
rh.cuneus,0.6263872586691608
rh.entorhinal,0.7552432455950343
rh.fusiform,0.6819846530661934
rh.inferiorparietal,0.5635809966793596
rh.inferiortemporal,0.6582450935755129
rh.isthmuscingulate,0.7042544111116957
rh.lateraloccipital,0.607059120310209
rh.lateralorbitofrontal,0.7326523930739511
rh.lingual,0.6915484262524132
rh.medialorbitofrontal,0.7377338531954291
rh.middletemporal,0.5960670926763039
rh.parahippocampal,0.7264642220135171
rh.paracentral,0.6831887227245217
rh.parsopercularis,0.6407771469930463
rh.parsorbitalis,0.6391177507618423
rh.parstriangularis,0.644172277352349
rh.pericalcarine,0.6594749390128826
rh.postcentral,0.6465056210211514
rh.posteriorcingulate,0.6644768891610523
rh.precentral,0.6650473624512552
rh.precuneus,0.6195612029050063
rh.rostralanteriorcingulate,0.6592109590684481
rh.rostralmiddlefrontal,0.6190527143384122
rh.superiorfrontal,0.6334639163816108
rh.superiorparietal,0.591774992263236
rh.superiortemporal,0.6272111576167608
rh.supramarginal,0.5755740622156347
rh.frontalpole,0.6600690461042784
rh.temporalpole,0.7051727549304674
rh.transversetemporal,0.7158187802651882
rh.insula,0.6561728780308417
