region,mkt
lh.bankssts,0.5815940873517098
lh.caudalanteriorcingulate,0.6285957469661626
lh.caudalmiddlefrontal,0.6163179657077646
lh.cuneus,0.6308451321597459
lh.entorhinal,0.7786594461479244
lh.fusiform,0.6776543960635762
lh.inferiorparietal,0.5601702382727097
lh.inferiortemporal,0.6424403615281158
lh.isthmuscingulate,0.7129166991622192
lh.lateraloccipital,0.6211746959877554
lh.lateralorbitofrontal,0.7391283764596607
lh.lingual,0.7005504642929493
lh.medialorbitofrontal,0.7612262119408179
lh.middletemporal,0.5789247893843814
lh.parahippocampal,0.7407603725267395
lh.paracentral,0.6592079639860484
lh.parsopercularis,0.623876064130571
lh.parsorbitalis,0.6185053571846731
lh.parstriangularis,0.6239080464628296
lh.pericalcarine,0.6687135932420767
lh.postcentral,0.6411509916801235
lh.posteriorcingulate,0.6522834741081329
lh.precentral,0.6552852785529151
lh.precuneus,0.6027847990915813
lh.rostralanteriorcingulate,0.6492815774290184
lh.rostralmiddlefrontal,0.5865980760141377
lh.superiorfrontal,0.6070294740715045
lh.superiorparietal,0.6035856639184918
lh.superiortemporal,0.6206959914481176
lh.supramarginal,0.5740074812567693
lh.frontalpole,0.6483876744902695
lh.temporalpole,0.7078825153103135
lh.transversetemporal,0.7245948563222299
lh.insula,0.6663212322080695
rh.bankssts,0.5693766448930108
rh.caudalanteriorcingulate,0.6514715067696872
rh.caudalmiddlefrontal,0.6252706651013042
rh.cuneus,0.6310457302083862
rh.entorhinal,0.7701050934284794
rh.fusiform,0.6809637271121769
rh.inferiorparietal,0.5478200211787012
rh.inferiortemporal,0.6514285924360529
rh.isthmuscingulate,0.7202653772451599
rh.lateraloccipital,0.6037060354894094
rh.lateralorbitofrontal,0.7495643083294249
rh.lingual,0.6965694156315976
rh.medialorbitofrontal,0.7552024520725086
rh.middletemporal,0.5767182218108792
rh.parahippocampal,0.7379602880785955
rh.paracentral,0.6862052538362784
rh.parsopercularis,0.6327980963857157
rh.parsorbitalis,0.6142141416209389
rh.parstriangularis,0.6311508808333682
rh.pericalcarine,0.6658719844008372
rh.postcentral,0.6396851729273816
rh.posteriorcingulate,0.6701217483000182
rh.precentral,0.6558305225849799
rh.precuneus,0.6175867991541637
rh.rostralanteriorcingulate,0.666994111158893
rh.rostralmiddlefrontal,0.6025951686355279
rh.superiorfrontal,0.6247220793389193
rh.superiorparietal,0.578162170716652
rh.superiortemporal,0.6112740690783669
rh.supramarginal,0.563969030305023
rh.frontalpole,0.653503344522074
rh.temporalpole,0.7081967109817665
rh.transversetemporal,0.7219467330340089
rh.insula,0.6592462175800804
