region,rk
lh.bankssts,0.5859412856521675
lh.caudalanteriorcingulate,0.6242237746021387
lh.caudalmiddlefrontal,0.6110022409878295
lh.cuneus,0.6323350995160096
lh.entorhinal,0.7717670607556713
lh.fusiform,0.6712499090783354
lh.inferiorparietal,0.561429037531786
lh.inferiortemporal,0.6358916637579703
lh.isthmuscingulate,0.7048013578695118
lh.lateraloccipital,0.6190096435352387
lh.lateralorbitofrontal,0.7284289751835517
lh.lingual,0.689149555349495
lh.medialorbitofrontal,0.7487695382367949
lh.middletemporal,0.5765613395547434
lh.parahippocampal,0.7339884622692361
lh.paracentral,0.6508922002185807
lh.parsopercularis,0.6209669904130761
lh.parsorbitalis,0.6074566025300745
lh.parstriangularis,0.61799829575653
lh.pericalcarine,0.6709429836323165
lh.postcentral,0.6382223008251676
lh.posteriorcingulate,0.6474545565323319
lh.precentral,0.6502402286494049
lh.precuneus,0.6044538809513016
lh.rostralanteriorcingulate,0.6452529144904232
lh.rostralmiddlefrontal,0.5801189255395036
lh.superiorfrontal,0.5990424147721305
lh.superiorparietal,0.6023468112697223
lh.superiortemporal,0.6160695037395845
lh.supramarginal,0.5809670313810831
lh.frontalpole,0.6278019194952669
lh.temporalpole,0.6941896156965265
lh.transversetemporal,0.7150267864235063
lh.insula,0.6595520873014972
rh.bankssts,0.5773248100923738
rh.caudalanteriorcingulate,0.6469678088252543
rh.caudalmiddlefrontal,0.6160814470797601
rh.cuneus,0.6338844302688553
rh.entorhinal,0.7544998000305
rh.fusiform,0.6707664345386676
rh.inferiorparietal,0.5572407411287852
rh.inferiortemporal,0.6407638740877216
rh.isthmuscingulate,0.7111104710965199
rh.lateraloccipital,0.6105467317238382
rh.lateralorbitofrontal,0.7348251000234373
rh.lingual,0.6872765834421606
rh.medialorbitofrontal,0.7421051984656215
rh.middletemporal,0.5707013209387606
rh.parahippocampal,0.7254946119222977
rh.paracentral,0.6782034086564819
rh.parsopercularis,0.6238601109342862
rh.parsorbitalis,0.5902480008106807
rh.parstriangularis,0.6171981369980201
rh.pericalcarine,0.6676465944885331
rh.postcentral,0.6350454313517325
rh.posteriorcingulate,0.664777116874151
rh.precentral,0.6479611489001696
rh.precuneus,0.6181182150301834
rh.rostralanteriorcingulate,0.6631606072484022
rh.rostralmiddlefrontal,0.5899572570116101
rh.superiorfrontal,0.6160300908165831
rh.superiorparietal,0.5827061711880593
rh.superiortemporal,0.6010003543969997
rh.supramarginal,0.5710691380466965
rh.frontalpole,0.6339198438157921
rh.temporalpole,0.6835094450751907
rh.transversetemporal,0.7126577649761511
rh.insula,0.6516165545471979
