region,icvf
V1_L,0.2885069207874133
MST_L,0.2586890225532313
V6_L,0.2546509414280469
V2_L,0.2820309748000659
V3_L,0.27726204000255483
V4_L,0.27366398706469525
V8_L,0.28016385731490345
4_L,0.3050180109594754
3b_L,0.27047362582812706
FEF_L,0.25881879901951393
PEF_L,0.23975002564053746
55b_L,0.25457928157191817
V3A_L,0.2687733828488858
RSC_L,0.3129492616916721
POS2_L,0.2653858888936111
V7_L,0.27621538098890797
IPS1_L,0.26139317806281576
FFC_L,0.2664816120835141
V3B_L,0.25075082867649173
LO1_L,0.2529513511430548
LO2_L,0.26394692947969606
PIT_L,0.2703447675563609
MT_L,0.25989992455536387
A1_L,0.3104627626543108
PSL_L,0.23562355818935055
SFL_L,0.2561527631171017
PCV_L,0.24806029676314806
STV_L,0.24056854233760835
7Pm_L,0.24878796342075524
7m_L,0.2494144949965736
POS1_L,0.27822506345598985
23d_L,0.2534088111319708
v23ab_L,0.2671666193895507
d23ab_L,0.261763798134155
31pv_L,0.2457628135553801
5m_L,0.2939023830937997
5mv_L,0.25029976826051115
23c_L,0.2379326710067406
5L_L,0.26500897369492765
24dd_L,0.2761816199941471
24dv_L,0.24791954403319072
7AL_L,0.2642565248754301
SCEF_L,0.265241853137937
6ma_L,0.2677818631058223
7Am_L,0.2531257267471309
7Pl_L,0.2606992263971131
7PC_L,0.2697431821299693
LIPv_L,0.28167349743825093
VIP_L,0.26917581896459086
MIP_L,0.26658000093922796
1_L,0.28558085802353184
2_L,0.2744339420106729
3a_L,0.272646251987734
6d_L,0.282568422273591
6mp_L,0.28246417948363933
6v_L,0.23806913762434717
p24pr_L,0.23572191085639363
33pr_L,0.25157818536663584
a24pr_L,0.22515615867450478
p32pr_L,0.23979018018274273
a24_L,0.23062762359431882
d32_L,0.2217949555186914
8BM_L,0.24279473232387697
p32_L,0.2266391455833194
10r_L,0.24944548029370991
47m_L,0.2774563182854715
8Av_L,0.2439922067302387
8Ad_L,0.23096109562168413
9m_L,0.2176327891899345
8BL_L,0.23738358572546464
9p_L,0.21839542418381655
10d_L,0.21045749738662642
8C_L,0.24400148630544732
44_L,0.24096772075189807
45_L,0.24613126439742783
47l_L,0.2400569827724249
a47r_L,0.2256633889508166
6r_L,0.23172621361274331
IFJa_L,0.24591710773685505
IFJp_L,0.24217784645053647
IFSp_L,0.23708454888900687
IFSa_L,0.22542749983872792
p9-46v_L,0.23142092410373818
46_L,0.2169151384536018
a9-46v_L,0.21673559629459765
9-46d_L,0.21269767050575564
9a_L,0.2108977600924696
10v_L,0.2869700511161475
a10p_L,0.21391825886457042
10pp_L,0.25783327028725206
11l_L,0.25992854251054043
13l_L,0.31026518592322216
OFC_L,0.35326450928133024
47s_L,0.26539770353065767
