region,kfa
V1_L,0.3336579155649588
MST_L,0.3441014173192076
V6_L,0.3297632729549385
V2_L,0.33334859812894596
V3_L,0.34123452328938564
V4_L,0.3468174136609121
V8_L,0.3544200349208304
4_L,0.3556320095815486
3b_L,0.31832334255118644
FEF_L,0.3454727256761364
PEF_L,0.3421834716934625
55b_L,0.35430106508508147
V3A_L,0.34168338599414566
RSC_L,0.3565727436218223
POS2_L,0.34184965886249347
V7_L,0.3387860093158463
IPS1_L,0.3409737577296756
FFC_L,0.3360841044993274
V3B_L,0.34583230906707957
LO1_L,0.3536645348556632
LO2_L,0.34807708515618374
PIT_L,0.3473067541351562
MT_L,0.3430464104775148
A1_L,0.30858933635919
PSL_L,0.34548967800969305
SFL_L,0.3640020929380591
PCV_L,0.34665192593577143
STV_L,0.3461317042336495
7Pm_L,0.35101012705111073
7m_L,0.3380002486090985
POS1_L,0.3476302284823112
23d_L,0.323846887321607
v23ab_L,0.3348276525215909
d23ab_L,0.3307075462699406
31pv_L,0.33441725943017103
5m_L,0.3506189061069395
5mv_L,0.34487027482203597
23c_L,0.33525835367439166
5L_L,0.35545124375927833
24dd_L,0.34793651264195513
24dv_L,0.33507388021580564
7AL_L,0.35716111921053156
SCEF_L,0.35772717597484405
6ma_L,0.365743619563119
7Am_L,0.3587167111352417
7Pl_L,0.35700370947557813
7PC_L,0.35405623232750383
LIPv_L,0.35323785791793005
VIP_L,0.36023330788340674
MIP_L,0.35626198115964947
1_L,0.35553917533957424
2_L,0.3503660583411951
3a_L,0.31018654325583234
6d_L,0.3591405348720388
6mp_L,0.35693409096719203
6v_L,0.3678029626362259
p24pr_L,0.3275778220400861
33pr_L,0.3463805128605011
a24pr_L,0.3245051388378338
p32pr_L,0.3324903450487582
a24_L,0.3177559955883124
d32_L,0.34557630067201045
8BM_L,0.3617111819835761
p32_L,0.3207259818887106
10r_L,0.30447581554046926
47m_L,0.31431282031260993
8Av_L,0.35825058247325964
8Ad_L,0.3522283477123278
9m_L,0.3605523076431057
8BL_L,0.36973541947896943
9p_L,0.3600268384835634
10d_L,0.3483012969111698
8C_L,0.3488957598060068
44_L,0.3558828295263367
45_L,0.3515297810292818
47l_L,0.34025446775722445
a47r_L,0.3474272199610613
6r_L,0.34422388729340464
IFJa_L,0.3346182835007652
IFJp_L,0.3373528441915438
IFSp_L,0.3366902558668658
IFSa_L,0.34047767204015866
p9-46v_L,0.35180263228400194
46_L,0.35333950807313486
a9-46v_L,0.3469663073011023
9-46d_L,0.34715853160288784
9a_L,0.35549237950046236
10v_L,0.3158343200765791
a10p_L,0.32337706202952204
10pp_L,0.3355823490671232
11l_L,0.3215024812523159
13l_L,0.28766163439769193
OFC_L,0.31957734563555473
47s_L,0.3161547806294931
LIPd_L,0.35027014492928427
6a_L,0.3484542474059016
i6-8_L,0.34765671388511005
s6-8_L,0.36384285017806184
43_L,0.3459883067620643
OP4_L,0.34485941765223754
OP1_L,0.3378622958076603
OP2-3_L,0.33436764961959137
52_L,0.3056884769724726
RI_L,0.3270642366403984
PFcm_L,0.3416724292815716
PoI2_L,0.3492219998245074
TA2_L,0.32699148886594626
FOP4_L,0.33447871338015434
MI_L,0.3359424435534157
