region,msd
V1_L,0.0002001562116535658
MST_L,0.00020230420503212633
V6_L,0.00020133399572946575
V2_L,0.00019815474672988946
V3_L,0.00019656406496127896
V4_L,0.00019804084909408684
V8_L,0.00019092526064493952
4_L,0.00019586377917399735
3b_L,0.00020418696860083157
FEF_L,0.00020415105102501054
PEF_L,0.00021034934912308157
55b_L,0.00020440337688327367
V3A_L,0.00020110504880956317
RSC_L,0.00018847825455584738
POS2_L,0.00020165100675675267
V7_L,0.00020852514105131574
IPS1_L,0.00021120666498365527
FFC_L,0.0002014474554918605
V3B_L,0.00020640603926901845
LO1_L,0.00020270969520811842
LO2_L,0.0001986406296496263
PIT_L,0.00019918366591375265
MT_L,0.0002035788082075
A1_L,0.00019902030372020003
PSL_L,0.00020789286253707366
SFL_L,0.00019587628547553944
PCV_L,0.0001950099230714842
STV_L,0.00020530743008967896
7Pm_L,0.00020014261828088685
7m_L,0.00019718373351102893
POS1_L,0.0001943257324122316
23d_L,0.0002011155414809868
v23ab_L,0.00019393852128599215
d23ab_L,0.0001949843094525158
31pv_L,0.00019913669870458682
5m_L,0.0001904088606096816
5mv_L,0.00019501969715548422
23c_L,0.00020754626536813683
5L_L,0.00019345216309110528
24dd_L,0.0001921991613971421
24dv_L,0.00019901845932249475
7AL_L,0.00020131379750383684
SCEF_L,0.00019062549722924472
6ma_L,0.0002020472564003237
7Am_L,0.00019738319835831844
7Pl_L,0.000199882320254029
7PC_L,0.00020234515111433682
LIPv_L,0.0002045249306520737
VIP_L,0.0001996361566941474
MIP_L,0.00020511849487579736
1_L,0.00020004782607791844
2_L,0.00020655195316664996
3a_L,0.00021446626958970529
6d_L,0.00019793116307380263
6mp_L,0.00019638375379615788
6v_L,0.00020496190434125
p24pr_L,0.00020362401845641317
33pr_L,0.0001953137601482842
a24pr_L,0.00020232107603033948
p32pr_L,0.00019618821169547894
a24_L,0.0002044513675689079
d32_L,0.00019599222282952372
8BM_L,0.00018837847306005522
p32_L,0.00020327213706260264
10r_L,0.0002044048533870526
47m_L,0.00021839234244020787
8Av_L,0.00021012137430628157
8Ad_L,0.00021443104425742634
9m_L,0.00019602417185143683
8BL_L,0.00020369351784011578
9p_L,0.0002136612362839474
10d_L,0.0002073442264188079
8C_L,0.00021040700469749212
44_L,0.0002082354651951763
45_L,0.00020892459030181313
47l_L,0.00021658133109772636
a47r_L,0.00021973782537556058
6r_L,0.0002083340800413316
IFJa_L,0.00020732255300344736
IFJp_L,0.00020958087093513684
IFSp_L,0.0002088417138222105
IFSa_L,0.00021351020175381058
p9-46v_L,0.00021286959572298946
46_L,0.00021437541367045257
a9-46v_L,0.000217569233999271
9-46d_L,0.00021447233999140003
9a_L,0.00021487878457844475
10v_L,0.00021018327717951314
a10p_L,0.00022099745434438686
10pp_L,0.00021871291738343943
11l_L,0.0002200240717248947
13l_L,0.0002200793948510921
OFC_L,0.00020293993276847633
47s_L,0.00022030836527826576
LIPd_L,0.00020969040159531314
6a_L,0.00021100605547222368
i6-8_L,0.0002063356985744263
s6-8_L,0.00021345358512063419
43_L,0.0002101270722556842
OP4_L,0.0002051320577379658
OP1_L,0.00020074782469804738
OP2-3_L,0.00020242005448883158
52_L,0.00021094907593576054
RI_L,0.00020597827687239735
PFcm_L,0.00020645133397972896
PoI2_L,0.0002171722343625105
TA2_L,0.00020200154937757896
FOP4_L,0.0002047125046029842
MI_L,0.00021314986096118946
Pir_L,0.0002149796161124132
AVI_L,0.00021505225382462362
AAIC_L,0.00022223561372055527
FOP1_L,0.0002023113831246421
FOP3_L,0.00020966743189167105
FOP2_L,0.0001993012063808737
PFt_L,0.00020807048912314734
AIP_L,0.0002079762379164421
EC_L,0.00021193461540937894
PreS_L,0.00020597424669408158
H_L,0.00021210001460571047
ProS_L,0.0001946735038212763
PeEc_L,0.00021553970803082892
STGa_L,0.00021889632380625793
PBelt_L,0.00020415041756757367
A5_L,0.00021329777773215002
PHA1_L,0.00020427647218826842
PHA3_L,0.00020148630168605528
STSda_L,0.00022016656316647634
STSdp_L,0.00021076445805150003
STSvp_L,0.00020724274096650788
TGd_L,0.00021753683690219205
TE1a_L,0.00021487794812863944
TE1p_L,0.0002058161262527816
TE2a_L,0.00021341671902200526
TF_L,0.00020718344529836578
TE2p_L,0.0002016706655314105
PHT_L,0.00020368670997959209
PH_L,0.00019892502051254741
TPOJ1_L,0.00020519545653744736
TPOJ2_L,0.00020208754274202105
TPOJ3_L,0.00020604278954718154
DVT_L,0.00019602212382626314
PGp_L,0.00020482579143411313
IP2_L,0.00020314473228660794
IP1_L,0.00020270389187443424
IP0_L,0.0001975279572015737
PFop_L,0.00021002989978517893
PF_L,0.00020919843550356576
PFm_L,0.0002060116955216763
PGi_L,0.00020518068917114475
PGs_L,0.00020437162412438947
V6A_L,0.0001994914782347816
VMV1_L,0.00019452846823378157
VMV3_L,0.00019310082629028425
PHA2_L,0.00020369546568621053
V4t_L,0.0002010811904842
FST_L,0.00020095622891889474
V3CD_L,0.00020320405735765263
LO3_L,0.00020219232385106843
VMV2_L,0.00019660238479630792
31pd_L,0.00019745059621479208
31a_L,0.00019714485765524474
VVC_L,0.00019635985492787633
25_L,0.00020292610613750794
s32_L,0.00020455761849743162
pOFC_L,0.00021908891038573418
PoI1_L,0.00021478840538986053
Ig_L,0.00020767082858881583
FOP5_L,0.00020459981707999473
p10p_L,0.0002223972349675185
p47r_L,0.00021758886411220261
TGv_L,0.00021391001549090003
MBelt_L,0.00019985611504093684
LBelt_L,0.0002046681220889
A4_L,0.00020624100060552634
