region,ak
V1_L,0.6616895205957697
MST_L,0.6183507080860923
V6_L,0.6100540249380112
V2_L,0.6509945292184154
V3_L,0.6360448756919543
V4_L,0.633198293233774
V8_L,0.6395121303228827
4_L,0.6812849590387231
3b_L,0.6438947200762694
FEF_L,0.620968459151397
PEF_L,0.594837887340073
55b_L,0.6070472151755116
V3A_L,0.6160151165967245
RSC_L,0.719392156615826
POS2_L,0.617472426979022
V7_L,0.6439148453084181
IPS1_L,0.6274288577412335
FFC_L,0.6382796758807202
V3B_L,0.6091332258555539
LO1_L,0.5951286735969562
LO2_L,0.6124414703344525
PIT_L,0.6211199008941417
MT_L,0.615726861388835
A1_L,0.7109366435604244
PSL_L,0.5737275935145545
SFL_L,0.6098389276966963
PCV_L,0.5792094674722401
STV_L,0.5754731703843015
7Pm_L,0.5777482649346691
7m_L,0.5943506199670491
POS1_L,0.6541743065099478
23d_L,0.6448280934876075
v23ab_L,0.6417277585827481
d23ab_L,0.6411931508495199
31pv_L,0.6023710995094995
5m_L,0.6566048447394447
5mv_L,0.5998963122194058
23c_L,0.5946744869716358
5L_L,0.5906433604805694
24dd_L,0.6587977350358234
24dv_L,0.6257658362052427
7AL_L,0.5911455928433953
SCEF_L,0.6335502935460674
6ma_L,0.6212976055252628
7Am_L,0.5716014133496926
7Pl_L,0.5869372858022811
7PC_L,0.6090256232422935
LIPv_L,0.6332551297771822
VIP_L,0.6028931991400106
MIP_L,0.6140248873636871
1_L,0.6371910647874119
2_L,0.6273315548736328
3a_L,0.652677549782385
6d_L,0.6467277205244145
6mp_L,0.6451271532228416
6v_L,0.5863016706174311
p24pr_L,0.6157818388852869
33pr_L,0.6607493060448101
a24pr_L,0.6059764970210244
p32pr_L,0.6173982498012262
a24_L,0.6372783378634876
d32_L,0.5760477804645298
8BM_L,0.5964944812080235
p32_L,0.6180004906677817
10r_L,0.6645327988979645
47m_L,0.6892224828827553
8Av_L,0.6035789000923935
8Ad_L,0.6026283954741315
9m_L,0.5646813475003897
8BL_L,0.5881938327161964
9p_L,0.5770948554759211
10d_L,0.5701604383190053
8C_L,0.6033242877986924
44_L,0.6067087321931065
45_L,0.622674773452135
47l_L,0.6266646798690934
a47r_L,0.6076463720230274
6r_L,0.5883341723746716
IFJa_L,0.6151619618275537
IFJp_L,0.6061007489536134
IFSp_L,0.6048524599592893
IFSa_L,0.5912473715223342
p9-46v_L,0.5885010751719226
46_L,0.5717717633969936
a9-46v_L,0.5831801280951677
9-46d_L,0.57460973530039
9a_L,0.5703220919942575
10v_L,0.7067632794119492
a10p_L,0.5979042997234827
10pp_L,0.6628739283735625
11l_L,0.6709996454718287
13l_L,0.7338408976242725
OFC_L,0.7332579746383143
47s_L,0.676717200838658
LIPd_L,0.6198144842118004
6a_L,0.6341172826347921
i6-8_L,0.6176287827786939
s6-8_L,0.6207548230059777
43_L,0.612675821428285
OP4_L,0.602945263757152
OP1_L,0.6388728557525291
OP2-3_L,0.667328077263658
52_L,0.6508657812101275
RI_L,0.6559371971096429
PFcm_L,0.6126813442110441
