region,dki-ad
V1_L,0.0009753812264805709
MST_L,0.0009715108522557369
V6_L,0.0009813049938328052
V2_L,0.0009728032036094868
V3_L,0.0009561459403000182
V4_L,0.0009568202296035841
V8_L,0.0009615107562327157
4_L,0.0009806129033604867
3b_L,0.001020919632225353
FEF_L,0.0009906654425435686
PEF_L,0.0010173947051947683
55b_L,0.0009986799737462186
V3A_L,0.0009660154216749974
RSC_L,0.0010382069878888238
POS2_L,0.000979552880496442
V7_L,0.0009779863274163817
IPS1_L,0.0009785268739539183
FFC_L,0.0009804282659184136
V3B_L,0.0009710341447622605
LO1_L,0.0009632833791066028
LO2_L,0.0009464607861207371
PIT_L,0.0009515521731610897
MT_L,0.0009670791213233946
A1_L,0.0010091268940768448
PSL_L,0.0009912199851070554
SFL_L,0.0010012757374750708
PCV_L,0.0009774479100745736
STV_L,0.000986291310182121
7Pm_L,0.0009750721871924369
7m_L,0.0009857591074196447
POS1_L,0.0010172561870972919
23d_L,0.0010293233841069315
v23ab_L,0.001006479199282063
d23ab_L,0.001008000171317955
31pv_L,0.000982838500028084
5m_L,0.0009554910314504897
5mv_L,0.0009766052080963947
23c_L,0.0009994222028149816
5L_L,0.0009695210334647526
24dd_L,0.0009936091676846105
24dv_L,0.0010167057523714814
7AL_L,0.0009761522344908134
SCEF_L,0.0010038667350788367
6ma_L,0.0009937919676634868
7Am_L,0.0009755953005712922
7Pl_L,0.0009781400047012897
7PC_L,0.0009811584259143999
LIPv_L,0.0009837769330644133
VIP_L,0.0009744061766597213
MIP_L,0.0009716417528825842
1_L,0.0009737227082627394
2_L,0.0009839876544220658
3a_L,0.0010135535385485867
6d_L,0.0009684629578186133
6mp_L,0.0009738168292926841
6v_L,0.0010195916292271132
p24pr_L,0.0010457223398603471
33pr_L,0.001086531427316379
a24pr_L,0.0010489435887946924
p32pr_L,0.0010258696421267686
a24_L,0.0011163852325399945
d32_L,0.0010556452981569711
8BM_L,0.0010213115760504792
p32_L,0.0010950843366450843
10r_L,0.001086894154668666
47m_L,0.0010840942950995683
8Av_L,0.0010117246249532422
8Ad_L,0.0010262888826038632
9m_L,0.0010587557898635658
8BL_L,0.001022372306732587
9p_L,0.0010510039389171162
10d_L,0.001092625717828747
8C_L,0.0010239075804393764
44_L,0.0010526633263864315
45_L,0.001053424789789487
47l_L,0.0010750834943896398
a47r_L,0.001076615999183329
6r_L,0.0010486843363435817
IFJa_L,0.0010245082179667498
IFJp_L,0.0010274152124687842
IFSp_L,0.0010320467647123449
IFSa_L,0.0010467169603620686
p9-46v_L,0.0010339581421483712
46_L,0.001040976524508321
a9-46v_L,0.0010695342185264604
9-46d_L,0.0010580140588266763
9a_L,0.0010732930111275682
10v_L,0.0010812201478350683
a10p_L,0.0010884210996022553
10pp_L,0.001095385643995958
11l_L,0.0010707967166395183
13l_L,0.0010354988124949556
OFC_L,0.000962430542662792
47s_L,0.0011104055517962266
LIPd_L,0.0009776058510693078
6a_L,0.0009951273864943105
i6-8_L,0.0010059397660697501
s6-8_L,0.0010135759538406448
43_L,0.0010440890521442579
OP4_L,0.0010231834722002474
OP1_L,0.0010129857757584107
OP2-3_L,0.0010346710595507708
52_L,0.0010632304156005183
RI_L,0.0010078244395090106
PFcm_L,0.0010044718575485103
PoI2_L,0.0011182868735502736
TA2_L,0.001071478708480542
FOP4_L,0.0010636377042365134
MI_L,0.0011060857212703947
Pir_L,0.0011694802496965315
AVI_L,0.0010982741210991292
AAIC_L,0.0011575819632132606
FOP1_L,0.0010659689085748343
FOP3_L,0.0010598476186941949
FOP2_L,0.0010404618896938474
PFt_L,0.000989414192069555
AIP_L,0.0009886359860257945
EC_L,0.0011160756304715658
PreS_L,0.0011309991041467814
H_L,0.0010935777757895657
