region,odi
V1_L,0.40518115628568585
MST_L,0.38818082012304006
V6_L,0.4089321265843365
V2_L,0.3972371276721676
V3_L,0.39413989213455086
V4_L,0.3854226618356413
V8_L,0.36557439732552116
4_L,0.37644988790175504
3b_L,0.42911169362680385
FEF_L,0.37888658766711675
PEF_L,0.3638050482232672
55b_L,0.357233106592121
V3A_L,0.3841167039023324
RSC_L,0.35989342040161515
POS2_L,0.3780510260261693
V7_L,0.38689622158924686
IPS1_L,0.3920519056719878
FFC_L,0.37561356077188557
V3B_L,0.394151932639424
LO1_L,0.3820278383436907
LO2_L,0.3899887679523004
PIT_L,0.3785509166780818
MT_L,0.38411489580642355
A1_L,0.4316925423462569
PSL_L,0.36512142476325976
SFL_L,0.36450853249652126
PCV_L,0.3760926640453378
STV_L,0.3530596102892049
7Pm_L,0.37458315522452906
7m_L,0.37366994828263783
POS1_L,0.35396787364780974
23d_L,0.3860587638895174
v23ab_L,0.3713512339853089
d23ab_L,0.37305946811779855
31pv_L,0.3843246605578845
5m_L,0.4073559454972302
5mv_L,0.40510503434055134
23c_L,0.3810975762443188
5L_L,0.3984533190621257
24dd_L,0.37501192345171824
24dv_L,0.38265604919941043
7AL_L,0.38100562334889737
SCEF_L,0.3680582573796216
6ma_L,0.36841473784714396
7Am_L,0.3730544579355773
7Pl_L,0.3681580319954712
7PC_L,0.3838211340684358
LIPv_L,0.3858027359030394
VIP_L,0.3741410452431657
MIP_L,0.37759889018544884
1_L,0.3871473758155288
2_L,0.38627343913374845
3a_L,0.423795887016576
6d_L,0.3925483377685128
6mp_L,0.39087929185717496
6v_L,0.3306618200209711
p24pr_L,0.3683384328570367
33pr_L,0.34416120761788066
a24pr_L,0.380450555474548
p32pr_L,0.3787254782306551
a24_L,0.33822373055729
d32_L,0.3294937304072733
8BM_L,0.3414719118801054
p32_L,0.33920414342434113
10r_L,0.3852263573379444
47m_L,0.36423855418734236
8Av_L,0.3533884040912458
8Ad_L,0.3622485922340218
9m_L,0.32193080710866295
8BL_L,0.3425221942403512
9p_L,0.3394422535549671
10d_L,0.32823059568703244
8C_L,0.34819786744054776
44_L,0.33015469739814224
45_L,0.34112421799304427
47l_L,0.343128986652591
a47r_L,0.34337237430608886
6r_L,0.34252826439441625
