region,rtop
V1_L,212304.10237868177
MST_L,203997.3581667431
V6_L,196650.4388059032
V2_L,214862.50291088776
V3_L,214762.41488514034
V4_L,212750.05838498662
V8_L,228868.32145833696
4_L,216132.67376481814
3b_L,188031.3737302115
FEF_L,200410.38315297608
PEF_L,187259.1657705436
55b_L,198934.76389033798
V3A_L,204526.65893557915
RSC_L,245426.1152399419
POS2_L,210475.5146027972
V7_L,195267.37688023222
IPS1_L,189585.06822839737
FFC_L,213616.52995239265
V3B_L,193179.588128657
LO1_L,202221.43763726568
LO2_L,210329.77586782273
PIT_L,213388.4875071484
MT_L,201156.0506833878
A1_L,196137.87467113562
PSL_L,185020.0931606981
SFL_L,207096.09700777792
PCV_L,208994.06523878765
STV_L,193614.08179137134
7Pm_L,201312.6341899601
7m_L,209446.38515334722
POS1_L,227837.8352329723
23d_L,207140.16779053808
v23ab_L,218440.45694580025
d23ab_L,217477.6834965901
31pv_L,206330.48459460886
5m_L,233578.71046902332
5mv_L,211701.8572918083
23c_L,190101.77052024822
5L_L,214498.85785790763
24dd_L,228082.20970668874
24dv_L,209621.9817488785
7AL_L,202437.75721565456
SCEF_L,222731.88335593574
6ma_L,201795.56065807215
7Am_L,206291.2445979953
7Pl_L,204955.47420252586
7PC_L,202955.95934057873
LIPv_L,203276.41243692557
VIP_L,206676.73466025857
MIP_L,202085.84492218064
1_L,206983.40987408967
2_L,201482.95148302463
3a_L,177639.27930439124
6d_L,203452.29738890947
6mp_L,208721.22038087898
6v_L,193436.76758568193
p24pr_L,198370.50553082465
33pr_L,218350.42376749683
a24pr_L,195866.8781134292
p32pr_L,211642.33440743206
a24_L,202953.1656318871
d32_L,203286.44009023154
8BM_L,220155.27723410996
p32_L,200601.1033538907
10r_L,206538.04909486108
47m_L,199989.82782273766
8Av_L,189767.65536311624
8Ad_L,181465.36939300477
9m_L,197638.1039197545
8BL_L,190000.81024211342
9p_L,174641.8589647531
10d_L,179757.5404939528
8C_L,192071.0361256903
44_L,194893.48408947964
45_L,199261.5150767339
47l_L,186449.79394593713
a47r_L,178113.94547166853
6r_L,187539.09970082706
IFJa_L,194596.87945849422
IFJp_L,192063.61340575028
IFSp_L,185808.88119583568
IFSa_L,179527.86276851388
p9-46v_L,184784.8855932789
46_L,176874.14949607858
a9-46v_L,175034.39365789085
9-46d_L,176645.49684987016
9a_L,171223.24394947727
10v_L,211468.5849071858
a10p_L,170766.70781124794
10pp_L,189190.0489007566
11l_L,196776.3628662287
13l_L,221358.5962793673
OFC_L,243289.0243475591
47s_L,198990.22767091636
LIPd_L,193977.7215140033
6a_L,192691.75274248447
i6-8_L,196473.1710400823
s6-8_L,185220.34880229784
43_L,198088.04359771675
OP4_L,204417.52810887704
OP1_L,219265.75247267215
OP2-3_L,222078.54043696233
52_L,189862.95015143248
RI_L,203977.26468418035
PFcm_L,204600.5220448502
PoI2_L,187049.9244120786
TA2_L,195336.22511773548
FOP4_L,206481.0039423138
MI_L,180637.6968919857
Pir_L,213346.02002513836
AVI_L,194343.45366146532
AAIC_L,184756.59718315612
FOP1_L,212257.4948350744
FOP3_L,200226.71621744565
FOP2_L,216535.16808136142
PFt_L,187401.07810483524
AIP_L,195255.31665036458
EC_L,232456.66518513908
PreS_L,214740.2663317537
H_L,202050.50363879933
ProS_L,229589.39362031422
PeEc_L,220802.05187589824
STGa_L,175416.67345592604
PBelt_L,193831.7307324604
A5_L,192869.7002352043
PHA1_L,222961.6063334042
PHA3_L,218167.42501334345
STSda_L,184124.46206469112
STSdp_L,195496.11039739032
STSvp_L,184750.63449863522
TGd_L,194781.68332829972
TE1a_L,181988.97156075
TE1p_L,191935.69183060335
TE2a_L,199364.8689556526
TF_L,227497.5112985321
TE2p_L,217926.68775039748
PHT_L,192083.56259984145
PH_L,204233.48342493825
TPOJ1_L,199170.02114658564
TPOJ2_L,196028.82709198623
TPOJ3_L,194610.24526556063
DVT_L,211233.77076137377
PGp_L,194251.3474617138
IP2_L,191459.5688355971
IP1_L,196394.3816740034
IP0_L,200671.55737366836
PFop_L,186593.90328661064
PF_L,189266.67537431655
PFm_L,190619.79472072356
PGi_L,192547.80633090547
PGs_L,193694.01464847007
V6A_L,202347.8896903699
VMV1_L,235751.7287312607
VMV3_L,225211.3196197175
PHA2_L,217342.3648358239
V4t_L,205814.5471617067
FST_L,200876.7000770847
V3CD_L,201222.14615813803
LO3_L,200546.56704626753
VMV2_L,225355.91679560186
31pd_L,208205.54201228835
31a_L,205488.69327870794
VVC_L,228963.5421037419
25_L,238918.6825375301
s32_L,226577.70527671385
pOFC_L,231815.55173373682
PoI1_L,190696.2458650087
Ig_L,206070.35369560114
FOP5_L,213454.78638526396
p10p_L,169625.21540055473
p47r_L,173146.5195451358
TGv_L,221745.3589875674
MBelt_L,209011.7871571744
LBelt_L,198616.18260979702
A4_L,190527.20615866277
STSva_L,179427.57288142628
TE1m_L,187021.4457957723
PI_L,188079.050169954
a32pr_L,204323.36465342788
p24_L,192548.64444103595
V1_R,206969.47822961598
MST_R,206005.05109998476
V6_R,185423.4005518145
V2_R,208209.41449368375
V3_R,210119.11596373926
V4_R,212269.16098550588
V8_R,214720.88680899545
4_R,225359.32092405096
3b_R,175851.12412797907
FEF_R,210024.95558943253
PEF_R,201746.3345216135
55b_R,209867.73017229172
V3A_R,209885.67673192322
RSC_R,233513.64123211493
POS2_R,211677.140425917
V7_R,218650.23872714452
IPS1_R,209497.15936862226
FFC_R,224060.85920650282
V3B_R,201160.74249502865
LO1_R,198339.78285322213
LO2_R,206839.48025550137
PIT_R,214978.13900678206
MT_R,205401.450427434
A1_R,200600.02828806746
PSL_R,191616.46192218165
SFL_R,203254.35898257967
PCV_R,195186.64216575105
STV_R,198228.244015781
7Pm_R,198752.96883224338
7m_R,195595.1657989653
POS1_R,227995.66226965954
23d_R,193237.85899451489
v23ab_R,210235.93853003916
d23ab_R,208049.518141104
31pv_R,197913.7746235482
5m_R,218387.5729482904
5mv_R,197105.51783943418
23c_R,192884.89330011976
5L_R,204291.77593314036
24dd_R,209841.27877945325
24dv_R,199083.77411655235
7AL_R,208940.96969472693
SCEF_R,202918.96954735808
6ma_R,212791.3844066733
7Am_R,199647.9284524979
7Pl_R,205291.2671483711
7PC_R,216365.26903077913
LIPv_R,213615.5676832609
VIP_R,211330.6998134938
MIP_R,213030.97267802883
1_R,215304.32007333715
2_R,216939.5024863595
3a_R,194414.56055086112
6d_R,208233.33403429794
6mp_R,208406.60132524892
6v_R,199130.86033323934
p24pr_R,183463.03760193958
33pr_R,200300.37216061557
a24pr_R,183537.14456574083
p32pr_R,196328.90306902747
a24_R,194225.52969111496
d32_R,186543.39737388445
8BM_R,196089.90869509606
p32_R,190317.6727569017
10r_R,193692.33456826056
47m_R,206432.01201479163
8Av_R,205050.9905354485
8Ad_R,200854.01482472048
9m_R,179056.15067881465
8BL_R,194888.43132706874
9p_R,184895.06532465076
10d_R,174556.86262888298
8C_R,208342.7781117469
44_R,202382.67825806636
