region,mk
V1_L,0.6642066697420104
MST_L,0.6062997300028445
V6_L,0.5963396484816003
V2_L,0.6514150667612535
V3_L,0.630009305936943
V4_L,0.6245961995056454
V8_L,0.6374893936601548
4_L,0.675685500848101
3b_L,0.631263589765769
FEF_L,0.6037035187194159
PEF_L,0.5843282438932779
55b_L,0.5940895316905463
V3A_L,0.6070636651771416
RSC_L,0.729803163733867
POS2_L,0.614619636308982
V7_L,0.6305681966460339
IPS1_L,0.6064430391910554
FFC_L,0.6343476806987243
V3B_L,0.5900765581356143
LO1_L,0.5838495944071699
LO2_L,0.6005910186407087
PIT_L,0.6149975108327886
MT_L,0.6028046041097287
A1_L,0.7139270727981941
PSL_L,0.5610133747717262
SFL_L,0.5887291472456377
PCV_L,0.569275962077882
STV_L,0.5681103604940785
7Pm_L,0.567138104355813
7m_L,0.5903852932610283
POS1_L,0.6570938706697939
23d_L,0.6428765480571746
v23ab_L,0.6424717454372729
d23ab_L,0.6433599134239621
31pv_L,0.5960976598961646
5m_L,0.6486789121106334
5mv_L,0.5824883200020511
23c_L,0.5819377597137878
5L_L,0.5758129964942418
24dd_L,0.650658346951849
24dv_L,0.6154401082541021
7AL_L,0.5816110781307104
SCEF_L,0.6141654178564402
6ma_L,0.5998398814512887
7Am_L,0.5588564659732794
7Pl_L,0.578367548722661
7PC_L,0.5943330560889178
LIPv_L,0.6245498535556829
VIP_L,0.5920614528627666
MIP_L,0.6009184852176217
1_L,0.6257350063101227
2_L,0.6199187690061263
3a_L,0.6501566712069208
6d_L,0.62229401812133
6mp_L,0.6236565250127747
6v_L,0.5719997247319194
p24pr_L,0.6092786918798379
33pr_L,0.6487594680104951
a24pr_L,0.5912340195623268
p32pr_L,0.6041224312405142
a24_L,0.6317792217472455
d32_L,0.5621187279738958
8BM_L,0.5772735429852986
p32_L,0.6106185432950169
10r_L,0.656953923993394
47m_L,0.6927775398922332
8Av_L,0.5828905713831731
8Ad_L,0.577839898817375
9m_L,0.5462624884985392
8BL_L,0.56334999638645
9p_L,0.5551851189485539
10d_L,0.5530080046783042
8C_L,0.5940888175417887
44_L,0.5941767523752666
45_L,0.6123821570015301
47l_L,0.6171161532617188
a47r_L,0.5917107864888866
6r_L,0.5786358261504613
