region,qiv
V1_L,4.669435867153251e-09
MST_L,4.864916256719385e-09
V6_L,5.010720392174664e-09
V2_L,4.696322764258661e-09
V3_L,4.650856190260633e-09
V4_L,4.674222294426191e-09
V8_L,4.446097175058284e-09
4_L,4.565499598359458e-09
3b_L,4.983249360651137e-09
FEF_L,4.937398821716642e-09
PEF_L,5.196234386745473e-09
55b_L,4.908469561195797e-09
V3A_L,4.758931230491145e-09
RSC_L,4.448200579580872e-09
POS2_L,4.724977275672705e-09
V7_L,4.919729065464886e-09
IPS1_L,5.064190167463712e-09
FFC_L,4.708628360077346e-09
V3B_L,5.074738392357637e-09
LO1_L,4.84435118763976e-09
LO2_L,4.652415990431882e-09
PIT_L,4.57447228752861e-09
MT_L,4.86716175988144e-09
A1_L,5.033347702352533e-09
PSL_L,5.1575157283635675e-09
SFL_L,4.798041646371864e-09
PCV_L,4.7857903023459e-09
STV_L,4.963501034205749e-09
7Pm_L,4.804556340952831e-09
7m_L,4.8287439518241186e-09
POS1_L,4.6960583866180606e-09
23d_L,5.1718951986810916e-09
v23ab_L,4.858909919057631e-09
d23ab_L,4.889248755855092e-09
31pv_L,5.002235417896927e-09
5m_L,4.367487704586959e-09
5mv_L,4.892851174182305e-09
23c_L,5.222229473889982e-09
5L_L,4.6296765010647454e-09
24dd_L,4.6097253376831696e-09
24dv_L,5.0993890264026405e-09
7AL_L,4.752517006402403e-09
SCEF_L,4.6923247355525e-09
6ma_L,4.8203744451694585e-09
7Am_L,4.7013173218026144e-09
7Pl_L,4.7049395255722e-09
7PC_L,4.740332709071841e-09
LIPv_L,4.7272427148031e-09
VIP_L,4.649527097354451e-09
MIP_L,4.80873005047107e-09
1_L,4.654292188107872e-09
2_L,4.821569580859457e-09
3a_L,5.266082174470364e-09
6d_L,4.835370119880628e-09
6mp_L,4.768001144466299e-09
6v_L,5.036103297046777e-09
p24pr_L,5.421079751519667e-09
33pr_L,5.310607973245353e-09
a24pr_L,5.631308258704362e-09
p32pr_L,5.249125992706768e-09
a24_L,5.768639910979365e-09
d32_L,5.404742014387394e-09
8BM_L,4.903285803262388e-09
p32_L,5.607961511219126e-09
10r_L,5.465503512944829e-09
47m_L,5.200780428237542e-09
8Av_L,5.085854786886645e-09
