region,mkt
V1_L,0.6710229491905428
MST_L,0.6137850576451341
V6_L,0.6011886751266955
V2_L,0.6590238892270474
V3_L,0.6372943791826341
V4_L,0.6321726091240433
V8_L,0.6449552930431799
4_L,0.6869437538059474
3b_L,0.6370816447894515
FEF_L,0.6111039973958821
PEF_L,0.5902758201689471
55b_L,0.6013029215071338
V3A_L,0.6135090678985552
RSC_L,0.7434401193208588
POS2_L,0.6199117154857751
V7_L,0.6396193138743334
IPS1_L,0.6143498367715429
FFC_L,0.6418902526503347
V3B_L,0.5965715205217996
LO1_L,0.5885123759338522
LO2_L,0.6060445576322155
PIT_L,0.6214419809750039
MT_L,0.6096839119102149
A1_L,0.7238336940685062
PSL_L,0.5635900933096406
SFL_L,0.5956982716222133
PCV_L,0.5718265654917165
STV_L,0.5710364650246258
7Pm_L,0.569270608647657
7m_L,0.5937230925066688
POS1_L,0.6660963093995204
23d_L,0.6482547901999208
v23ab_L,0.648933516912738
d23ab_L,0.6490065101743799
31pv_L,0.6001960029440586
5m_L,0.6558462078293804
5mv_L,0.5864915453876192
23c_L,0.5864935015383188
5L_L,0.5790366457322156
24dd_L,0.6584876940296777
24dv_L,0.6212011423091325
7AL_L,0.5857701901447966
SCEF_L,0.6217492278805682
6ma_L,0.6079865237650228
7Am_L,0.5608612700114207
7Pl_L,0.5821610688663776
7PC_L,0.6003005306965743
LIPv_L,0.6327021058557032
VIP_L,0.5970282992628791
MIP_L,0.6082481049143244
1_L,0.6334675573636037
2_L,0.627552977209143
3a_L,0.6565885502656217
6d_L,0.630822487120341
6mp_L,0.6324183415715495
6v_L,0.577772183959263
p24pr_L,0.6144354747320169
33pr_L,0.6552292535320261
a24pr_L,0.5968744673226734
p32pr_L,0.609532645142643
a24_L,0.6386662214690773
d32_L,0.566468860385897
8BM_L,0.5825847360063722
p32_L,0.6165427049891494
10r_L,0.6646782533713006
47m_L,0.7029638029403773
8Av_L,0.5895725569843048
8Ad_L,0.5838729093501354
9m_L,0.5489952990123181
8BL_L,0.5695943336932753
9p_L,0.5594103351969409
10d_L,0.5562733599973508
8C_L,0.6000603896803185
44_L,0.6008288372768363
45_L,0.6190135038984258
47l_L,0.6244259074639783
a47r_L,0.5976632651186486
6r_L,0.5834617410113335
IFJa_L,0.6106553478393768
IFJp_L,0.6049820174257056
IFSp_L,0.592782087188806
IFSa_L,0.5791889508409656
p9-46v_L,0.580947756917068
46_L,0.5582191636635291
a9-46v_L,0.5719901289358975
9-46d_L,0.5602615997376685
9a_L,0.5541536938426564
10v_L,0.7137791208155569
a10p_L,0.5858889035552545
10pp_L,0.6573423464834738
11l_L,0.6727192747827824
13l_L,0.7556514176542849
OFC_L,0.7730601293131101
47s_L,0.6911230771254392
LIPd_L,0.6123762032378665
6a_L,0.6223270814755881
i6-8_L,0.6047215541423485
s6-8_L,0.6027794193680427
43_L,0.6161585501352276
OP4_L,0.6081374993606949
OP1_L,0.6497858673626998
OP2-3_L,0.6828121911342816
52_L,0.6567901965727935
RI_L,0.6629639921668506
PFcm_L,0.6163876172200754
PoI2_L,0.6431611774753926
TA2_L,0.628604189308749
FOP4_L,0.6331968345105784
MI_L,0.6134183748724057
Pir_L,0.7191535369916968
AVI_L,0.657501633561414
AAIC_L,0.6593598635665283
FOP1_L,0.6360490931710634
FOP3_L,0.6326278979368717
FOP2_L,0.6396989595033556
PFt_L,0.5574443810648259
AIP_L,0.5920723938859117
EC_L,0.7739588160123463
PreS_L,0.7795255962400855
H_L,0.6994753377441935
ProS_L,0.6821980781303666
PeEc_L,0.7317685927291123
STGa_L,0.5967289558688536
PBelt_L,0.6310907147569363
A5_L,0.6102201152197576
PHA1_L,0.6996917980033096
PHA3_L,0.6689839364700365
STSda_L,0.6133805041087099
STSdp_L,0.6052190352983634
STSvp_L,0.5617191037836181
TGd_L,0.6649880358944009
TE1a_L,0.5992866831659597
TE1p_L,0.5718535279411783
TE2a_L,0.6449488638973314
TF_L,0.7208162239327272
TE2p_L,0.6578010639750321
PHT_L,0.5605166647964053
PH_L,0.5851280956971687
TPOJ1_L,0.5909798282543844
TPOJ2_L,0.5707511114977499
TPOJ3_L,0.5829573034613286
DVT_L,0.5926296824861862
PGp_L,0.5711288996057394
IP2_L,0.5573825224855345
IP1_L,0.566965922498303
IP0_L,0.5495101975336772
PFop_L,0.5671306252077387
PF_L,0.5673405610311567
PFm_L,0.5578359800537774
PGi_L,0.559716690966426
PGs_L,0.5638193075826421
V6A_L,0.5833964244626123
VMV1_L,0.7102007031438254
VMV3_L,0.6519184221842151
PHA2_L,0.6643159221450712
V4t_L,0.6073349346212907
FST_L,0.5802899416141089
V3CD_L,0.5890795323620407
LO3_L,0.5753602798772202
VMV2_L,0.6703589937231237
31pd_L,0.5873084440929223
31a_L,0.5888191911670784
VVC_L,0.6801296588299329
25_L,0.7620749856540686
s32_L,0.7310408393754635
pOFC_L,0.7783446318408542
PoI1_L,0.6399770150464064
Ig_L,0.6694785602891957
FOP5_L,0.6582121616855902
p10p_L,0.584573903614977
p47r_L,0.5725173959301483
TGv_L,0.7190332740378651
MBelt_L,0.7109760020610615
LBelt_L,0.6856179526451361
A4_L,0.6014928415758941
STSva_L,0.5887313410637035
TE1m_L,0.5874229562812587
PI_L,0.6356524005190624
a32pr_L,0.5837145941644931
p24_L,0.5805504761032396
V1_R,0.6690487436908562
MST_R,0.6057663793427694
V6_R,0.6178186003196596
V2_R,0.6580907739993879
V3_R,0.6277141093329416
V4_R,0.6162220728085824
V8_R,0.631403989967952
4_R,0.6910971198619585
